wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.014699,-1,0,0,0,0,16.666702,1.080200,1.879400,16.419901,1,877,877,0,0,lobby,293
5.031502,-1,0,0,0,0,16.666698,0.856900,1.692600,16.673700,1,877,877,0,0,lobby,294
5.048157,-1,0,0,0,0,16.666698,1.741300,1.432700,17.754200,1,877,877,0,0,lobby,295
5.064787,-1,0,0,0,0,16.666698,2.208300,1.760500,16.850901,1,877,877,0,0,lobby,296
5.081387,-1,0,0,0,0,16.666901,1.119800,1.905700,15.630300,1,877,877,0,0,lobby,297
5.098088,-1,0,0,0,0,16.666698,0.992300,1.821800,16.416800,1,877,877,0,0,lobby,298
5.114793,-1,0,0,0,0,16.666800,0.884500,1.494200,16.762899,1,877,877,0,0,lobby,299
5.131454,-1,0,0,0,0,16.666800,1.050800,2.140500,16.851999,1,877,877,0,0,lobby,300
5.148040,-1,0,0,0,0,16.666901,1.305200,2.241800,16.616400,1,877,877,0,0,lobby,301
5.164852,-1,0,0,0,0,16.666800,0.866600,1.735000,16.348200,1,877,877,0,0,lobby,302
5.181385,-1,0,0,0,0,16.666800,1.193200,2.089300,17.276899,1,877,877,0,0,lobby,303
5.198054,-1,0,0,0,0,16.666901,1.160000,2.121000,16.958500,1,877,877,0,0,lobby,304
5.214824,-1,0,0,0,0,16.666901,1.038300,1.998900,16.117701,1,877,877,0,0,lobby,305
5.231415,-1,0,0,0,0,16.666901,1.110200,1.341200,16.462900,1,877,877,0,0,lobby,306
5.248062,-1,0,0,0,0,16.666901,0.857000,1.646300,16.647100,1,877,877,0,0,lobby,307
5.264705,-1,0,0,0,0,16.666901,0.957600,1.433100,16.623600,1,877,877,0,0,lobby,308
5.281522,-1,0,0,0,0,16.666901,0.819600,1.419300,17.139799,1,877,877,0,0,lobby,309
5.298045,-1,0,0,0,0,16.666800,1.038000,1.289500,16.359400,1,877,877,0,0,lobby,310
5.314769,-1,0,0,0,0,16.666901,0.926400,2.158600,16.643101,1,877,877,0,0,lobby,311
5.331405,-1,0,0,0,0,16.666698,1.447400,2.125600,16.761801,1,877,877,0,0,lobby,312
5.348080,-1,0,0,0,0,16.666901,1.010100,1.770800,16.426001,1,877,877,0,0,lobby,313
5.364741,-1,0,0,0,0,16.666901,0.952300,1.637400,16.794600,1,877,877,0,0,lobby,314
5.381392,-1,0,0,0,0,16.666698,1.280000,2.152900,16.885799,1,877,877,0,0,lobby,315
5.398086,-1,0,0,0,0,16.666800,1.504100,2.197300,16.423901,1,877,877,0,0,lobby,316
5.414941,-1,0,0,0,0,16.666800,0.996100,1.957200,16.592899,1,877,877,0,0,lobby,317
5.431453,-1,0,0,0,0,16.666901,1.230200,1.662400,17.121300,1,877,877,0,0,lobby,318
5.448044,-1,0,0,0,0,16.666800,1.242200,2.238600,16.491501,1,877,877,0,0,lobby,319
5.464835,-1,0,0,0,0,16.666901,1.238700,2.205100,17.162201,1,877,877,0,0,lobby,320
5.481436,-1,0,0,0,0,16.666800,1.303900,2.126700,15.983700,1,877,877,0,0,lobby,321
5.498057,-1,0,0,0,0,16.666698,1.116900,1.527900,16.778200,1,877,877,0,0,lobby,322
5.514716,-1,0,0,0,0,16.666698,1.042300,1.818300,16.446501,1,877,877,0,0,lobby,323
