wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.003512,-1,0,0,0,0,16.666698,0.825300,1.395200,16.618500,1,877,877,0,0,lobby,292
5.020188,-1,0,0,0,0,16.666698,1.290600,1.673500,17.010700,1,877,877,0,0,lobby,293
5.036854,-1,0,0,0,0,16.666901,1.365500,1.537800,16.812000,1,877,877,0,0,lobby,294
5.053578,-1,0,0,0,0,16.666901,0.922800,1.928000,16.188400,1,877,877,0,0,lobby,295
5.070175,-1,0,0,0,0,16.666901,1.325000,2.404500,17.352699,1,877,877,0,0,lobby,296
5.086916,-1,0,0,0,0,16.666800,1.665600,2.171600,16.499701,1,877,877,0,0,lobby,297
5.103624,-1,0,0,0,0,16.666901,1.227300,1.438000,16.325701,1,877,877,0,0,lobby,298
5.120256,-1,0,0,0,0,16.666901,1.088900,1.747200,16.704500,1,877,877,0,0,lobby,299
5.136877,-1,0,0,0,0,16.666998,1.274800,2.185200,16.631800,1,877,877,0,0,lobby,300
5.153584,-1,0,0,0,0,16.666803,1.037000,2.449900,16.542700,1,877,877,0,0,lobby,301
5.170190,-1,0,0,0,0,16.666800,1.106500,1.894500,16.779301,1,877,877,0,0,lobby,302
5.186845,-1,0,0,0,0,16.666901,1.107800,1.530500,16.411600,1,877,877,0,0,lobby,303
5.203650,-1,0,0,0,0,16.666800,0.806200,1.587600,16.726999,1,877,877,0,0,lobby,304
5.220436,-1,0,0,0,0,16.666698,1.086600,1.564000,16.876600,1,877,877,0,0,lobby,305
5.237155,-1,0,0,0,0,16.666901,1.233600,2.186400,17.187799,1,877,877,0,0,lobby,306
5.253518,-1,0,0,0,0,16.666698,1.674400,2.141100,16.484400,1,877,877,0,0,lobby,307
5.270233,-1,0,0,0,0,16.666800,1.202100,1.920800,16.679899,1,877,877,0,0,lobby,308
5.286943,-1,0,0,0,0,16.666901,1.371700,1.590800,16.164900,1,877,877,0,0,lobby,309
5.303616,-1,0,0,0,0,16.666800,1.139200,1.997200,16.839701,1,877,877,0,0,lobby,310
5.320267,-1,0,0,0,0,16.666698,1.136800,2.144600,17.043400,1,877,877,0,0,lobby,311
5.336880,-1,0,0,0,0,16.666698,1.341500,2.333600,16.479200,1,877,877,0,0,lobby,312
5.353504,-1,0,0,0,0,16.666901,1.168200,1.709200,16.341000,1,877,877,0,0,lobby,313
