frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16949531.636340301,984692,frame-00000.png
1,0.100000001,16949531.783004198,979024,frame-00001.png
2,0.150000006,16949531.935728699,973750,frame-00002.png
3,0.200000003,16949532.114934400,969293,frame-00003.png
4,0.250000000,16949532.264343798,937616,frame-00004.png
5,0.300000012,16949532.418801699,984464,frame-00005.png
6,0.350000024,16949532.570136599,969589,frame-00006.png
7,0.400000036,16949532.718029201,960306,frame-00007.png
8,0.450000048,16949532.880218200,977309,frame-00008.png
9,0.500000060,16949533.032324199,985540,frame-00009.png
10,0.550000072,16949533.179294098,990795,frame-00010.png
11,0.000000060,16949533.325260300,995754,frame-00011.png
12,0.050000060,16949533.470230401,960154,frame-00012.png
