frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16949529.485175401,994506,frame-00000.png
1,0.100000001,16949529.637783300,964616,frame-00001.png
2,0.150000006,16949529.797360901,1012361,frame-00002.png
3,0.200000003,16949529.961071402,987106,frame-00003.png
4,0.250000000,16949530.104952000,969158,frame-00004.png
5,0.300000012,16949530.247289799,986982,frame-00005.png
6,0.350000024,16949530.386938401,993051,frame-00006.png
7,0.400000036,16949530.532888301,991876,frame-00007.png
8,0.450000048,16949530.675178401,996260,frame-00008.png
9,0.500000060,16949530.814312302,961843,frame-00009.png
10,0.550000072,16949530.955182701,1012820,frame-00010.png
11,0.600000083,16949531.097585101,995002,frame-00011.png
12,0.000000119,16949531.246228300,983213,frame-00012.png
13,0.050000120,16949531.397165701,993133,frame-00013.png
