frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16949535.231268801,963778,frame-00000.png
1,0.100000001,16949535.394745901,1015892,frame-00001.png
2,0.150000006,16949535.569825400,998014,frame-00002.png
3,0.200000003,16949535.718705200,985247,frame-00003.png
4,0.250000000,16949535.871236499,997022,frame-00004.png
5,0.300000012,16949536.029749598,998256,frame-00005.png
6,0.350000024,16949536.180674400,996823,frame-00006.png
7,0.400000036,16949536.336069599,998994,frame-00007.png
8,0.450000048,16949536.475336902,966415,frame-00008.png
9,0.500000060,16949536.634722199,1010523,frame-00009.png
10,0.550000072,16949536.793874901,990419,frame-00010.png
11,0.600000083,16949536.964694500,976945,frame-00011.png
12,0.650000095,16949537.153630201,985217,frame-00012.png
13,0.700000107,16949537.330820400,986004,frame-00013.png
14,0.750000119,16949537.503330998,982009,frame-00014.png
15,0.800000131,16949537.659169700,985587,frame-00015.png
16,0.850000143,16949537.806501102,949021,frame-00016.png
17,0.900000155,16949537.965118699,1000341,frame-00017.png
18,0.950000167,16949538.114925299,979252,frame-00018.png
19,0.000000119,16949538.270275399,978643,frame-00019.png
20,0.050000120,16949538.433448199,993227,frame-00020.png
