frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16949518.856509600,958814,frame-00000.png
1,0.100000001,16949519.009063900,969543,frame-00001.png
2,0.150000006,16949519.166169900,976528,frame-00002.png
3,0.200000003,16949519.327515900,973504,frame-00003.png
4,0.250000000,16949519.508568302,976573,frame-00004.png
5,0.300000012,16949519.688829601,937420,frame-00005.png
6,0.350000024,16949519.912326999,992772,frame-00006.png
7,0.400000036,16949520.072313398,973303,frame-00007.png
8,0.450000048,16949520.256892499,957662,frame-00008.png
9,0.500000060,16949520.443671700,970839,frame-00009.png
10,0.550000072,16949520.613095202,977098,frame-00010.png
11,0.600000083,16949520.784084100,973851,frame-00011.png
12,0.650000095,16949520.957716201,978339,frame-00012.png
13,0.700000107,16949521.101780899,956535,frame-00013.png
14,0.750000119,16949521.249828801,1017111,frame-00014.png
15,0.800000131,16949521.403550800,996288,frame-00015.png
16,0.850000143,16949521.546486899,983470,frame-00016.png
17,0.900000155,16949521.724662799,993034,frame-00017.png
18,0.950000167,16949521.916679598,999943,frame-00018.png
19,1.000000119,16949522.108961299,996525,frame-00019.png
20,1.050000072,16949522.297131199,1000030,frame-00020.png
21,1.100000024,16949522.484451700,961994,frame-00021.png
22,1.149999976,16949522.658767398,1018112,frame-00022.png
23,1.199999928,16949522.835735399,996974,frame-00023.png
24,1.249999881,16949522.999611501,983554,frame-00024.png
25,1.299999833,16949523.168113898,993873,frame-00025.png
26,1.349999785,16949523.321141198,1001247,frame-00026.png
27,1.399999738,16949523.478428900,996577,frame-00027.png
28,1.449999690,16949523.655112199,1000509,frame-00028.png
29,1.499999642,16949523.811128899,961462,frame-00029.png
30,1.549999595,16949523.966179300,1017383,frame-00030.png
31,1.599999547,16949524.118921299,997017,frame-00031.png
32,1.649999499,16949524.283198100,982704,frame-00032.png
33,1.699999452,16949524.431873299,994283,frame-00033.png
34,1.749999404,16949524.601716202,1000171,frame-00034.png
35,1.799999356,16949524.765097901,995421,frame-00035.png
36,1.849999309,16949524.955911800,999875,frame-00036.png
37,1.899999261,16949525.147929799,960372,frame-00037.png
38,1.949999213,16949525.341787100,1016857,frame-00038.png
39,1.999999166,16949525.506056398,995344,frame-00039.png
40,0.049999237,16949525.670350499,981741,frame-00040.png
