frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16949525.890360400,984262,frame-00000.png
1,0.100000001,16949526.033181299,999332,frame-00001.png
2,0.150000006,16949526.187169999,1003095,frame-00002.png
3,0.200000003,16949526.337772001,999408,frame-00003.png
4,0.250000000,16949526.497503500,1002863,frame-00004.png
5,0.300000012,16949526.642986499,966534,frame-00005.png
6,0.350000024,16949526.813268900,1018968,frame-00006.png
7,0.400000036,16949526.981446601,998865,frame-00007.png
8,0.450000048,16949527.163692500,983754,frame-00008.png
9,0.500000060,16949527.346895799,994905,frame-00009.png
10,0.550000072,16949527.522104099,1000192,frame-00010.png
11,0.600000083,16949527.687387299,999258,frame-00011.png
12,0.650000095,16949527.866804201,1006175,frame-00012.png
13,0.700000107,16949528.029065099,969846,frame-00013.png
14,0.750000119,16949528.198156901,1022751,frame-00014.png
15,0.800000131,16949528.369060699,1004289,frame-00015.png
16,0.850000143,16949528.540387899,989369,frame-00016.png
17,0.900000155,16949528.698120601,997049,frame-00017.png
18,0.950000167,16949528.850995000,1000008,frame-00018.png
19,0.000000119,16949529.003505401,995969,frame-00019.png
20,0.050000120,16949529.152583499,999584,frame-00020.png
