frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16949538.680056300,991320,frame-00000.png
1,0.100000001,16949538.831194200,997765,frame-00001.png
2,0.150000006,16949538.975015499,993694,frame-00002.png
3,0.200000003,16949539.139590099,995189,frame-00003.png
4,0.250000000,16949539.281951100,957956,frame-00004.png
5,0.300000012,16949539.420991998,1011736,frame-00005.png
6,0.350000024,16949539.565327100,991300,frame-00006.png
7,0.400000036,16949539.703636400,977970,frame-00007.png
8,0.450000048,16949539.852172501,988254,frame-00008.png
9,0.500000060,16949540.004941698,994060,frame-00009.png
10,0.550000072,16949540.141681802,990434,frame-00010.png
11,0.600000083,16949540.281228598,993549,frame-00011.png
12,0.650000095,16949540.414124001,956651,frame-00012.png
13,0.700000107,16949540.557309799,1011789,frame-00013.png
14,0.750000119,16949540.694308501,989908,frame-00014.png
15,0.800000131,16949540.835811701,976413,frame-00015.png
16,0.850000143,16949540.984521199,986629,frame-00016.png
17,0.900000155,16949541.157815099,993964,frame-00017.png
18,0.950000167,16949541.311600599,989103,frame-00018.png
19,1.000000119,16949541.469584201,993090,frame-00019.png
20,1.050000072,16949541.622891098,956889,frame-00020.png
21,1.100000024,16949541.771137800,1011958,frame-00021.png
22,1.149999976,16949541.915443402,990982,frame-00022.png
23,1.199999928,16949542.060061902,976889,frame-00023.png
24,1.249999881,16949542.205574699,988605,frame-00024.png
25,1.299999833,16949542.347677801,993928,frame-00025.png
26,1.349999785,16949542.495572500,991093,frame-00026.png
27,1.399999738,16949542.650294099,996399,frame-00027.png
28,1.449999690,16949542.784595799,958713,frame-00028.png
29,1.499999642,16949542.927390099,1015066,frame-00029.png
30,0.049999595,16949543.067330100,994362,frame-00030.png
