frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16951567.235465702,988048,frame-00000.png
1,0.100000001,16951567.409015398,1031558,frame-00001.png
2,0.150000006,16951567.589340601,1016729,frame-00002.png
3,0.200000003,16951567.771625999,1004603,frame-00003.png
4,0.250000000,16951567.941252202,1016068,frame-00004.png
5,0.300000012,16951568.103874799,1022468,frame-00005.png
6,0.350000024,16951568.265994299,1014926,frame-00006.png
7,0.400000036,16951568.416776702,1016706,frame-00007.png
8,0.450000048,16951568.564314999,984541,frame-00008.png
9,0.500000060,16951568.714607600,1027644,frame-00009.png
10,0.550000072,16951568.865592200,1009754,frame-00010.png
11,0.600000083,16951569.014950700,993421,frame-00011.png
12,0.650000095,16951569.238829799,998450,frame-00012.png
13,0.700000107,16951569.440164700,1001710,frame-00013.png
14,0.750000119,16951569.623242501,994632,frame-00014.png
15,0.800000131,16951569.842346702,998747,frame-00015.png
16,0.850000143,16951570.036920998,965377,frame-00016.png
17,0.900000155,16951570.256437398,1012590,frame-00017.png
18,0.950000167,16951570.464857198,995311,frame-00018.png
19,0.000000119,16951570.670290101,1006005,frame-00019.png
20,0.050000120,16951570.909365501,1015807,frame-00020.png
