frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16951557.648948099,1006311,frame-00000.png
1,0.100000001,16951557.830273900,1016010,frame-00001.png
2,0.150000006,16951558.009421699,1022105,frame-00002.png
3,0.200000003,16951558.185735598,1017055,frame-00003.png
4,0.250000000,16951558.347518899,1018762,frame-00004.png
5,0.300000012,16951558.528124101,985322,frame-00005.png
6,0.350000024,16951558.685451899,1033507,frame-00006.png
7,0.400000036,16951558.841170099,1018267,frame-00007.png
8,0.450000048,16951559.000719599,1005302,frame-00008.png
9,0.500000060,16951559.160394002,1013540,frame-00009.png
10,0.550000072,16951559.315786999,1023511,frame-00010.png
11,0.600000083,16951559.463444199,1021748,frame-00011.png
12,0.650000095,16951559.620132402,1025558,frame-00012.png
13,0.700000107,16951559.768859100,995882,frame-00013.png
14,0.750000119,16951559.943959501,1043781,frame-00014.png
15,0.800000131,16951560.101665400,1026516,frame-00015.png
16,0.850000143,16951560.254150800,1010560,frame-00016.png
17,0.900000155,16951560.411249001,1018615,frame-00017.png
18,0.950000167,16951560.573953800,1022356,frame-00018.png
19,0.000000119,16951560.730855402,1015836,frame-00019.png
20,0.050000120,16951560.895315100,1018797,frame-00020.png
