frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16953500.068044402,1014325,frame-00000.png
1,0.100000001,16953500.301646799,984473,frame-00001.png
2,0.150000006,16953500.536605101,1029869,frame-00002.png
3,0.200000003,16953500.773572698,1011393,frame-00003.png
4,0.250000000,16953500.999260101,991136,frame-00004.png
5,0.300000012,16953501.196688902,1004015,frame-00005.png
6,0.350000024,16953501.413971800,1014587,frame-00006.png
7,0.400000036,16953501.619327798,1012310,frame-00007.png
8,0.450000048,16953501.826190401,1015693,frame-00008.png
9,0.500000060,16953502.032199699,985374,frame-00009.png
10,0.550000072,16953502.243056498,1033040,frame-00010.png
11,0.600000083,16953502.458526101,1015401,frame-00011.png
12,0.000000119,16953502.664327800,1001242,frame-00012.png
13,0.050000120,16953502.873659600,1010707,frame-00013.png
