frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16953513.244256899,1013189,frame-00000.png
1,0.100000001,16953513.448231298,1022057,frame-00001.png
2,0.150000006,16953513.656174399,1016250,frame-00002.png
3,0.200000003,16953513.860717200,1017874,frame-00003.png
4,0.250000000,16953514.065448899,981724,frame-00004.png
5,0.300000012,16953514.278889999,1031442,frame-00005.png
6,0.350000024,16953514.492300101,1013801,frame-00006.png
7,0.400000036,16953514.697062202,999440,frame-00007.png
8,0.450000048,16953514.904479899,1008606,frame-00008.png
9,0.500000060,16953515.135658301,1016726,frame-00009.png
10,0.550000072,16953515.373931900,1010973,frame-00010.png
11,0.600000083,16953515.607806701,1014394,frame-00011.png
12,0.650000095,16953515.835717700,978138,frame-00012.png
13,0.700000107,16953516.040555999,1028763,frame-00013.png
14,0.750000119,16953516.254004400,1011211,frame-00014.png
15,0.800000131,16953516.456589401,996293,frame-00015.png
16,0.850000143,16953516.666078001,1006413,frame-00016.png
17,0.900000155,16953516.901034702,1015299,frame-00017.png
18,0.950000167,16953517.146421202,1009564,frame-00018.png
19,1.000000119,16953517.406881299,1014744,frame-00019.png
20,1.050000072,16953517.639816198,979054,frame-00020.png
21,1.100000024,16953517.907092702,1030298,frame-00021.png
22,1.149999976,16953518.166533399,1014100,frame-00022.png
23,1.199999928,16953518.426567402,1000090,frame-00023.png
24,1.249999881,16953518.661957700,1010227,frame-00024.png
25,1.299999833,16953518.924284399,1019994,frame-00025.png
26,1.349999785,16953519.190255899,1015579,frame-00026.png
27,1.399999738,16953519.445472401,1019803,frame-00027.png
28,1.449999690,16953519.696801201,986098,frame-00028.png
29,1.499999642,16953519.910404701,1037939,frame-00029.png
30,0.049999595,16953520.138964400,1018843,frame-00030.png
