frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16954186.646563701,1013123,frame-00000.png
1,0.100000001,16954186.787180901,1003181,frame-00001.png
2,0.150000006,16954186.931872800,1003340,frame-00002.png
3,0.200000003,16954187.067976899,964365,frame-00003.png
4,0.250000000,16954187.210614800,1004815,frame-00004.png
5,0.300000012,16954187.352007501,992310,frame-00005.png
6,0.350000024,16954187.509791400,980646,frame-00006.png
7,0.400000036,16954187.661624901,993490,frame-00007.png
8,0.450000048,16954187.813978702,1006456,frame-00008.png
9,0.500000060,16954187.968130700,1011789,frame-00009.png
10,0.550000072,16954188.121899702,1017819,frame-00010.png
11,0.000000060,16954188.256588999,989640,frame-00011.png
12,0.050000060,16954188.406831302,1030231,frame-00012.png
