frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16954174.698463101,1013693,frame-00000.png
1,0.100000001,16954174.853670798,1022179,frame-00001.png
2,0.150000006,16954175.000131302,1017094,frame-00002.png
3,0.200000003,16954175.156618901,1019961,frame-00003.png
4,0.250000000,16954175.298981700,983719,frame-00004.png
5,0.300000012,16954175.451742999,1036966,frame-00005.png
6,0.350000024,16954175.600305200,1017949,frame-00006.png
7,0.400000036,16954175.746677801,1004437,frame-00007.png
8,0.450000048,16954175.912034500,1013977,frame-00008.png
9,0.500000060,16954176.112912901,1023614,frame-00009.png
10,0.550000072,16954176.319496699,1017753,frame-00010.png
11,0.600000083,16954176.486152999,1020715,frame-00011.png
12,0.650000095,16954176.652282398,984415,frame-00012.png
13,0.700000107,16954176.814584099,1037299,frame-00013.png
14,0.750000119,16954176.985497799,1018651,frame-00014.png
15,0.800000131,16954177.160320301,1004960,frame-00015.png
16,0.850000143,16954177.340354301,1014036,frame-00016.png
17,0.900000155,16954177.494913001,1022566,frame-00017.png
18,0.950000167,16954177.663167901,1017491,frame-00018.png
19,1.000000119,16954177.819564901,1020418,frame-00019.png
20,1.050000072,16954177.961021502,985159,frame-00020.png
21,1.100000024,16954178.110436302,1037836,frame-00021.png
22,1.149999976,16954178.256532598,1019428,frame-00022.png
23,1.199999928,16954178.395843498,1004508,frame-00023.png
24,1.249999881,16954178.545998901,1014621,frame-00024.png
25,1.299999833,16954178.702025302,1022445,frame-00025.png
26,1.349999785,16954178.883809701,1017414,frame-00026.png
27,1.399999738,16954179.045025900,1020631,frame-00027.png
28,1.449999690,16954179.221284200,984605,frame-00028.png
29,1.499999642,16954179.425771501,1036938,frame-00029.png
30,1.549999595,16954179.623491000,1018406,frame-00030.png
31,1.599999547,16954179.806040999,1003703,frame-00031.png
32,1.649999499,16954179.973197602,1014007,frame-00032.png
33,1.699999452,16954180.146713700,1022559,frame-00033.png
34,1.749999404,16954180.310279999,1016905,frame-00034.png
35,1.799999356,16954180.455645800,1020400,frame-00035.png
36,1.849999309,16954180.601882700,984932,frame-00036.png
37,1.899999261,16954180.741980299,1037378,frame-00037.png
38,1.949999213,16954180.882295299,1019105,frame-00038.png
39,1.999999166,16954181.019797899,1003850,frame-00039.png
40,0.049999237,16954181.162213799,1014006,frame-00040.png
