wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.002609,0,1,4,0,0,16.666901,3.185100,4.833500,16.199699,1,5114,5114,1,0,closed,479
5.019299,0,1,4,0,0,16.666800,2.724200,4.810500,16.615400,1,5114,5114,1,0,closed,480
5.036207,0,1,4,0,0,16.666800,3.347500,6.574300,17.332300,1,5114,5114,1,0,closed,481
5.052650,0,1,4,0,0,16.666800,4.276300,4.907700,7.144400,1,5114,5114,1,0,closed,482
5.069395,0,1,4,0,0,16.666901,3.012300,4.875000,15.063100,1,5114,5114,1,0,closed,483
5.086581,0,1,4,0,0,16.667002,3.215200,5.635000,17.090500,1,5114,5114,1,0,closed,484
5.102701,0,1,4,0,0,16.666901,3.956500,5.379900,17.191999,1,5114,5114,1,0,closed,485
5.119584,0,1,4,0,0,16.666901,3.013600,6.200800,15.934400,1,5114,5114,1,0,closed,486
5.136195,0,1,4,0,0,16.666698,4.732600,5.424400,18.237499,1,5114,5114,1,0,closed,487
5.153604,0,1,4,0,0,16.666800,4.275900,5.441800,15.076300,1,5114,5114,1,0,closed,488
5.169286,0,1,4,0,0,16.666800,3.917900,6.095700,17.596399,1,5114,5114,1,0,closed,489
5.186225,0,1,4,0,0,16.666800,3.181000,5.612300,15.523900,1,5114,5114,1,0,closed,490
5.202870,0,1,4,0,0,16.666698,3.505800,5.695900,17.144800,1,5114,5114,1,0,closed,491
5.219321,0,1,4,0,0,16.666698,3.555800,4.482900,16.469999,1,5114,5114,1,0,closed,492
5.235982,0,1,4,0,0,16.666800,2.792300,4.302000,16.423000,1,5114,5114,1,0,closed,493
5.252689,0,1,4,0,0,16.666800,2.696200,6.040900,16.703400,1,5114,5114,1,0,closed,494
5.269366,0,1,4,0,0,16.666901,3.727100,5.478700,16.569401,1,5114,5114,1,0,closed,495
5.286053,0,1,4,0,0,16.666800,2.678600,5.147700,16.711700,1,5114,5114,1,0,closed,496
5.303006,0,1,4,0,0,16.666901,2.753600,6.463600,17.917900,1,5114,5114,1,0,closed,497
5.319292,0,1,4,0,0,16.666901,4.198700,5.412400,15.910900,1,5114,5114,1,0,closed,498
5.336286,0,1,4,0,0,16.667101,3.398200,5.194200,16.078899,1,5114,5114,1,0,closed,499
5.353267,0,1,4,0,0,16.667097,3.247900,6.820300,17.444799,1,5114,5114,1,0,closed,500
5.369476,0,1,4,0,0,16.667002,4.550400,5.347300,17.633200,1,5114,5114,1,0,closed,501
5.386228,0,1,4,0,0,16.666901,3.807800,6.923800,15.317000,1,5114,5114,1,0,closed,502
5.403817,0,1,4,0,0,16.666800,3.961400,5.909600,16.573500,1,5114,5114,1,0,closed,503
5.419301,0,1,4,0,0,16.666901,4.417600,5.211900,17.738701,1,5114,5114,1,0,closed,504
5.436262,0,1,4,0,0,16.666698,2.855000,6.265700,16.616501,1,5114,5114,1,0,closed,505
5.452729,0,1,4,0,0,16.666698,3.571100,6.020800,15.996900,1,5114,5114,1,0,closed,506
5.469374,0,1,4,0,0,16.666901,3.500900,6.851000,8.503300,1,5114,5114,1,0,closed,507
5.486059,0,1,4,0,0,16.666702,2.851900,5.109400,8.503300,1,5114,5114,1,0,closed,508
5.502962,0,1,4,0,0,16.666800,2.867300,6.009400,6.040900,1,5114,5114,1,0,closed,509
5.519331,0,1,4,0,0,16.666800,3.581400,6.623700,6.040900,1,5114,5114,1,0,closed,510
5.536025,0,1,4,0,0,16.666901,3.388400,6.324600,16.225300,1,5114,5114,1,0,closed,511
5.552837,0,1,4,0,0,16.666800,3.039900,6.018900,16.534500,1,5114,5114,1,0,closed,512
5.569529,0,1,4,0,0,16.666901,3.184700,7.350400,18.212900,1,5114,5114,1,0,closed,513
5.586097,0,1,4,0,0,16.666897,3.799100,6.814000,15.590400,1,5114,5114,1,0,closed,514
5.602747,0,1,4,0,0,16.666901,3.873000,5.905900,8.796100,1,5114,5114,1,0,closed,515
5.619630,0,1,4,0,0,16.667002,3.232600,5.582200,16.745501,1,5114,5114,1,0,closed,516
5.636064,0,1,4,0,0,16.666800,5.040200,10.524500,19.357700,1,5114,5114,1,0,closed,517
5.653729,0,1,4,0,0,16.666698,4.785600,7.754800,13.727700,1,5621,5621,1,0,closed,518
5.669398,0,1,4,0,0,16.666901,4.654000,5.882700,8.873000,1,5621,5621,1,0,closed,519
5.686178,0,1,4,0,0,16.666901,2.956100,5.061800,15.673100,1,5621,5621,1,0,closed,520
5.702928,0,1,4,0,0,16.666901,3.027100,7.193800,17.000500,1,5621,5621,1,0,closed,521
5.719349,0,1,4,0,0,16.667002,3.959500,5.633400,8.242100,1,5621,5621,1,0,closed,522
5.736054,0,1,4,0,0,16.666901,3.485400,5.823800,16.232500,1,5621,5621,1,0,closed,523
5.752963,0,1,4,0,0,16.666800,2.836600,6.569800,16.720900,1,5621,5621,1,0,closed,524
5.769352,0,1,4,0,0,16.667002,3.972000,5.414500,17.172400,1,5621,5621,1,0,closed,525
5.786055,0,1,4,0,0,16.666800,3.002600,6.796000,8.291300,1,5621,5621,1,0,closed,526
5.802799,0,1,4,0,0,16.666800,3.445500,7.333400,8.291300,1,5621,5621,1,0,closed,527
5.819803,0,1,4,0,0,16.666998,3.822900,7.925500,8.838100,1,5621,5621,1,0,closed,528
5.836426,0,1,4,0,0,16.666702,5.155700,9.349200,17.564699,1,5621,5621,1,0,closed,529
5.853196,0,1,4,0,0,16.666800,5.690300,8.393900,10.481700,1,5621,5621,1,0,closed,530
5.869514,0,1,4,0,0,16.666698,5.255500,6.629300,8.373300,1,5621,5621,1,0,closed,531
5.886347,0,1,4,0,0,16.666698,3.920500,6.702800,8.373300,1,5621,5621,1,0,closed,532
5.904039,0,1,4,0,0,16.666901,4.690100,5.143200,16.854000,1,5621,5621,1,0,closed,533
5.920064,0,1,4,0,0,16.666901,4.898400,6.497100,17.386499,1,5621,5621,1,0,closed,534
5.936066,0,1,4,0,0,16.666901,4.451500,6.731100,16.617399,1,5621,5621,1,0,closed,535
5.953012,0,1,4,0,0,16.666901,4.434900,7.033200,8.209400,1,5621,5621,1,0,closed,536
5.969353,0,1,4,0,0,16.666800,4.310300,5.703500,8.209400,1,5621,5621,1,0,closed,537
