wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page,frame_counter
5.010936,0,1,4,0,0,16.666901,3.200100,5.083100,16.788401,1,5114,5114,1,0,closed,479
5.027639,0,1,4,0,0,16.666698,2.896100,5.855200,16.587799,1,5114,5114,1,0,closed,480
5.044379,0,1,4,0,0,16.666698,3.420500,6.183500,17.068100,1,5114,5114,1,0,closed,481
5.061083,0,1,4,0,0,16.666800,3.059500,5.261400,16.264099,1,5114,5114,1,0,closed,482
5.077827,0,1,4,0,0,16.666800,4.452200,7.504100,18.416599,1,5114,5114,1,0,closed,483
5.094479,0,1,4,0,0,16.666698,4.704400,7.476700,8.159200,1,5114,5114,1,0,closed,484
5.111026,0,1,4,0,0,16.666800,4.129300,5.977800,16.445400,1,5114,5114,1,0,closed,485
5.127915,0,1,4,0,0,16.667101,3.537200,5.917800,16.429100,1,5114,5114,1,0,closed,486
5.144267,0,1,4,0,0,16.666800,3.460600,5.432700,16.971800,1,5114,5114,1,0,closed,487
5.161169,0,1,4,0,0,16.666698,2.813300,6.130000,16.172001,1,5114,5114,1,0,closed,488
5.177634,0,1,4,0,0,16.666800,3.329800,6.121600,17.124300,1,5114,5114,1,0,closed,489
5.195616,0,1,4,0,0,16.667002,3.945300,5.718600,16.366600,1,5114,5114,1,0,closed,490
5.210929,0,1,4,0,0,16.667101,4.487500,14.241900,16.366600,1,5114,5114,1,0,closed,491
5.227785,0,1,4,0,0,16.666800,2.778500,5.440200,18.275299,1,5114,5114,1,0,closed,492
5.244566,0,1,4,0,0,16.666901,3.574500,8.339900,14.158900,1,5114,5114,1,0,closed,493
5.261250,0,1,4,0,0,16.674698,5.082100,8.717500,17.003500,1,5114,5114,1,0,closed,494
5.277740,0,1,4,0,0,16.666800,4.477800,8.698900,10.666000,1,5114,5114,1,0,closed,495
5.294583,0,1,4,0,0,16.666800,4.159700,8.988600,10.779500,1,5114,5114,1,0,closed,496
5.311012,0,1,4,0,0,16.666803,4.924200,7.352500,16.698400,1,5114,5114,1,0,closed,497
5.327889,0,1,4,0,0,16.666998,3.858900,7.010800,16.097300,1,5114,5114,1,0,closed,498
5.344381,0,1,4,0,0,16.666901,3.569800,5.655300,17.215500,1,5114,5114,1,0,closed,499
5.360980,0,1,4,0,0,16.666800,3.575600,6.323000,16.283600,1,5114,5114,1,0,closed,500
5.377761,0,1,4,0,0,16.666800,3.409800,5.128900,16.423901,1,5114,5114,1,0,closed,501
5.394524,0,1,4,0,0,16.667002,2.994900,6.011900,16.892900,1,5114,5114,1,0,closed,502
5.411142,0,1,4,0,0,16.727499,3.834900,5.318600,16.954300,1,5114,5114,1,0,closed,503
5.427830,0,1,4,0,0,16.666698,3.414000,5.011600,16.364599,1,5114,5114,1,0,closed,504
5.445323,0,1,4,0,0,16.667002,3.388100,5.104800,16.739300,1,5114,5114,1,0,closed,505
5.461125,0,1,4,0,0,16.666698,4.052800,5.296300,17.504299,1,5114,5114,1,0,closed,506
5.477726,0,1,4,0,0,16.666901,3.346000,4.730400,15.908800,1,5114,5114,1,0,closed,507
5.494674,0,1,4,0,0,16.666698,3.568400,5.467400,16.526400,1,5114,5114,1,0,closed,508
5.511351,0,1,4,0,0,16.666803,3.622200,6.810100,17.070101,1,5114,5114,1,0,closed,509
5.528125,0,1,4,0,0,16.666698,3.747100,5.399100,16.417700,1,5114,5114,1,0,closed,510
5.544412,0,1,4,0,0,16.666698,3.709100,6.460400,17.289301,1,5114,5114,1,0,closed,511
5.561096,0,1,4,0,0,16.666901,3.567300,5.524000,15.949800,1,5114,5114,1,0,closed,512
5.577821,0,1,4,0,0,16.666698,4.930200,6.730000,18.219000,1,5114,5114,1,0,closed,513
5.594735,0,1,4,0,0,16.667002,5.200800,5.361400,15.322100,1,5114,5114,1,0,closed,514
5.611187,0,1,4,0,0,16.666698,3.665100,6.788200,17.004601,1,5114,5114,1,0,closed,515
5.627948,0,1,4,0,0,16.666800,3.383000,6.362300,16.319300,1,5114,5114,1,0,closed,516
5.644713,0,1,4,0,0,16.669703,4.286200,6.758700,17.095699,1,5114,5114,1,0,closed,517
5.661661,0,1,4,0,0,16.666897,4.900800,9.630200,17.167400,1,5114,5114,1,0,closed,518
5.677947,0,1,4,0,0,16.666901,5.346900,6.797600,16.505699,1,5114,5114,1,0,closed,519
5.695847,0,1,4,0,0,16.667002,3.924100,7.250800,16.290899,1,5621,5621,1,0,closed,520
5.711237,0,1,4,0,0,16.666698,5.542700,8.339700,8.429500,1,5621,5621,1,0,closed,521
5.728100,0,1,4,0,0,16.666800,4.449900,6.368100,15.162400,1,5621,5621,1,0,closed,522
5.744385,0,1,4,0,0,16.666901,3.934000,6.128200,17.038300,1,5621,5621,1,0,closed,523
5.761260,0,1,4,0,0,16.667101,3.546100,5.863500,16.019501,1,5621,5621,1,0,closed,524
5.777997,0,1,4,0,0,16.666901,3.769500,6.129200,16.961500,1,5621,5621,1,0,closed,525
5.794767,0,1,4,0,0,16.666901,3.923300,5.752100,17.006599,1,5621,5621,1,0,closed,526
5.811153,0,1,4,0,0,16.666800,3.987600,7.494400,16.593901,1,5621,5621,1,0,closed,527
5.827753,0,1,4,0,0,16.666901,3.490900,6.039400,16.219200,1,5621,5621,1,0,closed,528
5.844499,0,1,4,0,0,16.666698,3.749100,5.663900,16.396299,1,5621,5621,1,0,closed,529
5.861093,0,1,4,0,0,16.666698,3.076200,6.673200,16.766800,1,5621,5621,1,0,closed,530
5.877691,0,1,4,0,0,16.666901,3.233400,6.661800,16.932899,1,5621,5621,1,0,closed,531
5.894436,0,1,4,0,0,16.666901,3.680800,6.362200,16.393200,1,5621,5621,1,0,closed,532
