seed,rounds,simulated_ms,wall_ms,winner_seats,timeouts,encounters,combat_events,bot_commands,bot_rejects,ghosts,final_hash,idle_unit_ms,stunned_unit_ms
1,21,969500,584,1,9,68,13411,717,0,1,10459619107301158723,37600,496250
2,20,938950,541,1,21,68,14475,669,0,4,3742531757798879342,41550,468700
3,23,1063850,611,1,12,74,13840,688,0,9,8668873402942597671,42950,457750
4,20,879850,643,1,7,65,12042,639,0,4,10592343881871131289,36450,454250
5,20,958100,658,1,20,69,14323,705,0,6,16362131117210498510,39200,379050
6,23,1087750,600,1,20,71,13440,687,0,5,17405060234791504050,39300,510450
7,24,1140000,639,1,27,76,15267,658,0,10,6976231350164004874,43950,454200
8,24,1115150,608,1,14,72,14137,672,0,6,10095037872165427756,39950,373050
9,23,1048950,625,1,17,74,15175,769,0,6,1706866715271924138,53250,689500
10,22,1019900,583,1,19,69,13859,721,0,3,4168301313833377426,38150,438700
11,19,905550,523,1,9,65,12788,684,0,2,5896940206795601829,36550,494800
12,21,915650,543,1,5,69,12307,767,0,5,11801323175767287248,40600,279700
13,21,907300,512,1,12,68,11996,703,0,5,3786742371620426586,37500,298600
14,21,961450,523,1,14,67,13293,685,0,6,10701671493325728332,38650,652250
15,24,1108900,613,1,16,78,15399,712,0,10,10703768491374444539,50050,409600
16,22,1021400,570,1,12,72,14353,696,0,5,5132410068063147900,40000,554000
17,23,1047150,570,1,11,75,14567,677,0,11,6756436560532296483,43750,455800
18,24,1046850,567,1,9,74,13579,661,0,10,5182031233069161251,41200,333100
19,21,984000,576,1,11,71,13353,681,0,4,11403882615714656594,53200,355600
20,23,1029900,590,1,13,74,13726,647,0,4,4734664793533234825,42400,355550
21,21,1018900,573,1,18,71,15139,756,0,5,14198628388379994956,40700,675050
22,24,1018700,586,1,3,75,12537,721,0,7,4612524244212551397,43000,289350
23,23,1018900,590,1,11,75,13638,762,0,3,12527636714818232262,43250,424100
24,21,1007950,547,1,20,68,14839,704,0,3,10139064416104365868,41200,557000
25,23,955200,529,1,6,68,11635,745,0,0,18006717438635085524,37650,294550
26,23,1038950,576,1,13,74,14176,700,0,4,15495462617094918620,41950,439500
27,19,874150,504,1,14,66,13229,674,0,2,14601362033695706785,36450,590550
28,21,945200,536,1,14,67,12668,714,0,2,4103930011615379126,37050,356600
29,24,1036650,554,1,14,71,12957,657,0,5,10767255884128517791,43700,297150
30,21,963250,534,1,12,68,12593,667,0,7,7480053894758370521,41350,312400
31,22,995850,580,1,16,74,13780,722,0,7,2615267310362214055,44100,466100
32,21,1006950,577,1,29,71,14964,759,0,5,3795976376015102981,43500,586000
33,21,978950,570,1,11,70,13732,719,0,4,8347094654155216200,48000,441750
34,24,1125200,643,1,18,72,14299,701,0,6,11197057369664890916,40000,613350
35,24,1160500,678,1,14,72,15103,773,0,6,7232088245789579523,40900,621250
36,24,1114000,628,1,15,73,14806,769,0,4,12828207050884233651,40550,393400
37,21,1021650,683,1,28,69,15721,677,0,7,9601251898663876702,38150,607850
38,24,1111850,682,1,17,72,14659,720,0,4,11578110324207907057,44150,560150
39,24,1112850,656,1,16,73,14637,669,0,3,14984229016648925546,41950,648350
40,22,1027050,607,1,17,72,13912,686,0,5,14477660991854825341,46750,502500
41,20,880400,555,1,8,70,12935,625,0,6,12401189087441423314,39600,355350
42,22,1012300,642,1,13,71,13978,713,0,6,215218773105353899,41250,470900
43,21,1033250,621,1,25,69,15314,712,0,4,13358683137006283547,38050,600050
44,23,1064850,625,1,11,74,14807,722,0,5,8562559646011112534,41550,434850
45,24,1047550,577,1,14,72,13129,660,0,4,2376608789188242694,39900,419350
46,24,1097450,610,1,12,74,13892,747,0,8,4464592475364999262,42600,588450
47,23,1019050,604,1,8,76,14784,709,0,5,13277783301572610069,42350,386700
48,22,1027650,859,1,19,71,14659,661,0,6,7488075043457669414,43950,459100
49,24,1084200,750,1,10,74,13796,694,0,8,17508213885604221972,42800,334700
50,24,1109300,782,1,15,71,13520,662,0,6,3574762352106626993,40050,557150
51,19,918650,686,1,13,65,13586,712,0,5,2292634592626455000,36550,561450
52,24,1048900,741,1,9,70,13029,683,0,2,5720791190170056021,39450,381850
53,24,1041750,774,1,4,70,13146,641,0,7,17647593295317387912,40700,480900
54,23,1035600,699,1,19,71,14346,697,0,5,2718190852538346824,39300,559200
55,20,949750,708,1,24,72,13795,704,0,8,3875831055955039240,39900,403900
56,23,1041850,655,1,13,68,13226,690,0,5,17709627041464033354,37500,331100
57,21,930600,752,1,5,72,13386,707,0,1,15031213521989630669,40000,365400
58,24,1115850,813,1,14,76,14931,679,0,6,1723831969067016233,42350,387950
59,22,959650,801,1,8,69,12347,694,0,4,11696803919607763450,39150,375400
60,22,996150,1057,1,16,70,13749,713,0,6,18349399800628924188,38850,487150
61,19,886000,809,1,13,68,13156,674,0,2,8469481249009956337,45750,404800
62,22,1049800,740,1,24,71,15856,677,0,5,12393068720077772064,41500,704450
63,24,1125050,848,1,20,74,15517,714,0,3,1928116809549713698,41100,664650
64,21,1028200,720,1,25,73,14971,725,0,6,2819634082844409712,43150,404850
65,24,1107700,675,1,14,76,14245,655,0,6,15376587487729199088,42300,440100
66,24,1061800,720,1,10,75,13787,712,0,4,411085888203176800,46600,396400
67,19,864900,598,1,11,64,12094,667,0,5,4327964638357437459,35100,489800
68,21,948100,714,1,9,72,13648,717,0,5,14849144278107454632,41450,625700
69,21,874550,698,1,8,70,13165,678,0,5,3776121205664501986,40650,547200
70,24,1079750,715,1,15,71,14010,677,0,6,16904188000686505987,40050,606550
71,22,979500,664,1,16,68,13071,663,0,6,17994407653895832001,37550,395450
72,21,955700,744,1,11,76,13853,707,0,5,1924661982601130783,51350,307900
73,20,941850,811,1,19,66,13427,700,0,2,11665413785217114263,37150,456600
74,24,1089600,745,1,10,73,13587,702,0,1,10689179657009645635,40550,333700
75,21,986700,690,1,15,71,13809,753,0,6,13008866268818071577,45450,427250
76,23,1044350,646,1,13,71,13198,656,0,5,1158270509590532239,40600,482250
77,22,1000050,592,1,8,68,12850,682,0,6,2723092763048135829,38350,499950
78,23,1100700,666,1,16,76,15754,702,0,8,13122845774983428654,42250,639000
79,19,868200,531,1,14,67,13477,655,0,5,4965685023175993955,38150,529150
80,24,1121700,685,1,17,75,14483,738,0,5,13366321467458013642,42100,369250
81,24,1103600,684,1,23,77,14926,666,0,10,5225434407343799952,43000,322150
82,20,941700,572,1,12,69,13770,701,0,6,17144005600627460355,40550,455650
83,22,963700,584,1,8,71,13116,705,0,2,3172463878712185715,41250,499900
84,21,1015300,625,1,23,64,13953,673,0,4,4217615970898485345,35200,648050
85,23,1061150,596,1,26,73,15744,687,0,5,13516647274106276985,40550,618700
86,24,1107350,677,1,16,75,14723,756,0,9,5008291309107717762,41750,500600
87,23,1043900,595,1,15,71,13946,679,0,5,8932001459840220485,40500,550250
88,21,994750,580,1,18,67,13732,687,0,4,17281680946136460758,41750,572950
89,24,1004750,590,1,4,71,12726,669,0,4,12460080759193762203,39550,353100
90,23,1093450,579,1,23,70,14297,678,0,8,14868320111583435156,41900,648000
91,23,1099750,612,1,23,75,16183,733,0,6,13811789055068885976,51650,591650
92,24,1088850,615,1,6,75,13772,754,0,8,8179304333814457627,42700,322300
93,21,938850,574,1,5,69,12994,674,0,2,3680634214920296380,41950,387650
94,22,1000200,612,1,14,76,14390,713,0,5,16238525704551767607,47950,541100
95,21,970050,569,1,14,71,14958,722,0,7,163360096210579770,41650,445750
96,24,1148900,687,1,14,73,14480,695,0,5,4524820984596880580,41850,450500
97,18,852450,514,1,16,65,12736,672,0,4,14644356031332163715,36150,361400
98,24,1037650,588,1,10,73,13534,639,0,7,16118538247102962864,41300,385900
99,22,953250,633,1,9,72,12966,682,0,7,4336412986910728191,40750,384200
100,20,957200,584,1,22,74,15315,675,0,10,17430698632303512553,47450,540850
