seed,rounds,simulated_ms,wall_ms,winner_seats,timeouts,encounters,combat_events,bot_commands,bot_rejects,ghosts,final_hash,idle_unit_ms,stunned_unit_ms
1,21,969500,708,1,9,68,13411,717,0,1,17009308803069000230,37600,496250
2,20,938950,648,1,21,68,14475,669,0,4,10490351714429168034,41550,468700
3,22,1043700,783,1,16,71,13689,670,0,7,8572246213570738222,41100,482100
4,20,879850,687,1,7,65,12042,639,0,4,8014837071891072514,36450,454250
5,20,958100,979,1,20,69,14323,705,0,6,9614802763690874066,39200,379050
6,23,1087750,957,1,20,71,13440,687,0,5,16032447538257807176,39300,510450
7,24,1140000,915,1,27,76,15267,658,0,10,5218091238252155368,43950,454200
8,24,1115150,842,1,14,72,14137,672,0,6,8977528069527710494,39950,373050
9,23,1048950,888,1,17,74,15175,769,0,6,10344197559033184533,53250,689500
10,22,1019900,808,1,19,69,13859,721,0,3,8501647269975581203,38150,438700
11,19,905550,749,1,9,65,12788,684,0,2,6038443023516132399,36550,494800
12,21,915650,751,1,5,69,12307,767,0,5,14996392291970923022,40600,279700
13,21,907300,792,1,12,68,11996,703,0,5,5872001159770972066,37500,298600
14,21,961450,1014,1,14,67,13293,685,0,6,4201293361371641674,38650,652250
15,24,1108900,1042,1,16,78,15399,712,0,10,1487806827737852192,50050,409600
16,22,1021400,943,1,12,72,14353,696,0,5,17066044840310302489,40000,554000
17,23,1047150,908,1,11,75,14567,677,0,11,3174008204552758818,43750,455800
18,24,1046850,1072,1,9,74,13579,661,0,10,16541959820506266466,41200,333100
19,21,984000,1072,1,11,71,13353,681,0,4,15204354007698904110,53200,355600
20,23,1029900,981,1,13,74,13726,647,0,4,10448250277617443582,42400,355550
21,21,1018900,923,1,18,71,15139,756,0,5,10411155451667585680,40700,675050
22,24,1018700,978,1,3,75,12537,721,0,7,1608595663911999806,43000,289350
23,23,1018900,1068,1,11,75,13638,762,0,3,2989624932538835783,43250,424100
24,21,1007950,1006,1,20,68,14839,704,0,3,5935774691707404074,41200,557000
25,23,955200,893,1,6,68,11635,745,0,0,15576662328689550699,37650,294550
26,23,1038950,989,1,13,74,14176,700,0,4,928906255590901977,41950,439500
27,19,874150,843,1,14,66,13229,674,0,2,15385487520683453942,36450,590550
28,21,945200,870,1,14,67,12668,714,0,2,4544404746107237068,37050,356600
29,24,1036650,923,1,14,71,12957,657,0,5,4376540771029196632,43700,297150
30,21,963250,871,1,12,68,12593,667,0,7,4162310389280470819,41350,312400
31,22,995850,923,1,16,74,13780,722,0,7,7989000155323080963,44100,466100
32,21,1006950,934,1,29,71,14964,759,0,5,1888016396885894648,43500,586000
33,21,978950,957,1,11,70,13732,719,0,4,473880156601356091,48000,441750
34,24,1125200,1052,1,18,72,14299,701,0,6,5619891524686670267,40000,613350
35,24,1160500,1146,1,14,72,15103,773,0,6,15868793853619711028,40900,621250
36,24,1114000,1021,1,15,73,14806,769,0,4,14817484029522334990,40550,393400
37,21,1021650,920,1,28,69,15721,677,0,7,16616647234022810782,38150,607850
38,24,1111850,1035,1,17,72,14659,720,0,4,10501981829347570778,44150,560150
39,24,1112850,1136,1,16,73,14637,669,0,3,4695841402557082337,41950,648350
40,22,1027050,1067,1,17,72,13912,686,0,5,3209439770775740098,46750,502500
41,20,880400,1033,1,8,70,12935,625,0,6,8100945442803110442,39600,355350
42,22,1012300,1637,1,13,71,13978,713,0,6,5367334717775594952,41250,470900
43,21,1033250,955,1,25,69,15314,712,0,4,6355551028925499205,38050,600050
44,23,1064850,1059,1,11,74,14807,722,0,5,11742697466075002290,41550,434850
45,24,1047550,1070,1,14,72,13129,660,0,4,12561083731033174894,39900,419350
46,24,1098850,1143,1,12,74,13892,749,0,8,657035493676585793,42600,588450
47,23,1019050,1578,1,8,76,14784,709,0,5,4866033159405069980,42350,386700
48,22,1027650,2480,1,19,71,14659,661,0,6,12793340747751790255,43950,459100
49,24,1084200,2091,1,10,74,13796,694,0,8,9560128365869569933,42800,334700
50,24,1109300,2712,1,15,71,13520,662,0,6,17532183648255092476,40050,557150
51,19,918650,1931,1,13,65,13586,712,0,5,12604508334621492763,36550,561450
52,24,1048900,1668,1,9,70,13029,683,0,2,15247230571224970207,39450,381850
53,24,1041750,1282,1,4,70,13146,641,0,7,5812525038601300373,40700,480900
54,23,1035600,1060,1,19,71,14346,697,0,5,460690989008390958,39300,559200
55,20,949750,986,1,24,72,13795,704,0,8,17075981497166621915,39900,403900
56,23,1041850,974,1,13,68,13226,690,0,5,7384387628324684089,37500,331100
57,21,930600,832,1,5,72,13386,707,0,1,18428837474535561247,40000,365400
58,24,1115850,974,1,14,76,14931,679,0,6,12457592467822250912,42350,387950
59,22,959650,814,1,8,69,12347,694,0,4,680000267952852766,39150,375400
60,22,996150,813,1,16,70,13749,713,0,6,13471982541236858543,38850,487150
61,19,886000,706,1,13,68,13156,674,0,2,1826088829818620788,45750,404800
62,22,1049800,872,1,24,71,15856,677,0,5,5783151433487907004,41500,704450
63,24,1125050,882,1,20,74,15517,714,0,3,11640684182108921848,41100,664650
64,21,1028200,784,1,25,73,14971,725,0,6,8942772955676847455,43150,404850
65,24,1107700,712,1,14,76,14245,655,0,6,9352857828383524681,42300,440100
66,24,1061800,728,1,10,75,13787,712,0,4,4971884256522375782,46600,396400
67,19,864900,569,1,11,64,12094,667,0,5,6507807900000351031,35100,489800
68,21,948100,754,1,9,72,13648,717,0,5,8314949411308948486,41450,625700
69,21,874550,717,1,8,70,13165,678,0,5,10673930068498999522,40650,547200
70,24,1079750,835,1,15,71,14010,677,0,6,14742794392626269024,40050,606550
71,22,979500,593,1,16,68,13071,663,0,6,10984928185306501000,37550,395450
72,21,955700,643,1,11,76,13853,707,0,5,2668245353374375763,51350,307900
73,20,941850,799,1,19,66,13427,700,0,2,538663056587073082,37150,456600
74,24,1089600,687,1,10,73,13587,702,0,1,13866930076005509191,40550,333700
75,21,986700,738,1,15,71,13809,753,0,6,7606095482479495023,45450,427250
76,23,1044350,641,1,13,71,13198,656,0,5,7369148681063890435,40600,482250
77,22,1000050,729,1,8,68,12850,682,0,6,18084476872996989814,38350,499950
78,23,1100700,715,1,16,76,15754,702,0,8,5503817937223356087,42250,639000
79,19,868200,602,1,14,67,13477,655,0,5,15425846373678628911,38150,529150
80,24,1121700,851,1,17,75,14483,738,0,5,9027176452434765811,42100,369250
81,24,1103600,772,1,23,77,14926,666,0,10,5329721609494308353,43000,322150
82,20,941700,714,1,12,69,13770,701,0,6,3624337167300647341,40550,455650
83,22,963700,664,1,8,71,13116,705,0,2,13597834320960812558,41250,499900
84,21,1015300,706,1,23,64,13953,673,0,4,3335779708721399772,35200,648050
85,23,1061150,674,1,26,73,15744,687,0,5,13122924307547151356,40550,618700
86,24,1107350,709,1,16,75,14723,756,0,9,9439333245853227918,41750,500600
87,23,1043900,648,1,15,71,13946,679,0,5,14424741651817082845,40500,550250
88,21,994750,641,1,18,67,13732,687,0,4,11232685188612007079,41750,572950
89,24,1004750,604,1,4,71,12726,669,0,4,3484038763535922790,39550,353100
90,23,1093450,634,1,23,70,14297,678,0,8,6022217239072728181,41900,648000
91,23,1099750,786,1,23,75,16183,733,0,6,12386730863081416090,51650,591650
92,24,1088850,836,1,6,75,13772,754,0,8,2922240994272254826,42700,322300
93,21,938850,644,1,5,69,12994,674,0,2,9196132490155464085,41950,387650
94,22,1000200,667,1,14,76,14390,713,0,5,14255047251865083602,47950,541100
95,21,970050,687,1,14,71,14958,722,0,7,11022835335780889323,41650,445750
96,24,1148900,708,1,14,73,14480,695,0,5,17408029581358919643,41850,450500
97,18,852450,550,1,16,65,12736,672,0,4,12545129599156582205,36150,361400
98,24,1037650,631,1,10,73,13534,639,0,7,2233906802314949639,41300,385900
99,22,953250,716,1,9,72,12966,682,0,7,16936353353511284863,40750,384200
100,20,957200,627,1,22,74,15315,675,0,10,1900846141340707849,47450,540850
