formation_a,formation_b,star,investment_per_side,seed,swapped,winner,ticks,timeout,survivors_a,survivors_b,events,observed_replay_exact
shield_heavy,shield_heavy,1,10,1,0,1,777,0,0,1,286,1
shield_heavy,shield_heavy,1,10,1,1,1,777,0,0,1,286,1
shield_heavy,shield_heavy,1,10,2,0,1,743,0,0,2,295,1
shield_heavy,shield_heavy,1,10,2,1,1,743,0,0,2,295,1
shield_heavy,shield_heavy,1,10,3,0,1,734,0,0,4,277,1
shield_heavy,shield_heavy,1,10,3,1,1,734,0,0,4,277,1
shield_heavy,shield_heavy,1,10,4,0,1,779,0,0,3,274,1
shield_heavy,shield_heavy,1,10,4,1,1,779,0,0,3,274,1
shield_heavy,shield_heavy,1,10,5,0,0,678,0,3,0,278,1
shield_heavy,shield_heavy,1,10,5,1,0,678,0,3,0,278,1
shield_heavy,shield_heavy,1,10,6,0,1,604,0,0,3,262,1
shield_heavy,shield_heavy,1,10,6,1,1,604,0,0,3,262,1
shield_heavy,shield_heavy,1,10,7,0,0,800,1,1,1,280,1
shield_heavy,shield_heavy,1,10,7,1,0,800,1,1,1,280,1
shield_heavy,shield_heavy,1,10,8,0,0,644,0,3,0,270,1
shield_heavy,shield_heavy,1,10,8,1,0,644,0,3,0,270,1
shield_heavy,shield_heavy,2,30,1,0,1,777,0,0,2,292,1
shield_heavy,shield_heavy,2,30,1,1,1,777,0,0,2,292,1
shield_heavy,shield_heavy,2,30,2,0,1,800,1,1,2,307,1
shield_heavy,shield_heavy,2,30,2,1,1,800,1,1,2,307,1
shield_heavy,shield_heavy,2,30,3,0,1,734,0,0,4,277,1
shield_heavy,shield_heavy,2,30,3,1,1,734,0,0,4,277,1
shield_heavy,shield_heavy,2,30,4,0,1,800,1,1,2,268,1
shield_heavy,shield_heavy,2,30,4,1,1,800,1,1,2,268,1
shield_heavy,shield_heavy,2,30,5,0,0,704,0,3,0,284,1
shield_heavy,shield_heavy,2,30,5,1,0,704,0,3,0,284,1
shield_heavy,shield_heavy,2,30,6,0,1,609,0,0,3,264,1
shield_heavy,shield_heavy,2,30,6,1,1,609,0,0,3,264,1
shield_heavy,shield_heavy,2,30,7,0,1,752,0,0,2,280,1
shield_heavy,shield_heavy,2,30,7,1,1,752,0,0,2,280,1
shield_heavy,shield_heavy,2,30,8,0,0,634,0,3,0,267,1
shield_heavy,shield_heavy,2,30,8,1,0,634,0,3,0,267,1
shield_heavy,shield_heavy,3,90,1,0,1,723,0,0,3,288,1
shield_heavy,shield_heavy,3,90,1,1,1,723,0,0,3,288,1
shield_heavy,shield_heavy,3,90,2,0,1,800,1,2,1,304,1
shield_heavy,shield_heavy,3,90,2,1,1,800,1,2,1,304,1
shield_heavy,shield_heavy,3,90,3,0,1,734,0,0,4,280,1
shield_heavy,shield_heavy,3,90,3,1,1,734,0,0,4,280,1
shield_heavy,shield_heavy,3,90,4,0,1,769,0,0,3,276,1
shield_heavy,shield_heavy,3,90,4,1,1,769,0,0,3,276,1
