formation,unit_id,cost,column,row
shield_heavy,wc_u_human_guardian,1,2,3
shield_heavy,wc_u_dwarf_guardian,1,3,3
shield_heavy,wc_u_dwarf_warrior,2,4,3
shield_heavy,wc_u_elf_priest,2,2,2
shield_heavy,wc_u_human_priest,1,3,2
shield_heavy,wc_u_orc_mage,3,4,1
sustain,wc_u_human_guardian,1,2,3
sustain,wc_u_dwarf_guardian,1,4,3
sustain,wc_u_elf_rogue,3,5,2
sustain,wc_u_human_priest,1,2,2
sustain,wc_u_elf_priest,2,3,2
sustain,wc_u_dwarf_ranger,2,4,1
spread_ranged,wc_u_human_guardian,1,2,3
spread_ranged,wc_u_dwarf_guardian,1,5,3
spread_ranged,wc_u_elf_ranger,1,0,0
spread_ranged,wc_u_dwarf_ranger,2,7,0
spread_ranged,wc_u_human_mage,2,2,1
spread_ranged,wc_u_orc_mage,3,5,1
paired_mage,wc_u_human_guardian,1,2,3
paired_mage,wc_u_dwarf_guardian,1,3,3
paired_mage,wc_u_dwarf_warrior,2,4,3
paired_mage,wc_u_human_mage,2,2,1
paired_mage,wc_u_orc_mage,3,4,1
paired_mage,wc_u_human_priest,1,3,2
rogue_pressure,wc_u_human_guardian,1,2,3
rogue_pressure,wc_u_dwarf_warrior,2,3,3
rogue_pressure,wc_u_orc_warrior,1,4,3
rogue_pressure,wc_u_elf_rogue,3,0,2
rogue_pressure,wc_u_orc_rogue,2,7,2
rogue_pressure,wc_u_elf_ranger,1,5,0
