formation_a,formation_b,star,seed,original_winner_relative_to_a,swapped_winner_relative_to_a,outcome_changed,original_ticks,swapped_ticks
shield_heavy,sustain,1,1,1,0,True,687,690
shield_heavy,sustain,1,2,0,0,False,800,643
shield_heavy,sustain,1,3,0,0,False,800,774
shield_heavy,sustain,1,4,1,0,True,727,740
shield_heavy,sustain,1,5,0,0,False,646,714
shield_heavy,sustain,1,6,1,0,True,718,775
shield_heavy,sustain,1,7,0,0,False,800,800
shield_heavy,sustain,1,8,0,0,False,562,800
shield_heavy,sustain,2,1,1,0,True,680,669
shield_heavy,sustain,2,2,0,0,False,800,644
shield_heavy,sustain,2,3,0,0,False,800,761
shield_heavy,sustain,2,4,1,0,True,673,800
shield_heavy,sustain,2,5,0,0,False,671,714
shield_heavy,sustain,2,6,1,0,True,740,800
shield_heavy,sustain,2,7,0,0,False,800,800
shield_heavy,sustain,2,8,0,1,True,574,800
shield_heavy,sustain,3,1,1,0,True,678,656
shield_heavy,sustain,3,2,0,0,False,800,674
shield_heavy,sustain,3,3,0,0,False,800,672
shield_heavy,sustain,3,4,1,0,True,667,800
shield_heavy,sustain,3,5,0,0,False,671,715
shield_heavy,sustain,3,6,1,0,True,678,724
shield_heavy,sustain,3,7,0,0,False,785,799
shield_heavy,sustain,3,8,0,1,True,565,766
shield_heavy,spread_ranged,1,1,1,1,False,433,444
shield_heavy,spread_ranged,1,2,1,1,False,481,444
shield_heavy,spread_ranged,1,3,1,1,False,444,433
shield_heavy,spread_ranged,1,4,1,1,False,530,527
shield_heavy,spread_ranged,1,5,1,1,False,483,507
shield_heavy,spread_ranged,1,6,1,1,False,469,497
shield_heavy,spread_ranged,1,7,1,1,False,506,488
shield_heavy,spread_ranged,1,8,1,1,False,471,437
shield_heavy,spread_ranged,2,1,1,1,False,433,539
shield_heavy,spread_ranged,2,2,1,1,False,469,444
shield_heavy,spread_ranged,2,3,1,1,False,444,433
shield_heavy,spread_ranged,2,4,1,1,False,530,563
shield_heavy,spread_ranged,2,5,1,1,False,481,507
shield_heavy,spread_ranged,2,6,1,1,False,469,497
