formation_a,formation_b,star,seed,original_winner_relative_to_a,swapped_winner_relative_to_a,outcome_changed,original_ticks,swapped_ticks
shield_heavy,sustain,1,1,0,0,False,727,588
shield_heavy,sustain,1,2,0,0,False,543,563
shield_heavy,sustain,1,3,0,0,False,769,523
shield_heavy,sustain,1,4,0,0,False,727,563
shield_heavy,sustain,1,5,0,0,False,520,642
shield_heavy,sustain,1,6,0,0,False,727,563
shield_heavy,sustain,1,7,0,0,False,664,720
shield_heavy,sustain,1,8,0,0,False,595,531
shield_heavy,sustain,2,1,1,0,True,751,713
shield_heavy,sustain,2,2,0,0,False,543,563
shield_heavy,sustain,2,3,0,0,False,769,517
shield_heavy,sustain,2,4,0,0,False,727,563
shield_heavy,sustain,2,5,0,0,False,520,607
shield_heavy,sustain,2,6,0,0,False,727,563
shield_heavy,sustain,2,7,0,0,False,664,720
shield_heavy,sustain,2,8,0,0,False,595,526
shield_heavy,sustain,3,1,0,0,False,727,713
shield_heavy,sustain,3,2,0,0,False,543,563
shield_heavy,sustain,3,3,0,0,False,800,517
shield_heavy,sustain,3,4,0,0,False,800,563
shield_heavy,sustain,3,5,0,0,False,520,607
shield_heavy,sustain,3,6,0,0,False,727,563
shield_heavy,sustain,3,7,0,0,False,664,774
shield_heavy,sustain,3,8,0,0,False,595,526
shield_heavy,spread_ranged,1,1,1,1,False,563,514
shield_heavy,spread_ranged,1,2,1,1,False,530,503
shield_heavy,spread_ranged,1,3,1,1,False,590,550
shield_heavy,spread_ranged,1,4,1,1,False,593,527
shield_heavy,spread_ranged,1,5,1,1,False,506,582
shield_heavy,spread_ranged,1,6,1,1,False,577,515
shield_heavy,spread_ranged,1,7,1,1,False,577,577
shield_heavy,spread_ranged,1,8,1,1,False,530,506
shield_heavy,spread_ranged,2,1,1,1,False,563,514
shield_heavy,spread_ranged,2,2,1,1,False,530,503
shield_heavy,spread_ranged,2,3,1,1,False,590,550
shield_heavy,spread_ranged,2,4,1,1,False,593,527
shield_heavy,spread_ranged,2,5,1,1,False,506,582
shield_heavy,spread_ranged,2,6,1,1,False,577,515
shield_heavy,spread_ranged,2,7,1,1,False,577,577
shield_heavy,spread_ranged,2,8,1,1,False,530,506
shield_heavy,spread_ranged,3,1,1,1,False,563,514
shield_heavy,spread_ranged,3,2,1,1,False,530,503
shield_heavy,spread_ranged,3,3,1,1,False,590,550
shield_heavy,spread_ranged,3,4,1,1,False,593,527
shield_heavy,spread_ranged,3,5,1,1,False,506,582
shield_heavy,spread_ranged,3,6,1,1,False,577,515
shield_heavy,spread_ranged,3,7,1,1,False,577,577
shield_heavy,spread_ranged,3,8,1,1,False,530,506
shield_heavy,paired_mage,1,1,1,1,False,750,685
shield_heavy,paired_mage,1,2,-1,1,True,734,686
shield_heavy,paired_mage,1,3,1,0,True,590,800
shield_heavy,paired_mage,1,4,1,0,True,800,726
shield_heavy,paired_mage,1,5,1,0,True,464,770
shield_heavy,paired_mage,1,6,1,1,False,797,545
shield_heavy,paired_mage,1,7,1,1,False,570,514
shield_heavy,paired_mage,1,8,0,1,True,669,548
shield_heavy,paired_mage,2,1,1,1,False,750,685
shield_heavy,paired_mage,2,2,-1,1,True,734,686
shield_heavy,paired_mage,2,3,1,0,True,590,800
shield_heavy,paired_mage,2,4,1,0,True,800,726
shield_heavy,paired_mage,2,5,1,0,True,464,770
shield_heavy,paired_mage,2,6,1,1,False,797,545
shield_heavy,paired_mage,2,7,1,1,False,570,514
shield_heavy,paired_mage,2,8,0,1,True,669,548
shield_heavy,paired_mage,3,1,1,1,False,750,685
shield_heavy,paired_mage,3,2,-1,1,True,734,686
shield_heavy,paired_mage,3,3,1,0,True,590,800
shield_heavy,paired_mage,3,4,1,0,True,800,726
shield_heavy,paired_mage,3,5,1,0,True,464,770
shield_heavy,paired_mage,3,6,1,1,False,797,545
shield_heavy,paired_mage,3,7,1,1,False,570,514
shield_heavy,paired_mage,3,8,0,1,True,669,548
shield_heavy,rogue_pressure,1,1,0,0,False,721,712
shield_heavy,rogue_pressure,1,2,0,0,False,650,706
shield_heavy,rogue_pressure,1,3,0,0,False,800,602
shield_heavy,rogue_pressure,1,4,0,0,False,597,559
shield_heavy,rogue_pressure,1,5,0,0,False,714,630
shield_heavy,rogue_pressure,1,6,0,0,False,800,638
shield_heavy,rogue_pressure,1,7,0,0,False,577,598
shield_heavy,rogue_pressure,1,8,0,0,False,714,800
shield_heavy,rogue_pressure,2,1,0,0,False,721,712
shield_heavy,rogue_pressure,2,2,0,0,False,650,706
shield_heavy,rogue_pressure,2,3,0,0,False,800,602
shield_heavy,rogue_pressure,2,4,0,0,False,597,559
shield_heavy,rogue_pressure,2,5,0,0,False,714,630
shield_heavy,rogue_pressure,2,6,0,0,False,800,638
shield_heavy,rogue_pressure,2,7,0,0,False,577,598
shield_heavy,rogue_pressure,2,8,0,0,False,714,722
shield_heavy,rogue_pressure,3,1,0,0,False,721,735
shield_heavy,rogue_pressure,3,2,0,0,False,678,706
shield_heavy,rogue_pressure,3,3,0,0,False,800,602
shield_heavy,rogue_pressure,3,4,0,0,False,597,559
shield_heavy,rogue_pressure,3,5,0,0,False,714,630
shield_heavy,rogue_pressure,3,6,0,0,False,777,638
shield_heavy,rogue_pressure,3,7,0,0,False,800,598
shield_heavy,rogue_pressure,3,8,0,0,False,714,800
sustain,spread_ranged,1,1,1,1,False,403,463
sustain,spread_ranged,1,2,1,1,False,463,415
sustain,spread_ranged,1,3,1,1,False,416,457
sustain,spread_ranged,1,4,1,1,False,463,453
sustain,spread_ranged,1,5,1,1,False,463,403
sustain,spread_ranged,1,6,1,1,False,472,453
sustain,spread_ranged,1,7,1,1,False,466,424
sustain,spread_ranged,1,8,1,1,False,416,479
sustain,spread_ranged,2,1,1,1,False,403,466
sustain,spread_ranged,2,2,1,1,False,463,415
sustain,spread_ranged,2,3,1,1,False,416,457
sustain,spread_ranged,2,4,1,1,False,463,440
sustain,spread_ranged,2,5,1,1,False,463,403
sustain,spread_ranged,2,6,1,1,False,472,440
sustain,spread_ranged,2,7,1,1,False,466,424
sustain,spread_ranged,2,8,1,1,False,416,415
sustain,spread_ranged,3,1,1,1,False,403,466
sustain,spread_ranged,3,2,1,1,False,463,415
sustain,spread_ranged,3,3,1,1,False,416,457
sustain,spread_ranged,3,4,1,1,False,463,440
sustain,spread_ranged,3,5,1,1,False,463,403
sustain,spread_ranged,3,6,1,1,False,472,440
sustain,spread_ranged,3,7,1,1,False,466,424
sustain,spread_ranged,3,8,1,1,False,416,415
sustain,paired_mage,1,1,1,1,False,537,508
sustain,paired_mage,1,2,1,1,False,550,485
sustain,paired_mage,1,3,1,1,False,608,492
sustain,paired_mage,1,4,1,1,False,537,521
sustain,paired_mage,1,5,1,1,False,562,457
sustain,paired_mage,1,6,1,1,False,521,579
sustain,paired_mage,1,7,1,1,False,596,550
sustain,paired_mage,1,8,1,1,False,557,487
sustain,paired_mage,2,1,1,1,False,537,520
sustain,paired_mage,2,2,1,1,False,642,485
sustain,paired_mage,2,3,1,1,False,506,492
sustain,paired_mage,2,4,1,1,False,537,550
sustain,paired_mage,2,5,1,1,False,562,457
sustain,paired_mage,2,6,1,1,False,479,613
sustain,paired_mage,2,7,1,1,False,506,550
sustain,paired_mage,2,8,1,1,False,526,467
sustain,paired_mage,3,1,1,1,False,512,520
sustain,paired_mage,3,2,1,1,False,642,485
sustain,paired_mage,3,3,1,1,False,506,492
sustain,paired_mage,3,4,1,1,False,526,550
sustain,paired_mage,3,5,1,1,False,562,457
sustain,paired_mage,3,6,1,1,False,479,613
sustain,paired_mage,3,7,1,1,False,506,550
sustain,paired_mage,3,8,1,1,False,526,462
sustain,rogue_pressure,1,1,1,0,True,478,724
sustain,rogue_pressure,1,2,1,1,False,525,524
sustain,rogue_pressure,1,3,1,1,False,491,658
sustain,rogue_pressure,1,4,1,0,True,800,729
sustain,rogue_pressure,1,5,1,1,False,642,526
sustain,rogue_pressure,1,6,1,0,True,696,663
sustain,rogue_pressure,1,7,0,0,False,712,688
sustain,rogue_pressure,1,8,1,1,False,459,713
sustain,rogue_pressure,2,1,1,0,True,478,743
sustain,rogue_pressure,2,2,1,1,False,523,506
sustain,rogue_pressure,2,3,1,1,False,491,658
sustain,rogue_pressure,2,4,0,0,False,800,770
sustain,rogue_pressure,2,5,1,1,False,642,519
sustain,rogue_pressure,2,6,1,0,True,669,654
sustain,rogue_pressure,2,7,0,0,False,667,641
sustain,rogue_pressure,2,8,1,1,False,477,694
sustain,rogue_pressure,3,1,1,1,False,478,800
sustain,rogue_pressure,3,2,1,1,False,539,506
sustain,rogue_pressure,3,3,1,1,False,491,658
sustain,rogue_pressure,3,4,1,0,True,800,800
sustain,rogue_pressure,3,5,1,1,False,642,523
sustain,rogue_pressure,3,6,1,0,True,600,642
sustain,rogue_pressure,3,7,0,0,False,732,732
sustain,rogue_pressure,3,8,1,1,False,477,500
spread_ranged,paired_mage,1,1,0,0,False,444,433
spread_ranged,paired_mage,1,2,0,0,False,422,472
spread_ranged,paired_mage,1,3,0,0,False,440,510
spread_ranged,paired_mage,1,4,0,0,False,584,487
spread_ranged,paired_mage,1,5,0,0,False,510,497
spread_ranged,paired_mage,1,6,0,0,False,509,446
spread_ranged,paired_mage,1,7,0,0,False,510,510
spread_ranged,paired_mage,1,8,0,0,False,444,530
spread_ranged,paired_mage,2,1,0,0,False,444,433
spread_ranged,paired_mage,2,2,0,0,False,422,472
spread_ranged,paired_mage,2,3,0,0,False,440,510
spread_ranged,paired_mage,2,4,0,0,False,584,487
spread_ranged,paired_mage,2,5,0,0,False,510,497
spread_ranged,paired_mage,2,6,0,0,False,509,446
