case,status,assertions,error
canonical_alpha_trait_contract,PASS,22,
human_two_distinct_matching_only_star1,PASS,6,
human_duplicate_stars_do_not_count_star1,PASS,6,
human_bench_excluded_star1,PASS,5,
human_two_distinct_matching_only_star2,PASS,6,
human_duplicate_stars_do_not_count_star2,PASS,6,
human_bench_excluded_star2,PASS,5,
human_two_distinct_matching_only_star3,PASS,6,
human_duplicate_stars_do_not_count_star3,PASS,6,
human_bench_excluded_star3,PASS,5,
human_duplicate_recipient_gets_bonus_once,PASS,7,
human_opponent_types_do_not_enable_friendly,PASS,7,
human_four_instances_do_not_unlock_expansion_tier,PASS,8,
elf_two_distinct_matching_only_star1,PASS,6,
elf_duplicate_stars_do_not_count_star1,PASS,6,
elf_bench_excluded_star1,PASS,5,
elf_two_distinct_matching_only_star2,PASS,6,
elf_duplicate_stars_do_not_count_star2,PASS,6,
elf_bench_excluded_star2,PASS,5,
elf_two_distinct_matching_only_star3,PASS,6,
elf_duplicate_stars_do_not_count_star3,PASS,6,
elf_bench_excluded_star3,PASS,5,
elf_duplicate_recipient_gets_bonus_once,PASS,7,
elf_opponent_types_do_not_enable_friendly,PASS,7,
elf_four_instances_do_not_unlock_expansion_tier,PASS,8,
dwarf_two_distinct_matching_only_star1,PASS,6,
dwarf_duplicate_stars_do_not_count_star1,PASS,6,
dwarf_bench_excluded_star1,PASS,5,
dwarf_two_distinct_matching_only_star2,PASS,6,
dwarf_duplicate_stars_do_not_count_star2,PASS,6,
dwarf_bench_excluded_star2,PASS,5,
dwarf_two_distinct_matching_only_star3,PASS,6,
dwarf_duplicate_stars_do_not_count_star3,PASS,6,
dwarf_bench_excluded_star3,PASS,5,
dwarf_duplicate_recipient_gets_bonus_once,PASS,7,
dwarf_opponent_types_do_not_enable_friendly,PASS,7,
dwarf_four_instances_do_not_unlock_expansion_tier,PASS,8,
orc_two_distinct_matching_only_star1,PASS,6,
orc_duplicate_stars_do_not_count_star1,PASS,6,
orc_bench_excluded_star1,PASS,5,
orc_two_distinct_matching_only_star2,PASS,6,
orc_duplicate_stars_do_not_count_star2,PASS,6,
orc_bench_excluded_star2,PASS,5,
orc_two_distinct_matching_only_star3,PASS,6,
orc_duplicate_stars_do_not_count_star3,PASS,6,
orc_bench_excluded_star3,PASS,5,
orc_duplicate_recipient_gets_bonus_once,PASS,7,
orc_opponent_types_do_not_enable_friendly,PASS,7,
orc_four_instances_do_not_unlock_expansion_tier,PASS,8,
guardian_two_distinct_matching_only_star1,PASS,6,
guardian_duplicate_stars_do_not_count_star1,PASS,6,
guardian_bench_excluded_star1,PASS,5,
guardian_two_distinct_matching_only_star2,PASS,6,
guardian_duplicate_stars_do_not_count_star2,PASS,6,
guardian_bench_excluded_star2,PASS,5,
guardian_two_distinct_matching_only_star3,PASS,6,
guardian_duplicate_stars_do_not_count_star3,PASS,6,
guardian_bench_excluded_star3,PASS,5,
guardian_duplicate_recipient_gets_bonus_once,PASS,7,
guardian_opponent_types_do_not_enable_friendly,PASS,7,
guardian_four_instances_do_not_unlock_expansion_tier,PASS,8,
warrior_two_distinct_matching_only_star1,PASS,6,
warrior_duplicate_stars_do_not_count_star1,PASS,6,
warrior_bench_excluded_star1,PASS,5,
warrior_two_distinct_matching_only_star2,PASS,6,
warrior_duplicate_stars_do_not_count_star2,PASS,6,
warrior_bench_excluded_star2,PASS,5,
