wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available
5.004594,0,1,0,0,0,6.612301,2.450700,6.566200,6.690800,1
5.012444,0,1,0,0,0,7.776801,2.336400,7.767300,7.178200,1
5.020118,0,1,0,0,0,6.893799,3.181600,6.850900,6.952000,1
5.026158,0,1,0,0,0,6.760299,3.639300,6.693800,7.413700,1
5.032285,0,1,0,0,0,6.234299,2.791600,6.196400,5.866400,1
5.040717,0,1,0,0,0,7.860001,3.449100,7.807600,7.365600,1
5.048925,0,1,0,0,0,8.730300,3.201500,8.767800,6.961200,1
5.055066,0,1,0,0,0,6.141100,2.719600,6.076000,7.549900,1
5.061649,0,1,0,0,0,6.593399,3.092600,6.553800,7.145500,1
5.068507,0,1,0,0,0,6.854601,2.427100,6.816900,6.896700,1
5.074374,0,1,0,0,0,5.940001,2.415800,5.909900,6.153100,1
5.081647,0,1,0,0,0,7.176399,2.647900,7.126200,7.481300,1
5.089098,0,1,0,0,0,7.598698,2.533700,7.104000,6.644800,1
5.095752,0,1,0,0,0,6.531101,2.751200,6.950900,7.073700,1
5.101845,0,1,0,0,0,6.152902,2.400500,6.141200,6.670400,1
5.109068,0,1,0,0,0,7.197000,2.378800,7.154100,6.937600,1
5.116839,0,1,0,0,0,7.714800,2.388900,7.657200,7.731200,1
5.123743,0,1,0,0,0,6.244697,2.494400,6.202800,6.213600,1
5.130464,0,1,0,0,0,7.422101,3.490900,7.341300,7.388200,1
5.136765,0,1,0,0,0,6.375000,2.620700,6.395200,6.861800,1
5.144828,0,1,0,0,0,8.028101,2.269200,7.986600,7.068700,1
5.151579,0,1,0,0,0,6.749701,2.596600,6.723000,7.046100,1
5.158446,0,1,0,0,0,6.779700,2.413100,6.690800,6.680600,1
5.166272,0,1,0,0,0,7.707797,2.419300,7.537300,7.900200,1
5.173564,0,1,0,0,0,7.484701,2.983800,7.647500,6.234100,1
5.179973,0,1,0,0,0,6.429501,2.450800,6.355000,7.415800,1
5.187078,0,1,0,0,0,6.997101,2.704800,6.963700,6.625300,1
5.192927,0,1,0,0,0,5.897399,2.674000,5.864500,6.681600,1
5.200426,0,1,0,0,0,7.581901,2.500600,7.517300,6.998000,1
5.207967,0,1,0,0,0,7.437799,2.329200,7.423400,7.414800,1
5.215280,0,1,0,0,0,7.414900,2.540500,7.379600,7.678900,1
5.223710,0,1,0,0,0,7.707402,2.472200,7.702100,7.318600,1
5.229374,0,1,0,0,0,6.286997,3.176400,6.243200,7.129100,1
5.236249,0,1,0,0,0,6.943799,2.530200,6.933800,6.588400,1
5.243290,0,1,0,0,0,7.031202,3.071700,6.999900,6.603800,1
5.250140,0,1,0,0,0,6.800700,2.833200,6.738500,6.598600,1
5.257221,0,1,0,0,0,7.075701,2.625300,7.078500,7.649300,1
5.264510,0,1,0,0,0,7.377699,2.710600,7.307100,6.485000,1
5.271088,0,1,0,0,0,6.518301,2.410700,6.484400,7.383000,1
5.278821,0,1,0,0,0,7.764697,2.354800,7.587300,6.680600,1
5.284752,0,1,0,0,0,5.899701,2.676600,5.931100,7.027700,1
5.292068,0,1,0,0,0,7.294100,2.672300,7.272200,7.614500,1
5.298178,0,1,0,0,0,6.184802,2.842700,6.149500,5.978100,1
5.305896,0,1,0,0,0,7.656898,2.822200,7.480200,7.788500,1
5.312361,0,1,0,0,0,6.523602,2.529800,6.645500,5.930000,1
5.319964,0,1,0,0,0,7.473498,2.411300,7.132700,7.446500,1
5.327324,0,1,0,0,0,6.755899,2.490600,6.758800,7.614500,1
5.333332,0,1,0,0,0,6.758500,3.373100,6.694100,6.642700,1
5.340457,0,1,0,0,0,7.137202,2.328100,7.099300,7.388200,1
5.346573,0,1,0,0,0,6.091699,2.297000,6.060900,6.146000,1
5.355263,0,1,0,0,0,8.657102,2.415300,8.576100,7.898100,1
5.361638,0,1,0,0,0,6.377399,2.315600,6.408400,7.015400,1
5.368387,0,1,0,0,0,6.781701,2.341300,6.671700,6.563900,1
5.375119,0,1,0,0,0,6.620399,2.257300,6.592800,6.598600,1
5.381931,0,1,0,0,0,6.902199,2.468900,6.933300,6.586400,1
5.388250,0,1,0,0,0,6.278500,2.323300,6.219900,6.870000,1
5.394825,0,1,0,0,0,6.601598,2.406900,6.588600,6.532100,1
5.402458,0,1,0,0,0,7.555302,2.207500,7.446400,7.509000,1
5.409054,0,1,0,0,0,6.722499,2.390800,6.734100,5.943300,1
5.417669,0,1,0,0,0,8.539800,2.446600,8.356500,8.393700,1
5.424184,0,1,0,0,0,6.513603,2.326300,6.487900,7.228400,1
5.432699,0,1,0,0,0,7.442098,2.880800,7.367400,6.746200,1
5.438874,0,1,0,0,0,7.038299,3.550600,7.035200,7.429100,1
5.444775,0,1,0,0,0,6.190602,2.968000,6.180100,6.137800,1
5.452026,0,1,0,0,0,6.990701,3.006600,6.866200,7.638100,1
5.458731,0,1,0,0,0,6.850399,2.593500,6.911600,6.638500,1
5.465948,0,1,0,0,0,7.029798,2.403600,6.892300,6.632500,1
5.472235,0,1,0,0,0,6.350502,2.633300,6.407100,6.667300,1
5.480050,0,1,0,0,0,8.005697,2.823900,7.944400,7.322600,1
5.488242,0,1,0,0,0,7.755302,2.645600,7.319000,7.462900,1
5.493527,0,1,0,0,0,5.683400,3.213700,6.035600,6.013900,1
5.501187,0,1,0,0,0,7.617500,2.574300,7.522500,7.939100,1
5.506135,0,1,0,0,0,5.073201,2.566400,5.144000,5.881900,1
5.513639,0,1,0,0,0,7.360201,2.301700,7.216500,7.092200,1
5.520317,0,1,0,0,0,6.770097,2.851000,6.810100,6.619100,1
5.527197,0,1,0,0,0,6.875601,2.522500,6.815800,6.597700,1
5.537453,0,1,0,0,0,9.442501,2.392500,8.449400,7.393300,1
5.542345,0,1,0,0,0,5.759399,4.953100,6.241500,7.393300,1
5.548032,0,1,0,0,0,5.642001,3.148100,5.603400,6.804500,1
5.553775,0,1,0,0,0,5.760699,2.371900,5.684600,5.979000,1
5.562379,0,1,0,0,0,8.602299,2.640900,8.613500,8.111100,1
5.568620,0,1,0,0,0,6.080002,2.312200,6.041200,6.637600,1
5.575616,0,1,0,0,0,7.043999,2.479800,6.991600,6.718500,1
5.582529,0,1,0,0,0,6.986301,2.543400,6.972600,6.959100,1
5.588848,0,1,0,0,0,6.338999,3.031300,6.290500,6.656000,1
