wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available
5.002489,0,1,0,0,0,16.666698,3.808500,5.449000,17.659901,1
5.019357,0,1,0,0,0,16.667101,2.737400,5.085000,15.859700,1
5.035936,0,1,0,0,0,16.666698,3.670700,4.706800,18.177000,1
5.052487,0,1,0,0,0,16.666901,3.170500,4.881000,15.775800,1
5.069323,0,1,0,0,0,16.666800,3.023800,5.086000,16.008200,1
5.085972,0,1,0,0,0,16.667097,3.981200,5.089500,17.874901,1
5.102736,0,1,0,0,0,16.666901,3.673100,4.651700,15.617100,1
5.119320,0,1,0,0,0,16.666800,2.989800,4.944400,16.843700,1
5.135867,0,1,0,0,0,16.666901,3.158400,5.145500,16.506901,1
5.153055,0,1,0,0,0,16.666698,2.757200,4.611800,16.581600,1
5.169290,0,1,0,0,0,16.666800,3.617100,5.104500,17.336399,1
5.186092,0,1,0,0,0,16.666901,3.225200,4.764000,16.234501,1
5.202672,0,1,0,0,0,16.667101,3.333100,5.109000,16.715700,1
5.219222,0,1,0,0,0,16.666800,2.957600,5.833900,16.589800,1
5.235855,0,1,0,0,0,16.666800,2.826600,5.854300,16.451500,1
5.252709,0,1,0,0,0,16.667002,3.387000,6.983900,16.814100,1
5.269245,0,1,0,0,0,16.666901,3.963500,4.509000,16.725000,1
5.285912,0,1,0,0,0,16.666901,2.989900,4.265900,16.491501,1
5.302491,0,1,0,0,0,16.666897,2.580900,5.296700,16.762899,1
5.319149,0,1,0,0,0,16.666803,2.944800,5.161400,16.490499,1
5.335919,0,1,0,0,0,16.666897,2.877000,4.755800,16.698400,1
5.352490,0,1,0,0,0,16.666901,3.164900,4.398800,16.854000,1
5.369168,0,1,0,0,0,16.666702,2.985900,4.356000,16.452499,1
5.386102,0,1,0,0,0,16.694397,2.641200,5.484100,16.488400,1
5.402513,0,1,0,0,0,16.666901,3.205700,4.594000,17.235001,1
5.419188,0,1,0,0,0,16.666800,2.711200,4.375700,16.299999,1
