seed,rounds,simulated_ms,encounters,timeouts,ghosts,commands,rejects,final_hash
1,21,969500,68,9,1,717,0,17009308803069000230
2,20,938950,68,21,4,669,0,10490351714429168034
3,22,1043700,71,16,7,670,0,8572246213570738222
4,20,879850,65,7,4,639,0,8014837071891072514
5,20,958100,69,20,6,705,0,9614802763690874066
6,23,1087750,71,20,5,687,0,16032447538257807176
7,24,1140000,76,27,10,658,0,5218091238252155368
8,24,1115150,72,14,6,672,0,8977528069527710494
9,23,1048950,74,17,6,769,0,10344197559033184533
10,22,1019900,69,19,3,721,0,8501647269975581203
11,19,905550,65,9,2,684,0,6038443023516132399
12,21,915650,69,5,5,767,0,14996392291970923022
13,21,907300,68,12,5,703,0,5872001159770972066
14,21,961450,67,14,6,685,0,4201293361371641674
15,24,1108900,78,16,10,712,0,1487806827737852192
16,22,1021400,72,12,5,696,0,17066044840310302489
17,23,1047150,75,11,11,677,0,3174008204552758818
18,24,1046850,74,9,10,661,0,16541959820506266466
19,21,984000,71,11,4,681,0,15204354007698904110
20,23,1029900,74,13,4,647,0,10448250277617443582
21,21,1018900,71,18,5,756,0,10411155451667585680
22,24,1018700,75,3,7,721,0,1608595663911999806
23,23,1018900,75,11,3,762,0,2989624932538835783
24,21,1007950,68,20,3,704,0,5935774691707404074
25,23,955200,68,6,0,745,0,15576662328689550699
26,23,1038950,74,13,4,700,0,928906255590901977
27,19,874150,66,14,2,674,0,15385487520683453942
28,21,945200,67,14,2,714,0,4544404746107237068
29,24,1036650,71,14,5,657,0,4376540771029196632
30,21,963250,68,12,7,667,0,4162310389280470819
31,22,995850,74,16,7,722,0,7989000155323080963
32,21,1006950,71,29,5,759,0,1888016396885894648
33,21,978950,70,11,4,719,0,473880156601356091
34,24,1125200,72,18,6,701,0,5619891524686670267
35,24,1160500,72,14,6,773,0,15868793853619711028
36,24,1114000,73,15,4,769,0,14817484029522334990
37,21,1021650,69,28,7,677,0,16616647234022810782
38,24,1111850,72,17,4,720,0,10501981829347570778
39,24,1112850,73,16,3,669,0,4695841402557082337
40,22,1027050,72,17,5,686,0,3209439770775740098
41,20,880400,70,8,6,625,0,8100945442803110442
42,22,1012300,71,13,6,713,0,5367334717775594952
43,21,1033250,69,25,4,712,0,6355551028925499205
44,23,1064850,74,11,5,722,0,11742697466075002290
45,24,1047550,72,14,4,660,0,12561083731033174894
46,24,1098850,74,12,8,749,0,657035493676585793
47,23,1019050,76,8,5,709,0,4866033159405069980
48,22,1027650,71,19,6,661,0,12793340747751790255
49,24,1084200,74,10,8,694,0,9560128365869569933
50,24,1109300,71,15,6,662,0,17532183648255092476
51,19,918650,65,13,5,712,0,12604508334621492763
52,24,1048900,70,9,2,683,0,15247230571224970207
53,24,1041750,70,4,7,641,0,5812525038601300373
54,23,1035600,71,19,5,697,0,460690989008390958
55,20,949750,72,24,8,704,0,17075981497166621915
56,23,1041850,68,13,5,690,0,7384387628324684089
57,21,930600,72,5,1,707,0,18428837474535561247
58,24,1115850,76,14,6,679,0,12457592467822250912
59,22,959650,69,8,4,694,0,680000267952852766
60,22,996150,70,16,6,713,0,13471982541236858543
61,19,886000,68,13,2,674,0,1826088829818620788
62,22,1049800,71,24,5,677,0,5783151433487907004
63,24,1125050,74,20,3,714,0,11640684182108921848
64,21,1028200,73,25,6,725,0,8942772955676847455
65,24,1107700,76,14,6,655,0,9352857828383524681
66,24,1061800,75,10,4,712,0,4971884256522375782
67,19,864900,64,11,5,667,0,6507807900000351031
68,21,948100,72,9,5,717,0,8314949411308948486
69,21,874550,70,8,5,678,0,10673930068498999522
70,24,1079750,71,15,6,677,0,14742794392626269024
71,22,979500,68,16,6,663,0,10984928185306501000
72,21,955700,76,11,5,707,0,2668245353374375763
73,20,941850,66,19,2,700,0,538663056587073082
74,24,1089600,73,10,1,702,0,13866930076005509191
75,21,986700,71,15,6,753,0,7606095482479495023
76,23,1044350,71,13,5,656,0,7369148681063890435
77,22,1000050,68,8,6,682,0,18084476872996989814
78,23,1100700,76,16,8,702,0,5503817937223356087
79,19,868200,67,14,5,655,0,15425846373678628911
80,24,1121700,75,17,5,738,0,9027176452434765811
81,24,1103600,77,23,10,666,0,5329721609494308353
82,20,941700,69,12,6,701,0,3624337167300647341
83,22,963700,71,8,2,705,0,13597834320960812558
84,21,1015300,64,23,4,673,0,3335779708721399772
85,23,1061150,73,26,5,687,0,13122924307547151356
86,24,1107350,75,16,9,756,0,9439333245853227918
87,23,1043900,71,15,5,679,0,14424741651817082845
88,21,994750,67,18,4,687,0,11232685188612007079
89,24,1004750,71,4,4,669,0,3484038763535922790
90,23,1093450,70,23,8,678,0,6022217239072728181
91,23,1099750,75,23,6,733,0,12386730863081416090
92,24,1088850,75,6,8,754,0,2922240994272254826
93,21,938850,69,5,2,674,0,9196132490155464085
94,22,1000200,76,14,5,713,0,14255047251865083602
95,21,970050,71,14,7,722,0,11022835335780889323
96,24,1148900,73,14,5,695,0,17408029581358919643
97,18,852450,65,16,4,672,0,12545129599156582205
98,24,1037650,73,10,7,639,0,2233906802314949639
99,22,953250,72,9,7,682,0,16936353353511284863
100,20,957200,74,22,10,675,0,1900846141340707849
