wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.002555,1,1,6,22,4,16.686302,2.007300,4.605400,16.891899,1,23975,23975
5.019320,1,1,6,22,4,16.666800,2.911300,4.563100,16.761900,1,23975,23975
5.037616,1,1,6,22,4,16.666901,2.131700,2.611800,16.743401,1,23983,23983
5.052479,1,1,6,22,4,16.666698,3.989800,3.169800,18.788401,1,23983,23983
5.069151,1,1,6,22,4,16.666800,2.296700,3.257600,14.803900,1,23983,23983
5.085880,1,1,6,22,4,16.666901,1.732200,2.404600,16.406601,1,23983,23983
5.102552,1,1,6,22,4,16.666800,1.772500,2.867600,16.841700,1,23983,23983
5.119174,1,1,6,22,4,16.667002,1.934000,3.645900,16.251900,1,23983,23983
5.135843,1,1,6,22,4,16.666901,1.687500,3.399700,7.680000,1,23983,23983
5.153993,1,1,6,22,4,16.666800,3.707100,3.494400,18.378700,1,23982,23982
5.169146,1,1,6,22,4,16.666800,4.255300,3.495500,16.552999,1,23982,23982
5.185854,1,1,6,22,4,16.666800,1.761400,2.678600,14.662600,1,23982,23982
5.202437,1,1,6,22,4,16.667002,1.779300,2.476700,17.051701,1,23982,23982
5.219278,1,1,6,22,4,16.666998,1.492100,3.770500,16.073700,1,23982,23982
5.235875,1,1,6,22,4,16.666800,1.940200,2.768600,17.523701,1,23982,23982
5.252507,1,1,6,22,4,16.666901,1.956000,2.969600,16.327700,1,23982,23982
5.270611,1,1,6,22,4,16.667002,1.795600,2.830000,16.539700,1,23982,23982
5.285801,1,1,6,22,4,16.666698,3.693200,3.069800,18.256901,1,23982,23982
5.302409,1,1,6,22,4,16.666901,1.713000,2.918400,14.964700,1,23982,23982
5.319268,1,1,6,22,4,16.666800,1.794000,3.259200,16.456699,1,23982,23982
5.335899,1,1,6,22,4,16.667002,2.262600,2.513800,16.975901,1,23982,23982
5.352473,1,1,6,22,4,16.666901,1.844400,2.581300,16.924601,1,23982,23982
5.369156,1,1,6,22,4,16.666800,1.590500,3.076300,16.343100,1,23982,23982
5.388108,1,1,6,21,3,16.666698,1.613400,2.738900,16.743401,1,23970,23970
5.402473,1,1,6,21,3,16.666800,4.409800,4.377300,19.266600,1,23970,23970
5.419274,1,1,6,21,3,16.666800,2.027400,3.145200,13.836300,1,23970,23970
5.435839,1,1,6,21,3,16.666800,1.924800,2.721900,16.979900,1,23970,23970
5.452537,1,1,6,21,3,16.666901,2.228200,4.286200,16.856100,1,23970,23970
5.469321,1,1,6,21,3,16.666800,1.808300,4.223000,16.671700,1,23970,23970
5.485892,1,1,6,21,3,16.666800,2.770700,3.445100,17.284100,1,23970,23970
5.502472,1,1,6,21,3,16.666702,1.930000,3.398900,15.884300,1,23970,23970
5.520562,1,1,6,21,3,16.666800,2.432700,3.752000,16.395300,1,23975,23975
5.535902,1,1,6,21,3,16.666800,3.841600,4.290400,18.482201,1,23975,23975
5.552528,1,1,6,21,3,16.666901,2.011600,2.734200,15.361000,1,23975,23975
5.569158,1,1,6,21,3,16.666897,1.778500,2.990800,16.548800,1,23975,23975
5.585913,1,1,6,21,3,16.666803,1.767900,3.438200,16.353300,1,23975,23975
5.602600,1,1,6,21,3,16.666698,1.950100,2.976900,17.010700,1,23975,23975
5.620920,1,1,6,21,3,16.666800,1.771500,2.851400,16.285700,1,23984,23984
5.635900,1,1,6,21,3,16.666800,4.001900,3.031400,18.786301,1,23984,23984
5.652550,1,1,6,21,3,16.666800,3.928600,3.887000,16.940001,1,23984,23984
5.669232,1,1,6,21,3,16.667002,1.984800,3.370000,14.443600,1,23984,23984
