wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.002623,1,1,6,22,4,16.666698,2.799100,4.045400,16.781300,1,23975,23975
5.023052,1,1,6,22,4,16.666901,2.464900,3.962600,16.386000,1,23975,23975
5.035866,1,1,6,22,4,16.666800,7.091400,4.658200,21.525499,1,23975,23975
5.104497,1,1,6,22,4,68.595703,3.595000,0.254100,21.525499,1,23975,23975
5.123890,1,1,6,22,4,16.666800,58.887001,4.327700,71.025703,1,23983,23983
5.137774,1,1,6,22,4,16.666901,5.558900,4.459400,16.151501,1,23983,23983
5.154453,1,1,6,22,4,16.666901,2.144800,3.537600,13.000700,1,23983,23983
5.171122,1,1,6,22,4,16.666800,2.254900,2.896600,17.165300,1,23983,23983
5.187779,1,1,6,22,4,16.666702,2.068800,2.692900,16.355400,1,23983,23983
5.204455,1,1,6,22,4,16.666698,2.016900,3.940700,16.585699,1,23983,23983
5.223630,1,1,6,22,4,16.666800,1.947000,2.939500,16.660500,1,23982,23982
5.237795,1,1,6,22,4,16.667198,4.373900,3.957700,19.449900,1,23982,23982
5.254408,1,1,6,22,4,16.666800,1.793000,3.499900,13.971400,1,23982,23982
5.271317,1,1,6,22,4,16.666800,2.252100,3.251700,16.492599,1,23982,23982
5.287854,1,1,6,22,4,16.666901,2.361000,3.289800,17.476601,1,23982,23982
5.304429,1,1,6,22,4,16.666901,2.033400,2.391600,16.044001,1,23982,23982
5.323620,1,1,6,22,4,16.666800,1.659900,3.155500,16.569300,1,23982,23982
5.337742,1,1,6,22,4,16.666698,4.931100,4.038000,19.706900,1,23982,23982
5.354497,1,1,6,22,4,16.666901,1.858300,2.622500,13.440000,1,23982,23982
5.371112,1,1,6,22,4,16.666702,1.816200,3.146300,16.873501,1,23982,23982
5.387826,1,1,6,22,4,16.666897,1.968100,3.258200,16.956400,1,23982,23982
5.404440,1,1,6,22,4,16.666803,2.490500,3.089000,16.863199,1,23982,23982
5.424374,1,1,6,21,3,16.666897,1.989900,2.507400,16.028700,1,23970,23970
5.437808,1,1,6,21,3,16.666702,5.105600,3.184300,20.249599,1,23970,23970
5.454442,1,1,6,21,3,16.666998,2.015400,2.969600,13.243400,1,23970,23970
5.471076,1,1,6,21,3,16.666702,1.852600,3.047500,16.639000,1,23970,23970
5.488029,1,1,6,21,3,16.666897,1.844400,2.357600,16.550900,1,23970,23970
5.504463,1,1,6,21,3,16.666803,2.376700,3.008600,17.391600,1,23970,23970
5.524457,1,1,6,21,3,16.666698,2.568300,2.989600,16.834600,1,23969,23969
5.537823,1,1,6,21,3,16.666901,5.926800,2.897300,19.573700,1,23969,23969
5.554479,1,1,6,21,3,16.666800,1.867500,2.874400,12.926000,1,23969,23969
5.571135,1,1,6,21,3,16.666698,1.664800,2.527700,16.771000,1,23969,23969
5.587849,1,1,6,21,3,16.666800,1.964400,4.698200,16.768000,1,23969,23969
5.604433,1,1,6,21,3,16.666800,2.260000,4.150100,16.591900,1,23969,23969
5.624835,1,1,6,21,3,16.666901,1.888400,3.437200,16.523300,1,23975,23975
5.637874,1,1,6,21,3,16.680300,8.945100,4.523800,24.319000,1,23975,23975
5.654489,1,1,6,21,3,16.667002,2.452700,3.107800,9.143300,1,23975,23975
5.671137,1,1,6,21,3,16.666698,2.257200,2.970600,16.591801,1,23975,23975
5.687848,1,1,6,21,3,16.666698,1.763400,2.792500,16.623600,1,23975,23975
5.704448,1,1,6,21,3,16.666901,1.797800,2.734000,16.803900,1,23975,23975
5.723663,1,1,6,21,3,16.666698,1.608000,3.504300,16.532499,1,23984,23984
5.737767,1,1,6,21,3,16.666800,4.988100,3.823800,19.862499,1,23984,23984
5.754494,1,1,6,21,3,16.666800,2.719900,2.730600,14.016500,1,23984,23984
5.771201,1,1,6,21,3,16.666901,1.962600,2.930000,16.272400,1,23984,23984
5.787778,1,1,6,21,3,16.667002,1.861400,3.232600,16.828400,1,23984,23984
5.804446,1,1,6,21,3,16.666901,2.089500,3.467600,16.433201,1,23984,23984
5.825292,1,1,6,21,3,16.666800,1.613400,2.488000,16.530399,1,23989,23989
5.837868,1,1,6,21,3,16.666698,6.376200,4.980200,21.504999,1,23989,23989
5.854474,1,1,6,21,3,16.666800,2.561900,3.951200,12.091400,1,23989,23989
5.871140,1,1,6,21,3,16.666800,2.376700,3.212200,17.139700,1,23989,23989
5.887816,1,1,6,21,3,16.666800,1.795200,2.831300,15.982600,1,23989,23989
5.904475,1,1,6,21,3,16.666901,1.966100,3.613300,16.867300,1,23989,23989
5.923895,1,1,6,21,3,16.666698,1.906200,3.413900,16.495701,1,23990,23990
5.937828,1,1,6,21,3,16.666901,5.329700,3.234600,20.611000,1,23990,23990
5.954537,1,1,6,21,3,16.666901,1.997600,3.624800,12.692500,1,23990,23990
5.971184,1,1,6,21,3,16.666800,1.906400,2.670200,16.826401,1,23990,23990
5.987925,1,1,6,21,3,16.738203,2.628000,3.818700,17.336300,1,23990,23990
6.004544,1,1,6,21,3,16.666901,2.957400,3.672200,16.442400,1,23990,23990
6.023895,1,1,6,21,3,16.666800,2.313700,2.517300,16.137199,1,23990,23990
6.037894,1,1,6,21,3,16.666897,4.598700,2.944500,19.699699,1,23990,23990
6.054514,1,1,6,21,3,16.666901,1.667400,2.681900,13.577200,1,23990,23990
6.071199,1,1,6,21,3,16.666901,1.624300,3.099700,16.731100,1,23990,23990
6.087928,1,1,6,21,3,16.666901,1.578100,2.468400,16.644100,1,23990,23990
6.104558,1,1,6,21,3,16.666901,2.588000,2.935600,17.555500,1,23990,23990
6.125100,1,1,6,19,3,16.666901,2.912100,4.199300,17.311701,1,23981,23981
6.137997,1,1,5,19,3,16.666698,9.620900,3.938100,23.028799,1,23981,23981
6.154571,1,1,5,19,3,16.679499,2.228600,4.806600,9.037800,1,23981,23981
6.171218,1,1,5,19,3,16.666800,2.235700,3.634000,16.796700,1,23981,23981
6.187894,1,1,5,19,3,16.666702,1.906700,3.242100,16.308201,1,23981,23981
6.204620,1,1,5,19,3,16.667097,2.031600,3.407700,16.681000,1,23981,23981
6.223865,1,1,5,19,3,16.666901,2.262900,3.112400,17.139700,1,23978,23978
6.237893,1,1,5,19,3,16.666901,4.598100,3.321900,19.041201,1,23978,23978
6.254564,1,1,5,19,3,16.666901,2.090700,3.543100,13.828100,1,23978,23978
6.271407,1,1,5,19,3,16.700701,2.120700,3.036500,16.702499,1,23978,23978
6.287974,1,1,5,19,3,16.666698,2.369300,2.830400,16.819201,1,23978,23978
6.304588,1,1,5,19,3,16.666901,1.800700,3.075600,16.662500,1,23978,23978
6.323654,1,1,5,19,3,16.666901,1.680700,3.122400,16.447500,1,23975,23975
6.337916,1,1,5,19,3,16.666800,5.323700,3.684900,20.389900,1,23975,23975
6.354655,1,1,5,19,3,16.666901,2.070500,3.131600,12.895200,1,23975,23975
6.371249,1,1,5,19,3,16.666800,1.784200,3.459000,16.859200,1,23975,23975
6.387913,1,1,5,19,3,16.666901,1.883700,3.383500,16.732100,1,23975,23975
6.404613,1,1,5,19,3,16.667002,1.690100,2.581800,16.469000,1,23975,23975
6.425123,1,1,5,19,3,16.666698,1.731700,3.054700,16.766001,1,23978,23978
6.437943,1,1,5,19,3,16.666901,6.112800,3.869900,20.733900,1,23978,23978
6.454703,1,1,5,19,3,16.666800,2.101500,3.092000,12.930100,1,23978,23978
6.471290,1,1,5,19,3,16.666698,2.083600,3.239000,16.388100,1,23978,23978
6.487914,1,1,5,19,3,16.666800,1.984900,2.260900,16.535500,1,23978,23978
6.504584,1,1,5,19,3,16.666800,1.714500,2.976100,16.849899,1,23978,23978
6.523615,1,1,5,19,3,16.666901,2.039700,2.913700,16.482401,1,23979,23979
6.537942,1,1,5,19,3,16.666800,4.490300,3.726700,19.455999,1,23979,23979
6.554617,1,1,5,19,3,16.666800,1.864700,2.566800,13.840300,1,23979,23979
6.571238,1,1,5,19,3,16.666698,2.301800,3.235900,17.229900,1,23979,23979
6.587931,1,1,5,19,3,16.666901,1.861800,3.305700,16.124901,1,23979,23979
6.604648,1,1,5,19,3,16.666702,2.048700,2.890700,16.865299,1,23979,23979
6.623913,1,1,5,18,3,16.666698,2.073600,2.571400,16.565201,1,23980,23980
6.637890,1,1,5,18,3,16.666698,4.660300,4.219500,19.570700,1,23980,23980
6.654591,1,1,5,18,3,16.666901,3.884200,3.455600,15.788000,1,23980,23980
6.671264,1,1,5,18,3,16.666901,1.998600,2.732600,14.561300,1,23980,23980
6.688105,1,1,5,18,3,16.719301,2.163400,2.475600,17.085501,1,23980,23980
6.704678,1,1,5,18,3,16.666698,1.854300,2.700300,16.478201,1,23980,23980
6.723630,1,1,5,18,3,16.666901,1.976000,3.290300,16.488400,1,23976,23976
6.737959,1,1,5,18,3,16.666901,4.441000,3.836100,19.225599,1,23976,23976
6.754636,1,1,5,18,3,16.666698,2.068400,2.562100,14.110700,1,23976,23976
6.771560,1,1,5,18,3,16.668499,1.629600,2.753200,16.845900,1,23976,23976
6.787954,1,1,5,18,3,16.666901,2.223700,3.288200,16.721901,1,23976,23976
6.804754,1,1,5,18,3,16.666800,2.268600,2.367000,16.743401,1,23976,23976
6.825068,1,1,5,18,3,16.666800,2.231000,3.497200,16.469999,1,23977,23977
6.838050,1,1,5,18,3,16.666800,5.920300,3.473400,20.703199,1,23977,23977
6.854707,1,1,5,18,3,16.666901,1.879200,2.757700,12.543000,1,23977,23977
6.871362,1,1,5,18,3,16.666800,1.948100,2.480100,16.702499,1,23977,23977
