wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.004881,0,1,4,0,0,16.667002,1.510800,2.703600,16.551901,1,2714,2714
5.021530,0,1,4,0,0,16.666897,2.106500,2.774200,17.133600,1,2714,2714
5.038235,0,1,4,0,0,16.666803,1.789100,3.069000,16.170000,1,2714,2714
5.054853,0,1,4,0,0,16.666800,2.445900,2.653500,17.725401,1,2714,2714
5.071604,0,1,4,0,0,16.666800,1.613600,2.407600,15.650800,1,2714,2714
5.088200,0,1,4,0,0,16.666698,1.791500,2.808500,16.681000,1,2714,2714
5.104864,0,1,4,0,0,16.666901,1.563300,2.793900,16.697300,1,2714,2714
5.121546,0,1,4,0,0,16.666901,1.891100,2.577000,16.515100,1,2714,2714
5.138234,0,1,4,0,0,16.666698,1.751600,2.625800,16.718901,1,2714,2714
5.154863,0,1,4,0,0,16.666698,1.458300,3.364100,16.711599,1,2714,2714
5.171985,0,1,4,0,0,16.666901,1.584200,2.727900,16.700500,1,2714,2714
5.188246,0,1,4,0,0,16.667002,2.097700,3.025900,17.130501,1,2714,2714
5.204937,0,1,4,0,0,16.666998,1.622500,2.508900,16.184299,1,2714,2714
5.221534,0,1,4,0,0,16.666702,1.531500,2.512300,16.708599,1,2714,2714
5.238221,0,1,4,0,0,16.666901,1.980100,2.970000,16.713699,1,2714,2714
5.254889,0,1,4,0,0,16.666800,2.003300,2.641900,16.629801,1,2714,2714
5.271549,0,1,4,0,0,16.666901,1.526200,2.414300,16.559099,1,2714,2714
5.288201,0,1,4,0,0,16.666800,1.543500,2.874900,16.675800,1,2714,2714
5.304877,0,1,4,0,0,16.666998,1.747000,2.992700,16.726000,1,2714,2714
5.321549,0,1,4,0,0,16.666702,1.483600,2.346100,16.695299,1,2714,2714
5.338250,0,1,4,0,0,16.666800,1.680100,2.781400,16.626699,1,2714,2714
5.354874,0,1,4,0,0,16.666901,1.550900,2.561200,16.666599,1,2714,2714
5.371548,0,1,4,0,0,16.666800,1.716400,2.852100,16.700500,1,2714,2714
5.388196,0,1,4,0,0,16.666897,1.781200,2.528000,16.579500,1,2714,2714
5.404875,0,1,4,0,0,16.666702,1.588800,2.366000,16.695299,1,2714,2714
5.421944,0,1,4,0,0,16.666901,1.464100,2.587300,16.854000,1,2714,2714
5.438207,0,1,4,0,0,16.666897,2.274500,2.646400,16.855000,1,2714,2714
5.454884,0,1,4,0,0,16.666803,1.943000,2.695900,16.324600,1,2714,2714
5.471527,0,1,4,0,0,16.666897,1.563000,2.558200,16.606199,1,2714,2714
5.488205,0,1,4,0,0,16.666803,1.708400,2.743800,16.642099,1,2714,2714
5.504883,0,1,4,0,0,16.666897,2.120000,2.622300,16.786400,1,2714,2714
5.521539,0,1,4,0,0,16.666800,1.786600,2.614200,16.624599,1,2714,2714
5.538233,0,1,4,0,0,16.666901,1.404300,2.436900,16.594999,1,2714,2714
