wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.004733,1,1,3,15,2,16.666800,1.755200,2.634200,16.749500,1,23963,23963
5.021318,1,1,3,15,2,16.666800,1.634400,3.164000,16.928801,1,23963,23963
5.038033,1,1,3,15,2,16.666800,1.894500,3.610200,16.510000,1,23963,23963
5.057501,1,1,3,15,2,16.666901,2.204000,4.430300,16.742399,1,23963,23963
5.071363,1,1,3,15,2,16.666800,7.681300,3.904400,22.686701,1,23963,23963
5.088099,1,1,3,15,2,16.668499,2.245600,3.715500,10.591200,1,23963,23963
5.104697,1,1,3,15,2,16.666901,2.044200,2.756900,16.798700,1,23963,23963
5.121491,1,1,3,15,2,16.666800,1.817800,3.030600,16.469000,1,23963,23963
5.138065,1,1,3,15,2,16.666901,4.018400,3.495600,19.126301,1,23963,23963
5.157219,1,1,3,15,2,16.666800,1.879200,3.678300,14.340100,1,23971,23971
5.171323,1,1,3,15,2,16.666698,4.833700,2.524600,19.201000,1,23971,23971
5.187978,1,1,3,15,2,16.666901,1.676900,2.716300,13.950000,1,23971,23971
5.204737,1,1,3,15,2,16.666901,1.675200,2.456500,16.643101,1,23971,23971
5.221295,1,1,3,15,2,16.666901,1.714300,3.126000,17.403900,1,23971,23971
5.238159,1,1,3,15,2,16.666800,2.101600,3.339200,16.232401,1,23971,23971
5.257052,1,1,3,15,2,16.667002,1.768800,3.849900,16.758801,1,23977,23977
5.271343,1,1,3,15,2,16.666901,4.588000,2.851500,18.926600,1,23977,23977
5.287964,1,1,3,15,2,16.666901,1.735000,3.045400,14.170100,1,23977,23977
5.304733,1,1,3,15,2,16.666800,1.841100,2.790200,16.521200,1,23977,23977
5.321353,1,1,3,15,2,16.666800,1.609000,2.865900,16.851000,1,23977,23977
5.338014,1,1,3,15,2,16.666698,1.618200,2.767900,17.074100,1,23977,23977
5.357230,1,1,3,15,2,16.666901,1.572000,2.437900,16.249901,1,23972,23972
5.371313,1,1,3,15,2,16.666698,4.508700,2.517200,19.372999,1,23972,23972
5.388015,1,1,3,15,2,16.666800,1.693300,2.333900,13.767700,1,23972,23972
5.404679,1,1,3,15,2,16.666698,2.108100,2.580100,17.142799,1,23972,23972
5.421293,1,1,3,15,2,16.666901,2.229500,3.176600,16.527399,1,23972,23972
5.437980,1,1,3,15,2,16.666800,1.859500,2.630900,16.517099,1,23972,23972
5.457094,1,1,3,15,2,16.666901,1.556400,2.416400,16.921600,1,23969,23969
5.471302,1,1,3,15,2,16.666698,4.191500,2.585000,18.818001,1,23969,23969
5.487952,1,1,3,15,2,16.666803,1.578600,2.820000,14.338100,1,23969,23969
5.504640,1,1,3,15,2,16.666698,1.534300,2.704200,16.772100,1,23969,23969
5.521313,1,1,3,15,2,16.666901,1.666400,2.630300,16.629700,1,23969,23969
5.537951,1,1,3,15,2,16.666698,1.432700,2.757800,16.632900,1,23969,23969
5.557251,1,1,3,15,2,16.666901,2.201300,2.877700,16.535500,1,23968,23968
5.571313,1,1,3,15,2,16.666800,4.376500,2.516100,19.486700,1,23968,23968
5.588024,1,1,3,15,2,16.666698,1.454300,2.561000,14.032900,1,23968,23968
5.604673,1,1,3,15,2,16.666800,1.486000,3.224300,16.822300,1,23968,23968
5.621279,1,1,3,15,2,16.666800,1.503500,2.743700,16.284700,1,23968,23968
5.638027,1,1,3,15,2,16.666901,1.628400,2.699000,16.732100,1,23968,23968
5.657435,1,1,3,15,2,16.666901,4.143200,3.618900,19.025999,1,23970,23970
5.671358,1,1,3,15,2,16.666800,4.680500,3.695500,17.045500,1,23970,23970
5.688040,1,1,3,15,2,16.666800,1.789200,2.923400,13.920200,1,23970,23970
