wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available
5.218067,0,1,0,0,0,247.875809,6.666700,247.827103,249.153503,1
5.453747,0,1,0,0,0,237.354996,9.083800,237.205795,233.841705,1
5.667320,0,1,0,0,0,213.488098,5.137500,213.505295,215.328796,1
5.897169,0,1,0,0,0,229.839691,4.637500,215.171402,231.864304,1
6.097155,0,1,0,0,0,200.002792,5.141100,186.824905,199.401505,1
6.200708,0,1,0,0,0,103.566200,3.677900,103.542099,116.043701,1
6.350004,0,1,0,0,0,148.172501,4.063200,147.595795,129.322006,1
6.586220,1,1,0,28,4,233.240906,6.386500,233.224899,239.198196,1
6.835364,1,1,6,28,4,253.025894,26.411400,250.223206,250.794998,1
7.085720,1,1,6,28,4,250.000214,4.454400,236.846405,209.894394,1
8.203369,1,1,6,28,4,400.000000,5.447600,2.314600,232.356796,1
8.215264,1,1,6,28,4,12.208399,188.906403,2.314600,277.674011,1
8.219914,1,1,6,28,4,4.481401,4.725700,7.848800,277.674011,1
8.248258,1,1,6,28,4,28.486200,3.946500,7.436900,419.795990,1
8.517020,1,1,6,28,4,267.730011,3.202200,267.731812,297.425903,1
8.790133,1,1,6,28,4,274.086700,5.972300,271.798889,270.449707,1
9.145991,1,1,6,28,4,356.030579,7.344300,325.954895,328.904694,1
9.429975,1,1,6,28,4,283.578400,5.419200,271.277008,301.048798,1
9.618982,1,1,6,28,4,189.381195,9.614700,189.393906,186.074097,1
9.854522,1,1,6,28,4,235.285492,4.683100,235.035202,247.689194,1
10.071499,1,1,6,28,4,217.064713,5.563000,215.937195,203.420700,1
10.286674,1,1,6,28,4,214.370605,16.813700,202.253998,203.420700,1
10.322132,1,1,6,28,4,36.348202,7.438000,36.644798,47.719398,1
10.352246,1,1,6,28,4,30.145399,4.070900,29.261900,47.719398,1
10.386298,1,1,6,28,4,33.998596,4.165400,33.935299,33.374199,1
10.400860,1,1,6,28,4,14.468703,3.648900,14.411600,14.953500,1
10.414201,1,1,6,28,4,13.448298,3.676600,13.439500,12.565500,1
10.439859,1,1,6,28,4,25.747803,3.459800,25.719299,29.709299,1
10.462977,1,1,6,28,4,22.931799,3.773500,22.726200,20.216801,1
