wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available
5.078176,-1,0,6,0,0,129.374802,3.230000,129.285400,131.356705,1
5.179915,-1,0,6,0,0,101.673393,4.942500,101.502296,101.633003,1
5.326493,-1,0,6,0,0,146.707214,4.135100,121.004501,120.024002,1
5.411748,-1,0,6,0,0,85.176201,3.806800,85.213799,111.856697,1
5.497861,-1,0,6,0,0,86.171898,4.301100,86.022202,86.319099,1
5.613421,-1,0,6,0,0,115.576202,3.381400,115.477600,114.553802,1
5.727300,-1,0,6,0,0,113.784897,3.876600,100.957703,99.912804,1
5.829232,-1,0,6,0,0,102.019104,4.637700,102.025200,116.831200,1
5.944547,-1,0,6,0,0,115.247292,3.846500,115.188499,115.167198,1
6.043068,-1,0,6,0,0,98.638603,5.403200,98.602402,99.032097,1
6.145776,-1,0,6,0,0,102.704803,2.987600,102.667198,101.773300,1
6.240106,-1,0,6,0,0,94.258102,4.351400,87.373100,86.647797,1
6.361677,-1,0,6,0,0,121.645897,4.014900,121.695602,130.901993,1
6.478007,-1,0,6,0,0,116.170090,3.743500,116.067703,114.559998,1
6.596795,-1,0,6,0,0,118.860092,3.984300,118.790604,118.501404,1
6.710097,-1,0,6,0,0,113.336205,3.781000,113.365402,101.402603,1
6.859704,-1,0,6,0,0,149.545990,3.394800,135.188202,148.888596,1
6.996624,-1,0,6,0,0,136.446304,3.547700,136.361694,149.362701,1
7.126254,-1,0,6,0,0,130.154694,5.590400,117.723503,116.788200,1
7.211952,-1,0,6,0,0,85.735695,4.273100,85.681900,99.595299,1
7.377823,-1,0,6,0,0,165.686798,4.051000,165.485306,165.400497,1
7.479206,-1,0,6,0,0,101.516205,4.184100,101.251801,102.028297,1
7.609997,-1,0,6,0,0,130.761795,3.726400,118.009697,116.956200,1
7.728778,-1,0,6,0,0,118.852104,4.151300,118.799896,132.639694,1
7.862251,-1,0,6,0,0,133.590393,3.694800,133.537003,132.227097,1
7.993439,-1,0,6,0,0,131.204803,3.322500,131.203995,133.876694,1
8.143818,-1,0,6,0,0,150.074493,3.059100,149.995804,149.556305,1
8.295644,-1,0,6,0,0,152.062805,4.000000,151.863495,151.516098,1
8.442465,-1,0,6,0,0,146.773911,4.088700,134.558304,133.234695,1
8.577193,-1,0,6,0,0,134.768692,3.587200,134.740097,148.888596,1
8.695282,-1,0,6,0,0,118.107697,2.993300,118.041801,116.515800,1
8.828146,-1,0,6,0,0,132.845291,3.426600,132.787399,133.440506,1
