wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.008398,0,1,4,0,0,10.064799,3.148300,10.024700,11.753500,1,2764,2764
5.019222,0,1,4,0,0,11.359502,3.527900,11.290500,9.430000,1,2764,2764
5.032331,0,1,4,0,0,13.065997,2.637600,13.007800,12.790800,1,2764,2764
5.043704,0,1,4,0,0,11.220701,4.724500,11.198800,11.419600,1,2764,2764
5.054888,0,1,4,0,0,11.338800,3.515000,11.278500,10.381400,1,2764,2764
5.068073,0,1,4,0,0,13.203402,3.173700,12.998900,13.632500,1,2764,2764
5.081685,0,1,4,0,0,13.485100,4.571600,13.485900,12.702700,1,2764,2764
5.089274,0,1,4,0,0,7.808499,3.632400,7.818500,7.246800,1,2764,2764
5.098512,0,1,4,0,0,9.109698,3.033800,8.849500,11.593800,1,2764,2764
5.111367,0,1,4,0,0,12.759503,3.210500,12.289000,12.946400,1,2764,2764
5.126240,0,1,4,0,0,14.708400,3.046200,14.583600,12.752900,1,2764,2764
5.136154,0,1,4,0,0,10.188300,4.941700,10.156600,12.968900,1,2764,2764
5.149984,0,1,4,0,0,13.641000,4.085200,13.481400,12.949600,1,2764,2764
5.159584,0,1,4,0,0,9.772799,3.230800,9.322200,9.719800,1,2764,2764
5.168288,0,1,4,0,0,8.694697,2.864600,8.691000,9.395200,1,2764,2764
5.182683,0,1,4,0,0,14.315103,3.043300,14.203800,13.471700,1,2764,2764
5.195407,0,1,4,0,0,12.751099,3.536800,12.773500,11.670600,1,2764,2764
5.205808,0,1,4,0,0,10.509700,3.073400,10.510100,9.993200,1,2764,2764
5.218476,0,1,4,0,0,12.500100,3.555800,12.042800,13.624300,1,2764,2764
5.231794,0,1,4,0,0,13.335802,3.556900,13.250900,11.495400,1,2764,2764
5.245074,0,1,4,0,0,12.932099,3.265800,12.970600,15.230000,1,2764,2764
5.254593,0,1,4,0,0,10.014702,3.456300,9.952400,8.183800,1,2764,2764
5.265136,0,1,4,0,0,10.431297,3.375700,9.839100,11.657200,1,2764,2764
5.279784,0,1,4,0,0,14.609102,3.944800,14.446400,12.762100,1,2764,2764
5.290918,0,1,4,0,0,11.355698,3.208700,11.071400,11.381800,1,2764,2764
5.301784,0,1,4,0,0,10.712203,2.942100,10.618500,14.190600,1,2764,2764
5.317019,0,1,4,0,0,15.280999,3.382100,15.201400,13.490100,1,2764,2764
5.329040,0,1,4,0,0,12.013599,3.154100,11.986900,12.263500,1,2764,2764
5.339462,0,1,4,0,0,10.603402,3.209800,10.571700,12.161000,1,2764,2764
5.351500,0,1,4,0,0,11.818997,2.419700,11.714400,11.182100,1,2764,2764
5.367559,0,1,4,0,0,16.142801,3.247100,16.109301,13.346800,1,2764,2764
5.380490,0,1,4,0,0,12.921199,3.169900,12.878100,13.632500,1,2764,2764
5.390750,0,1,4,0,0,10.317702,3.755700,10.266600,11.733000,1,2764,2764
