wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.002465,0,1,4,0,0,16.667002,4.282500,6.544000,15.797300,1,2764,2764
5.019056,0,1,4,0,0,16.666698,3.550800,6.763300,16.562099,1,2764,2764
5.035884,0,1,4,0,0,16.666800,4.349700,7.226800,17.529900,1,2764,2764
5.052421,0,1,4,0,0,16.666800,4.405400,7.588000,16.627701,1,2764,2764
5.069080,0,1,4,0,0,16.667002,3.829500,6.373100,15.492100,1,2764,2764
5.085835,0,1,4,0,0,16.666998,4.694100,9.048400,19.937300,1,2764,2764
5.102425,0,1,4,0,0,16.667002,3.899900,6.730900,14.021600,1,2764,2764
5.119280,0,1,4,0,0,16.666901,3.298400,7.457200,16.777201,1,2764,2764
5.135702,0,1,4,0,0,16.677200,5.128600,6.245500,16.347200,1,2764,2764
5.152561,0,1,4,0,0,16.666901,3.616300,6.160800,15.982600,1,2764,2764
5.168991,0,1,4,0,0,16.666901,3.516900,6.801300,18.428900,1,2764,2764
5.185756,0,1,4,0,0,16.666901,3.436300,8.457500,16.818199,1,2764,2764
5.202416,0,1,4,0,0,16.666800,3.169700,7.727600,15.988700,1,2764,2764
5.219070,0,1,4,0,0,16.666897,3.715700,6.135100,15.591400,1,2764,2764
5.236675,0,1,4,0,0,16.666803,3.536400,6.311800,17.149000,1,2764,2764
5.252531,0,1,4,0,0,16.666998,5.035600,7.642900,17.851400,1,2764,2764
5.269397,0,1,4,0,0,16.666901,4.283000,7.347300,16.635900,1,2764,2764
5.285756,0,1,4,0,0,16.666698,4.599400,7.614100,16.327600,1,2764,2764
5.302324,0,1,4,0,0,16.666800,3.917500,7.576100,17.152000,1,2764,2764
5.319067,0,1,4,0,0,16.666803,3.225000,7.215000,14.857300,1,2764,2764
5.335762,0,1,4,0,0,16.666998,3.640600,6.598900,16.938999,1,2764,2764
5.352593,0,1,4,0,0,16.667002,3.843800,6.681700,16.211901,1,2764,2764
5.369151,0,1,4,0,0,16.666901,3.165600,6.399000,17.669100,1,2764,2764
5.385851,0,1,4,0,0,16.666901,3.417400,6.513300,15.395900,1,2764,2764
5.402546,0,1,4,0,0,16.666901,3.176800,7.726900,17.652700,1,2764,2764
5.419096,0,1,4,0,0,16.666698,3.982300,8.026300,17.646601,1,2764,2764
5.435736,0,1,4,0,0,16.666800,3.708700,7.364800,15.853600,1,2764,2764
5.452451,0,1,4,0,0,16.666800,3.474700,7.398200,16.316401,1,2764,2764
5.469217,0,1,4,0,0,16.666698,3.966300,8.910600,18.200600,1,2764,2764
5.486771,0,1,4,0,0,16.666800,4.391600,6.853600,14.781400,1,2764,2764
