wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.009232,0,1,4,0,0,11.864699,3.577100,11.671500,12.723200,1,2764,2764
5.020947,0,1,4,0,0,11.892002,3.698100,12.030100,12.442600,1,2764,2764
5.030445,0,1,4,0,0,9.507399,3.014900,9.419400,10.874900,1,2764,2764
5.045468,0,1,4,0,0,15.027501,4.427800,14.933900,13.544400,1,2764,2764
5.057946,0,1,4,0,0,12.497601,4.252100,12.523900,11.650100,1,2764,2764
5.067146,0,1,4,0,0,9.291600,3.184200,9.037000,12.248100,1,2764,2764
5.082273,0,1,4,0,0,15.051898,2.326300,14.853600,14.006200,1,2764,2764
5.096794,0,1,4,0,0,14.512099,3.018300,14.449200,13.059100,1,2764,2764
5.111467,0,1,4,0,0,14.595602,3.342000,14.507500,14.955500,1,2764,2764
5.124961,0,1,4,0,0,13.573199,3.923200,13.535100,12.436500,1,2764,2764
5.138502,0,1,4,0,0,12.949500,3.001800,12.810200,12.938200,1,2764,2764
5.148479,0,1,4,0,0,10.564700,4.620200,10.594000,11.732000,1,2764,2764
5.160034,0,1,4,0,0,11.399601,3.459900,10.925800,11.266100,1,2764,2764
5.174133,0,1,4,0,0,13.859499,4.236900,13.867700,13.572100,1,2764,2764
5.186970,0,1,4,0,0,12.037102,4.109300,12.010100,11.103200,1,2764,2764
5.196924,0,1,4,0,0,11.107300,5.454900,11.027900,11.748300,1,2764,2764
5.209144,0,1,4,0,0,12.205601,5.011700,11.943100,12.170300,1,2764,2764
5.221318,0,1,4,0,0,11.566997,4.387800,11.543900,12.163100,1,2764,2764
5.232085,0,1,4,0,0,11.462901,3.666800,11.416900,11.912100,1,2764,2764
5.245026,0,1,4,0,0,12.595501,3.706500,12.556800,13.631500,1,2764,2764
5.260192,0,1,4,0,0,15.464202,4.341300,15.445100,13.636600,1,2764,2764
5.271436,0,1,4,0,0,11.223498,2.868900,11.157200,11.953200,1,2764,2764
5.283042,0,1,4,0,0,11.691298,3.206700,11.621700,11.533300,1,2764,2764
5.297256,0,1,4,0,0,14.151800,5.061500,14.107400,13.322200,1,2764,2764
5.310965,0,1,4,0,0,13.740602,3.268500,13.755200,13.553700,1,2764,2764
5.320312,0,1,4,0,0,9.162098,4.183500,9.060100,6.884400,1,2764,2764
5.330944,0,1,4,0,0,10.874700,4.381400,10.847500,13.624300,1,2764,2764
5.342518,0,1,4,0,0,11.394002,4.264200,11.097700,10.739700,1,2764,2764
5.355826,0,1,4,0,0,13.371900,3.826500,12.337700,13.986800,1,2764,2764
5.368223,0,1,4,0,0,12.490298,3.191000,12.478000,13.855800,1,2764,2764
5.381809,0,1,4,0,0,13.536602,2.957200,13.273900,12.644300,1,2764,2764
5.393246,0,1,4,0,0,11.505097,2.867400,11.531100,13.027300,1,2764,2764
5.406510,0,1,4,0,0,13.081800,2.644100,12.590300,13.172800,1,2764,2764
5.420119,0,1,4,0,0,13.486401,2.734100,12.482300,13.405200,1,2764,2764
5.428764,0,1,4,0,0,8.988302,3.387600,9.024100,9.064400,1,2764,2764
5.439942,0,1,4,0,0,10.934398,2.479000,10.875400,10.556400,1,2764,2764
5.454589,0,1,4,0,0,14.306899,3.106200,13.978500,14.627900,1,2764,2764
