wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.007145,0,1,4,0,0,16.741701,4.039100,10.427900,18.143200,1,2764,2764
5.024794,0,1,4,0,0,16.666901,5.079600,8.343700,17.206301,1,2764,2764
5.040058,0,1,4,0,0,16.726498,6.544800,7.986400,16.120800,1,2764,2764
5.056815,0,1,4,0,0,16.682800,3.379000,8.571400,15.110200,1,2764,2764
5.073591,0,1,4,0,0,16.666901,5.410700,8.388400,18.213900,1,2764,2764
5.090299,0,1,4,0,0,16.666901,4.529300,8.731500,15.362000,1,2764,2764
5.106758,0,1,4,0,0,16.667101,3.948200,8.995200,15.891500,1,2764,2764
5.123549,0,1,4,0,0,16.677998,3.656500,7.848300,16.103399,1,2764,2764
5.140240,0,1,4,0,0,16.667002,3.668600,7.112900,16.491501,1,2764,2764
5.156750,0,1,4,0,0,16.666800,3.986200,6.607700,16.772100,1,2764,2764
5.173655,0,1,4,0,0,16.666800,3.695000,6.339000,16.189501,1,2764,2764
5.190055,0,1,4,0,0,16.666698,3.864000,5.274200,16.662500,1,2764,2764
5.207021,0,1,4,0,0,16.667002,2.890100,6.611900,17.052700,1,2764,2764
5.223538,0,1,4,0,0,16.666901,3.673800,7.784600,17.041401,1,2764,2764
5.240198,0,1,4,0,0,16.666901,3.655600,6.026800,15.658000,1,2764,2764
5.256710,0,1,4,0,0,16.666800,3.680100,8.364600,18.122700,1,2764,2764
5.274783,0,1,4,0,0,16.666698,3.592000,7.277300,15.307800,1,2764,2764
5.290196,0,1,4,0,0,16.666800,4.759500,8.097000,19.110901,1,2764,2764
5.306803,0,1,4,0,0,16.666901,4.209000,7.981500,15.726600,1,2764,2764
5.323934,0,1,4,0,0,16.666698,4.090800,7.684700,16.311300,1,2764,2764
5.340354,0,1,4,0,0,16.683302,6.485400,6.963700,17.112101,1,2764,2764
5.356806,0,1,4,0,0,16.666901,3.474100,6.123700,15.344600,1,2764,2764
5.373464,0,1,4,0,0,16.666698,3.022500,6.684500,16.664600,1,2764,2764
5.390266,0,1,4,0,0,16.666901,3.286200,8.057600,17.819599,1,2764,2764
5.407445,0,1,4,0,0,16.666901,3.849100,5.902200,14.710800,1,2764,2764
5.423550,0,1,4,0,0,16.692099,4.790900,7.679800,16.396299,1,2764,2764
5.440155,0,1,4,0,0,16.676102,5.067500,8.571700,20.572201,1,2764,2764
5.456877,0,1,4,0,0,16.666897,3.626900,7.982500,15.966200,1,2764,2764
5.473660,0,1,4,0,0,16.666901,3.923700,6.261400,14.967800,1,2764,2764
5.490167,0,1,4,0,0,16.667002,3.627900,8.531600,17.312700,1,2764,2764
5.506790,0,1,4,0,0,16.666901,3.177800,6.131700,14.958600,1,2764,2764
5.524277,0,1,4,0,0,16.667002,2.601900,5.505300,16.275499,1,2764,2764
5.540189,0,1,4,0,0,16.666901,4.190900,6.638000,20.017099,1,2764,2764
5.556806,0,1,4,0,0,16.666901,3.887800,5.765800,16.995399,1,2764,2764
5.573487,0,1,4,0,0,16.666998,3.500300,5.479400,14.762000,1,2764,2764
5.590340,0,1,4,0,0,16.667002,5.722700,5.434000,16.983999,1,2764,2764
5.606898,0,1,4,0,0,16.666800,3.234500,4.930300,15.684600,1,2764,2764
5.623454,0,1,4,0,0,16.666901,2.874100,5.913700,15.991800,1,2764,2764
5.640238,0,1,4,0,0,16.666800,3.388700,5.415700,16.991301,1,2764,2764
5.656795,0,1,4,0,0,16.666800,3.604400,4.919100,16.266199,1,2764,2764
5.673415,0,1,4,0,0,16.666698,2.963400,4.782900,16.535601,1,2764,2764
5.690115,0,1,4,0,0,16.666800,2.522100,4.481900,16.928699,1,2764,2764
5.706707,0,1,4,0,0,16.666800,2.632000,6.779800,17.092699,1,2764,2764
5.723447,0,1,4,0,0,16.666901,2.770100,4.604600,15.746000,1,2764,2764
5.740168,0,1,4,0,0,16.666800,2.355800,4.604200,16.582701,1,2764,2764
5.756913,0,1,4,0,0,16.666901,2.852500,4.592900,16.806900,1,2764,2764
5.774276,0,1,4,0,0,16.666800,3.382200,5.405800,17.096701,1,3043,3043
5.790224,0,1,4,0,0,16.666800,3.437900,5.756600,17.821699,1,3043,3043
5.806777,0,1,4,0,0,16.667002,2.815000,5.611700,15.725600,1,3043,3043
5.823402,0,1,4,0,0,16.666800,2.969600,5.169200,16.118700,1,3043,3043
5.840161,0,1,4,0,0,16.666698,2.780500,5.509800,17.132601,1,3043,3043
5.857143,0,1,4,0,0,16.666803,3.245800,6.583000,16.921600,1,3043,3043
5.873584,0,1,4,0,0,16.666698,3.853700,5.632200,17.592300,1,3043,3043
5.890133,0,1,4,0,0,16.666901,3.407900,6.021000,15.699000,1,3043,3043
5.907013,0,1,4,0,0,16.666901,2.705400,7.222300,17.630199,1,3043,3043
5.923881,0,1,4,0,0,16.666998,4.031400,6.146400,17.136600,1,3043,3043
5.940345,0,1,4,0,0,16.667002,4.291300,6.922900,16.959499,1,3043,3043
5.957030,0,1,4,0,0,16.666901,4.022400,7.597500,16.066601,1,3043,3043
5.973624,0,1,4,0,0,16.666901,3.535000,5.770700,16.041901,1,3043,3043
5.990177,0,1,4,0,0,16.666901,3.770100,5.017800,16.848900,1,3043,3043
6.006815,0,1,4,0,0,16.666901,3.066300,5.828500,17.218599,1,3043,3043
6.024930,0,1,4,0,0,16.666901,3.165800,6.837300,15.877100,1,3043,3043
6.040482,0,1,4,0,0,16.666998,6.657100,7.511700,15.853600,1,3043,3043
6.056887,0,1,4,0,0,16.666702,4.190300,6.045000,21.057501,1,3043,3043
6.073635,0,1,4,0,0,16.666998,3.208700,6.337200,16.192499,1,3043,3043
6.090190,0,1,4,0,0,16.666800,5.551900,6.828200,15.999000,1,3043,3043
6.106737,0,1,4,0,0,16.666901,3.613300,5.304100,15.756300,1,3043,3043
6.123545,0,1,4,0,0,16.666901,3.332800,6.489400,16.006100,1,3043,3043
6.140276,0,1,4,0,0,16.666800,2.874500,6.429200,16.986099,1,3043,3043
6.156789,0,1,4,0,0,16.666901,3.125200,6.681200,15.468600,1,3043,3043
6.173446,0,1,4,0,0,16.666901,2.941400,6.921700,16.888800,1,3043,3043
6.190129,0,1,4,0,0,16.666901,2.841200,5.560900,15.658000,1,3043,3043
6.206917,0,1,4,0,0,16.666901,2.702700,5.460100,16.123899,1,3043,3043
6.223462,0,1,4,0,0,16.666901,2.981100,6.040300,17.765400,1,3043,3043
6.240174,0,1,4,0,0,16.666800,2.903600,6.414800,16.681000,1,3043,3043
6.257314,0,1,4,0,0,16.666901,2.581100,6.039700,15.969300,1,3043,3043
6.274352,0,1,4,0,0,16.666998,3.515100,7.217200,19.305401,1,3043,3043
6.290150,0,1,4,0,0,16.666901,3.604900,5.205800,14.605300,1,3043,3043
6.306766,0,1,4,0,0,16.666800,2.819300,5.564600,16.836599,1,3043,3043
6.323419,0,1,4,0,0,16.666901,3.172600,6.018200,16.301100,1,3043,3043
6.340324,0,1,4,0,0,16.667002,3.025000,4.904700,15.983600,1,3043,3043
6.356900,0,1,4,0,0,16.666698,2.624200,5.623500,17.201200,1,3043,3043
6.373444,0,1,4,0,0,16.666800,2.901000,5.255000,17.769400,1,3043,3043
6.390126,0,1,4,0,0,16.666698,3.045200,6.705400,16.953400,1,3043,3043
6.406853,0,1,4,0,0,16.667101,3.061700,4.613400,15.291400,1,3043,3043
6.423544,0,1,4,0,0,16.666901,2.893500,5.162100,16.931801,1,3043,3043
6.440302,0,1,4,0,0,16.666800,3.126700,5.270400,16.793600,1,3043,3043
6.456974,0,1,4,0,0,16.666901,3.405300,4.949900,15.816700,1,3043,3043
6.473439,0,1,4,0,0,16.666901,3.310200,6.515300,18.961399,1,3043,3043
6.490145,0,1,4,0,0,16.666800,4.488600,4.893000,14.738500,1,3043,3043
6.506841,0,1,4,0,0,16.667002,3.401300,5.325700,16.776199,1,3043,3043
6.524367,0,1,4,0,0,16.666698,2.987100,5.064700,16.700399,1,3042,3042
6.540220,0,1,4,0,0,16.667002,3.713500,6.032000,17.230801,1,3042,3042
6.556789,0,1,4,0,0,16.666901,3.321500,5.777400,16.071699,1,3042,3042
6.573484,0,1,4,0,0,16.666800,3.224300,6.181600,17.641500,1,3042,3042
6.590279,0,1,4,0,0,16.666800,3.077100,7.016900,16.055300,1,3042,3042
6.606761,0,1,4,0,0,16.666800,4.865000,7.875300,19.827700,1,3042,3042
6.623582,0,1,4,0,0,16.666998,3.287600,7.250100,15.216600,1,3042,3042
6.640166,0,1,4,0,0,16.666901,3.803100,5.111400,15.503400,1,3042,3042
6.656831,0,1,4,0,0,16.666702,3.074100,4.785800,15.462400,1,3042,3042
6.673745,0,1,4,0,0,16.666698,2.822900,5.012300,16.589800,1,3042,3042
6.690190,0,1,4,0,0,16.666901,3.010200,5.451500,17.140699,1,3042,3042
6.706901,0,1,4,0,0,16.666800,3.004200,4.957400,17.177601,1,3042,3042
6.723520,0,1,4,0,0,16.666998,2.790900,5.976400,16.693199,1,3042,3042
6.740114,0,1,4,0,0,16.666702,2.870000,5.877800,15.604700,1,3042,3042
6.756761,0,1,4,0,0,16.666901,3.039600,5.358900,17.193001,1,3042,3042
6.774320,0,1,4,0,0,16.666800,2.486900,4.859300,16.045099,1,3042,3042
6.790246,0,1,4,0,0,16.666800,3.526600,6.429300,14.971900,1,3042,3042
6.806909,0,1,4,0,0,16.666901,3.324800,5.376600,18.698200,1,3042,3042
6.823523,0,1,4,0,0,16.679399,3.022700,6.330100,13.959200,1,3042,3042
6.840239,0,1,4,0,0,16.667002,2.813000,5.916700,19.459101,1,3042,3042
6.856838,0,1,4,0,0,16.666998,3.565200,6.108000,17.979401,1,3042,3042
6.873494,0,1,4,0,0,16.666901,3.116100,6.227700,14.583800,1,3042,3042
