wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.003956,1,1,6,22,4,7.543299,3.188600,6.884600,5.449800,1,23972,23972
5.010270,1,1,6,22,4,6.573100,3.185900,6.590300,8.878100,1,23972,23972
5.020101,1,1,6,22,4,9.551499,2.775500,9.397400,5.504000,1,23972,23972
5.029746,1,1,6,22,4,6.499901,4.012400,6.502100,9.541700,1,23983,23983
5.035714,1,1,6,22,4,9.323601,7.505500,9.012600,9.541700,1,23983,23983
5.044184,1,1,6,22,4,8.444298,4.187300,8.623500,10.845100,1,23983,23983
5.051726,1,1,6,22,4,7.485501,3.176000,7.353900,6.490200,1,23983,23983
5.057710,1,1,6,22,4,6.218899,3.260000,6.243800,8.644600,1,23983,23983
5.067261,1,1,6,22,4,9.270203,2.196900,9.088100,7.322600,1,23983,23983
5.073807,1,1,6,22,4,6.839700,3.272000,6.906000,5.424100,1,23983,23983
5.081426,1,1,6,22,4,7.463899,2.970600,7.372300,9.175100,1,23983,23983
5.087473,1,1,6,22,4,6.086699,3.186800,6.063200,4.929500,1,23983,23983
5.096813,1,1,6,22,4,9.173200,2.409300,9.072100,4.427700,1,23983,23983
5.103967,1,1,6,22,4,7.266901,3.264900,7.237900,4.427700,1,23983,23983
5.112428,1,1,6,22,4,8.487299,3.153300,8.407400,10.494000,1,23983,23983
5.120520,1,1,6,22,4,7.774498,3.662200,7.703100,5.536800,1,23983,23983
5.125655,1,1,6,22,4,5.513601,3.101400,5.437200,7.172000,1,23983,23983
5.135740,1,1,6,22,4,9.880699,2.655200,9.839600,11.028500,1,23983,23983
5.149498,1,1,6,22,4,11.339803,5.542600,11.265400,7.870500,1,23982,23982
5.153117,1,1,6,22,4,6.287199,6.455000,6.271600,7.870500,1,23982,23982
5.163810,1,1,6,22,4,10.488600,2.423900,10.368400,9.452500,1,23982,23982
5.170985,1,1,6,22,4,7.162902,3.158100,7.017500,5.877800,1,23982,23982
5.180564,1,1,6,22,4,9.556800,3.642300,9.574900,11.052000,1,23982,23982
5.187176,1,1,6,22,4,6.763898,3.356900,6.749300,6.514700,1,23982,23982
5.195681,1,1,6,22,4,8.356299,3.121400,8.222700,9.315300,1,23982,23982
5.202484,1,1,6,22,4,6.809101,3.414000,6.697200,5.769300,1,23982,23982
5.210620,1,1,6,22,4,8.206703,3.139600,7.949800,8.638400,1,23982,23982
5.218390,1,1,6,22,4,7.490497,3.319500,7.398200,6.997000,1,23982,23982
5.228431,1,1,6,22,4,10.342199,3.411100,10.235800,10.019900,1,23982,23982
5.238776,1,1,6,22,4,10.133102,3.225100,10.066300,11.282400,1,23982,23982
5.246986,1,1,6,22,4,8.486699,3.310800,8.443400,9.581600,1,23982,23982
5.256009,1,1,6,22,4,8.991100,2.634800,8.980300,8.077300,1,23982,23982
5.266242,1,1,6,22,4,8.136298,2.967600,8.079200,6.636500,1,23982,23982
5.269759,1,1,6,22,4,5.690802,6.175400,5.478500,6.636500,1,23982,23982
5.277972,1,1,6,22,4,8.166600,2.564700,8.320200,10.385400,1,23982,23982
5.283602,1,1,6,22,4,5.658898,2.522300,5.628300,6.046800,1,23982,23982
5.291276,1,1,6,22,4,7.738899,2.664000,7.661900,7.354300,1,23982,23982
5.297894,1,1,6,22,4,6.458402,2.576200,6.371700,6.903800,1,23982,23982
5.306557,1,1,6,22,4,8.658599,2.551200,8.619400,7.002200,1,23982,23982
5.314930,1,1,6,22,4,8.251302,3.217200,8.117200,8.629200,1,23982,23982
5.320887,1,1,6,22,4,6.094501,3.411900,6.056300,4.775900,1,23982,23982
