wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.000965,-1,0,6,0,0,16.666901,2.589300,4.123800,16.722900,1,185,185
5.017694,-1,0,6,0,0,16.666800,2.800500,4.140700,16.870399,1,185,185
5.034447,-1,0,6,0,0,16.666800,2.692200,4.108300,16.494600,1,185,185
5.050895,-1,0,6,0,0,16.666800,3.274700,4.597900,17.325100,1,185,185
5.068166,-1,0,6,0,0,16.666901,2.750700,4.093900,15.811600,1,185,185
5.084197,-1,0,6,0,0,16.666800,4.359600,5.750400,18.616301,1,185,185
5.100946,-1,0,6,0,0,16.666698,3.185000,4.674000,14.567400,1,185,185
5.117551,-1,0,6,0,0,16.666800,2.252000,5.923900,16.740400,1,185,185
5.134238,-1,0,6,0,0,16.666800,2.168600,4.820400,16.620501,1,185,185
5.151370,-1,0,6,0,0,16.666901,2.374300,4.736900,17.031200,1,185,185
5.167720,-1,0,6,0,0,16.666698,3.111800,5.019100,16.827400,1,185,185
5.184219,-1,0,6,0,0,16.667101,2.395200,3.884100,16.343000,1,185,185
5.200996,-1,0,6,0,0,16.666698,2.482200,4.301800,16.717899,1,185,185
5.217471,-1,0,6,0,0,16.666901,2.912800,4.678200,16.676901,1,185,185
5.234450,-1,0,6,0,0,16.666698,2.295000,4.167600,16.315300,1,185,185
5.250852,-1,0,6,0,0,16.666901,3.375900,4.716300,17.459200,1,185,185
5.267602,-1,0,6,0,0,16.666698,2.504800,3.399400,15.982600,1,185,185
5.284199,-1,0,6,0,0,16.666702,2.714500,3.855500,16.911301,1,185,185
5.300992,-1,0,6,0,0,16.666901,2.730500,5.345100,16.472099,1,185,185
5.317656,-1,0,6,0,0,16.666800,3.219800,5.815700,17.173500,1,185,185
5.334323,-1,0,6,0,0,16.666800,3.057900,5.620900,16.403400,1,185,185
5.351074,-1,0,6,0,0,16.666698,2.774400,5.773500,16.693199,1,185,185
5.367579,-1,0,6,0,0,16.666800,3.083400,5.031500,16.712700,1,185,185
5.384502,-1,0,6,0,0,16.666698,2.508600,4.427400,16.754700,1,185,185
5.400931,-1,0,6,0,0,16.666698,3.498700,5.195800,17.480700,1,185,185
5.417606,-1,0,6,0,0,16.666702,3.249600,4.209800,15.564800,1,185,185
5.434363,-1,0,6,0,0,16.666901,2.742300,5.345200,16.609301,1,185,185
5.450987,-1,0,6,0,0,16.666698,2.816000,4.082800,16.923700,1,185,185
5.468000,-1,0,6,0,0,16.666698,3.168900,4.116400,16.522200,1,185,185
5.484407,-1,0,6,0,0,16.666698,3.058100,5.888400,17.284100,1,185,185
5.500953,-1,0,6,0,0,16.666800,3.120700,4.117200,16.320499,1,185,185
