unit_id,deployed_unit_rounds,seat_rounds,seat_tournaments,final_placement_counts
wc_u_dwarf_guardian,11225,10146,753,"{""1"": 96, ""2"": 97, ""3"": 97, ""4"": 93, ""5"": 92, ""6"": 95, ""7"": 94, ""8"": 89}"
wc_u_dwarf_ranger,6411,5820,535,"{""1"": 89, ""2"": 84, ""3"": 79, ""4"": 68, ""5"": 62, ""6"": 63, ""7"": 50, ""8"": 40}"
wc_u_dwarf_warrior,9661,8818,719,"{""1"": 88, ""2"": 92, ""3"": 83, ""4"": 87, ""5"": 88, ""6"": 93, ""7"": 92, ""8"": 96}"
wc_u_elf_priest,1546,1526,252,"{""1"": 22, ""2"": 23, ""3"": 27, ""4"": 36, ""5"": 30, ""6"": 35, ""7"": 42, ""8"": 37}"
wc_u_elf_ranger,7988,7174,675,"{""1"": 84, ""2"": 91, ""3"": 90, ""4"": 92, ""5"": 83, ""6"": 82, ""7"": 77, ""8"": 76}"
wc_u_elf_rogue,3994,3949,462,"{""1"": 53, ""2"": 61, ""3"": 49, ""4"": 58, ""5"": 60, ""6"": 64, ""7"": 53, ""8"": 64}"
wc_u_human_guardian,11109,9758,732,"{""1"": 95, ""2"": 91, ""3"": 90, ""4"": 90, ""5"": 92, ""6"": 90, ""7"": 95, ""8"": 89}"
wc_u_human_mage,1877,1857,292,"{""1"": 41, ""2"": 28, ""3"": 39, ""4"": 36, ""5"": 37, ""6"": 42, ""7"": 39, ""8"": 30}"
wc_u_human_priest,2299,2238,395,"{""1"": 46, ""2"": 42, ""3"": 45, ""4"": 49, ""5"": 51, ""6"": 51, ""7"": 57, ""8"": 54}"
wc_u_orc_mage,326,317,53,"{""1"": 11, ""2"": 9, ""3"": 8, ""4"": 8, ""5"": 6, ""6"": 3, ""7"": 5, ""8"": 3}"
wc_u_orc_rogue,8672,7974,669,"{""1"": 73, ""2"": 77, ""3"": 83, ""4"": 83, ""5"": 86, ""6"": 87, ""7"": 91, ""8"": 89}"
wc_u_orc_warrior,10623,9580,721,"{""1"": 80, ""2"": 95, ""3"": 89, ""4"": 89, ""5"": 89, ""6"": 95, ""7"": 90, ""8"": 94}"
