seed,round,seat,health,gold,damage,wins,placement,settlement_id,pre_hash,post_hash
1,1,0,55,1,5,0,0,16294208416658607535,14522735592207343816,8460221926111128634
1,1,1,60,0,0,1,0,16294208416658607535,14522735592207343816,8460221926111128634
1,1,2,60,0,0,1,0,16294208416658607535,14522735592207343816,8460221926111128634
1,1,3,55,1,5,0,0,16294208416658607535,14522735592207343816,8460221926111128634
1,1,4,55,0,5,0,0,16294208416658607535,14522735592207343816,8460221926111128634
1,1,5,60,1,0,1,0,16294208416658607535,14522735592207343816,8460221926111128634
1,1,6,57,0,3,0,0,16294208416658607535,14522735592207343816,8460221926111128634
1,1,7,60,1,0,1,0,16294208416658607535,14522735592207343816,8460221926111128634
1,2,0,50,1,5,0,0,2092789425003139053,17202822321084192220,18054638873346667905
1,2,1,60,1,0,2,0,2092789425003139053,17202822321084192220,18054638873346667905
1,2,2,60,1,0,2,0,2092789425003139053,17202822321084192220,18054638873346667905
1,2,3,55,0,0,1,0,2092789425003139053,17202822321084192220,18054638873346667905
1,2,4,50,0,5,0,0,2092789425003139053,17202822321084192220,18054638873346667905
1,2,5,60,6,0,2,0,2092789425003139053,17202822321084192220,18054638873346667905
1,2,6,52,0,5,0,0,2092789425003139053,17202822321084192220,18054638873346667905
1,2,7,56,3,4,1,0,2092789425003139053,17202822321084192220,18054638873346667905
1,3,0,50,0,0,1,0,10905525725756348110,14446582220220522556,16684148737833416444
1,3,1,60,0,0,3,0,10905525725756348110,14446582220220522556,16684148737833416444
1,3,2,56,0,4,2,0,10905525725756348110,14446582220220522556,16684148737833416444
1,3,3,50,0,5,1,0,10905525725756348110,14446582220220522556,16684148737833416444
1,3,4,45,0,5,0,0,10905525725756348110,14446582220220522556,16684148737833416444
1,3,5,60,8,0,3,0,10905525725756348110,14446582220220522556,16684148737833416444
1,3,6,52,0,0,1,0,10905525725756348110,14446582220220522556,16684148737833416444
1,3,7,51,2,5,1,0,10905525725756348110,14446582220220522556,16684148737833416444
1,4,0,50,0,0,2,0,7134611160154358618,11386188818267559763,15581757394803648541
1,4,1,60,0,0,4,0,7134611160154358618,11386188818267559763,15581757394803648541
1,4,2,56,3,0,3,0,7134611160154358618,11386188818267559763,15581757394803648541
1,4,3,46,0,4,1,0,7134611160154358618,11386188818267559763,15581757394803648541
1,4,4,41,0,4,0,0,7134611160154358618,11386188818267559763,15581757394803648541
