wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.011500,0,1,4,0,0,16.666800,1.676000,2.727500,17.005501,1,2764,2764
5.028134,0,1,4,0,0,16.666901,1.759400,2.904900,16.505899,1,2764,2764
5.045291,0,1,4,0,0,16.666901,1.978900,3.079900,16.645100,1,2764,2764
5.061653,0,1,4,0,0,16.751099,3.882300,3.511000,18.619400,1,2764,2764
5.078404,0,1,4,0,0,16.666800,2.141000,2.888200,14.813200,1,2764,2764
5.094910,0,1,4,0,0,16.666901,2.009300,2.577500,16.832500,1,2764,2764
5.111575,0,1,4,0,0,16.666800,1.673300,2.497100,16.367701,1,2764,2764
5.128265,0,1,4,0,0,16.666698,1.915100,2.398600,16.803801,1,2764,2764
5.144965,0,1,4,0,0,16.666800,1.592500,2.432500,16.558100,1,2764,2764
5.161578,0,1,4,0,0,16.666698,1.900600,3.001000,16.808901,1,2764,2764
5.178266,0,1,4,0,0,16.666901,1.732200,2.865100,16.577600,1,2764,2764
5.194933,0,1,4,0,0,16.666698,1.740200,2.416000,16.638901,1,2764,2764
5.211569,0,1,4,0,0,16.666901,1.631500,2.697900,16.652300,1,2764,2764
5.228223,0,1,4,0,0,16.666901,1.715500,2.503900,16.741400,1,2764,2764
5.245001,0,1,4,0,0,16.666698,2.057700,2.639500,16.587799,1,2764,2764
5.261572,0,1,4,0,0,16.666803,1.608200,2.373300,16.690201,1,2764,2764
5.278484,0,1,4,0,0,16.666698,1.545000,2.828900,16.836599,1,2764,2764
5.294910,0,1,4,0,0,16.666901,1.957100,2.363500,16.782301,1,2764,2764
5.311668,0,1,4,0,0,16.673201,1.631100,3.002900,16.326700,1,2764,2764
5.328281,0,1,4,0,0,16.666901,1.873300,2.997500,16.795601,1,2764,2764
5.345036,0,1,4,0,0,16.666901,1.808200,2.470500,16.691200,1,2764,2764
5.361576,0,1,4,0,0,16.666698,1.921500,2.676400,16.946199,1,2764,2764
5.378329,0,1,4,0,0,16.666901,1.691000,2.741100,16.185400,1,2764,2764
5.394952,0,1,4,0,0,16.666698,1.964300,2.434500,16.821199,1,2764,2764
5.411651,0,1,4,0,0,16.666800,1.974200,2.432500,16.642000,1,2764,2764
5.428674,0,1,4,0,0,16.666901,2.106600,2.773400,16.730200,1,2764,2764
5.444925,0,1,4,0,0,16.666800,2.220800,2.615900,16.971701,1,2764,2764
5.461592,0,1,4,0,0,16.666698,1.992900,2.441500,16.251900,1,2764,2764
5.478352,0,1,4,0,0,16.666901,1.755200,2.440400,16.604099,1,2764,2764
5.495039,0,1,4,0,0,16.666800,1.764700,3.073600,17.041401,1,2764,2764
5.511839,0,1,4,0,0,16.666901,1.976200,2.600500,16.464899,1,2764,2764
5.528338,0,1,4,0,0,16.666901,2.148700,2.741700,16.764999,1,2764,2764
5.544907,0,1,4,0,0,16.666901,1.863200,3.068500,17.121201,1,2764,2764
5.561689,0,1,4,0,0,16.667999,1.709300,3.065000,16.047100,1,2764,2764
5.578255,0,1,4,0,0,16.666901,3.590900,3.378000,18.441299,1,2764,2764
5.594939,0,1,4,0,0,16.666800,2.225800,2.618300,14.909400,1,2764,2764
5.611639,0,1,4,0,0,16.667002,1.668500,2.612500,16.657400,1,2764,2764
5.628308,0,1,4,0,0,16.666800,1.977800,3.042300,16.786400,1,2764,2764
5.644938,0,1,4,0,0,16.666698,1.841700,2.515300,16.531500,1,2764,2764
