wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.006136,0,1,4,0,0,16.666901,1.934700,2.568700,16.603100,1,2764,2764
5.022468,0,1,4,0,0,16.666901,2.944300,2.883900,17.653799,1,2764,2764
5.038990,0,1,4,0,0,16.666901,2.104500,2.711100,15.837200,1,2764,2764
5.055913,0,1,4,0,0,16.666901,1.738100,2.681100,16.577499,1,2764,2764
5.072316,0,1,4,0,0,16.666800,3.430900,3.432300,18.359301,1,2764,2764
5.088997,0,1,4,0,0,16.666901,2.517800,2.705900,14.899200,1,2764,2764
5.105647,0,1,4,0,0,16.666901,1.987500,2.490900,16.616501,1,2764,2764
5.122309,0,1,4,0,0,16.666698,1.679500,2.859000,16.787399,1,2764,2764
5.138965,0,1,4,0,0,16.666800,1.980500,2.792700,16.642099,1,2764,2764
5.155828,0,1,4,0,0,16.666901,2.312400,2.924600,16.659401,1,2764,2764
5.172323,0,1,4,0,0,16.667002,2.232900,2.542000,16.880699,1,2764,2764
5.188975,0,1,4,0,0,16.666901,1.729300,2.823100,16.441299,1,2764,2764
5.205713,0,1,4,0,0,16.666998,1.708700,3.151200,16.583700,1,2764,2764
5.222328,0,1,4,0,0,16.666698,2.035300,3.525500,16.738300,1,2764,2764
5.238991,0,1,4,0,0,16.666803,2.037800,2.539200,16.599001,1,2764,2764
5.256158,0,1,4,0,0,16.666998,1.764400,2.481000,16.858200,1,2764,2764
5.272347,0,1,4,0,0,16.666800,2.279000,2.958400,17.006500,1,2764,2764
5.288989,0,1,4,0,0,16.666800,1.937200,2.578800,16.194599,1,2764,2764
5.305635,0,1,4,0,0,16.666901,1.719000,2.785100,16.729099,1,2764,2764
5.322300,0,1,4,0,0,16.666901,1.646100,2.623900,16.551901,1,2764,2764
5.339032,0,1,4,0,0,16.666901,1.712100,2.550700,16.631800,1,2764,2764
5.355669,0,1,4,0,0,16.667002,1.717700,2.423300,16.802900,1,2764,2764
5.372360,0,1,4,0,0,16.667002,1.810200,2.824000,16.569300,1,2764,2764
5.389015,0,1,4,0,0,16.666698,1.875600,3.058100,16.880600,1,2764,2764
5.405653,0,1,4,0,0,16.666698,1.928700,2.543300,16.519199,1,2764,2764
5.422401,0,1,4,0,0,16.666698,1.666500,2.428000,16.630800,1,2764,2764
5.439000,0,1,4,0,0,16.666800,1.863700,3.410200,16.881701,1,2764,2764
5.455667,0,1,4,0,0,16.676203,2.382600,3.639400,16.700399,1,2764,2764
5.472380,0,1,4,0,0,16.666901,2.107100,2.752300,16.398300,1,2764,2764
5.489008,0,1,4,0,0,16.666897,1.958400,2.654200,16.824301,1,2764,2764
5.506139,0,1,4,0,0,16.666901,2.066600,2.877600,16.562201,1,2764,2764
5.522322,0,1,4,0,0,16.666702,2.179300,2.869700,17.199100,1,2764,2764
5.539030,0,1,4,0,0,16.666800,1.941800,2.520100,16.086000,1,2764,2764
5.555677,0,1,4,0,0,16.666800,1.655400,3.797500,16.744499,1,2764,2764
5.572349,0,1,4,0,0,16.666901,1.795400,2.613500,16.633801,1,2764,2764
5.589132,0,1,4,0,0,16.801796,3.253800,3.532900,4.636700,1,2764,2764
