wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.003729,0,1,4,0,0,16.666901,1.949900,3.224100,16.688200,1,2764,2764
5.020398,0,1,4,0,0,16.666698,1.817700,2.409100,16.631800,1,2764,2764
5.037051,0,1,4,0,0,16.666698,1.681300,3.499300,16.776199,1,2764,2764
5.053716,0,1,4,0,0,16.666901,2.088300,2.930600,17.066999,1,2764,2764
5.070423,0,1,4,0,0,16.666698,2.300700,3.504500,16.890900,1,2764,2764
5.087076,0,1,4,0,0,16.666702,2.130000,2.731800,15.893500,1,2764,2764
5.103742,0,1,4,0,0,16.666698,1.547300,3.407100,16.744400,1,2764,2764
5.120558,0,1,4,0,0,16.693701,2.511100,2.683100,16.692301,1,2764,2764
5.137175,0,1,4,0,0,16.666698,1.939000,3.290800,16.694201,1,2764,2764
5.153734,0,1,4,0,0,16.666800,1.757500,2.273400,16.583700,1,2764,2764
5.170431,0,1,4,0,0,16.667002,1.551000,2.535100,16.602100,1,2764,2764
5.187066,0,1,4,0,0,16.666800,1.612400,2.420000,16.754700,1,2764,2764
5.203740,0,1,4,0,0,16.666698,1.679000,2.524300,16.614401,1,2764,2764
5.220412,0,1,4,0,0,16.666901,1.762700,2.499300,16.696301,1,2764,2764
5.237411,0,1,4,0,0,16.666800,1.746900,2.276900,16.618500,1,2764,2764
5.253756,0,1,4,0,0,16.666901,2.242000,2.477500,17.078300,1,2764,2764
5.270411,0,1,4,0,0,16.666800,1.774000,2.711600,16.254999,1,2764,2764
5.287083,0,1,4,0,0,16.666698,1.794800,2.978300,16.655399,1,2764,2764
5.303822,0,1,4,0,0,16.666901,1.535700,2.585500,16.709600,1,2764,2764
5.320445,0,1,4,0,0,16.666901,1.800100,2.988700,16.982000,1,2764,2764
5.337231,0,1,4,0,0,16.666800,1.594900,2.561200,16.290800,1,2764,2764
5.353776,0,1,4,0,0,16.666698,1.778800,2.542100,17.042500,1,2764,2764
5.370428,0,1,4,0,0,16.666800,1.836800,2.616300,16.365499,1,2764,2764
5.387164,0,1,4,0,0,16.666702,1.904400,2.710900,16.917500,1,2764,2764
5.403801,0,1,4,0,0,16.666698,1.887200,2.834300,16.424000,1,2764,2764
5.420476,0,1,4,0,0,16.666901,1.689000,2.396600,16.667601,1,2764,2764
5.437165,0,1,4,0,0,16.666901,1.973600,2.645500,16.693300,1,2764,2764
5.453738,0,1,4,0,0,16.666698,2.627100,2.787600,17.025999,1,2764,2764
5.470645,0,1,4,0,0,16.666800,1.983700,2.683700,16.249901,1,2764,2764
5.487181,0,1,4,0,0,16.666901,2.006700,2.606400,16.951300,1,2764,2764
5.503746,0,1,4,0,0,16.666800,1.711100,3.034000,16.694300,1,2764,2764
5.520397,0,1,4,0,0,16.666901,1.909400,2.337500,16.418800,1,2764,2764
5.537096,0,1,4,0,0,16.666698,1.758800,2.940200,16.569300,1,2764,2764
5.553733,0,1,4,0,0,16.666901,1.822300,2.536200,16.733200,1,2764,2764
5.570403,0,1,4,0,0,16.666698,2.849700,3.162600,17.676300,1,2764,2764
5.587086,0,1,4,0,0,16.667002,1.891100,2.332500,15.773700,1,2764,2764
5.603757,0,1,4,0,0,16.667002,1.660300,3.056700,16.440300,1,2764,2764
5.620422,0,1,4,0,0,16.666901,1.662100,2.124400,16.777201,1,2764,2764
5.637164,0,1,4,0,0,16.666800,1.469800,2.272500,16.569300,1,2764,2764
