wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.012016,1,1,6,22,4,16.666800,4.153100,3.057200,18.867201,1,23974,23974
5.077904,1,1,6,22,4,65.775703,2.443000,0.222600,18.867201,1,23974,23974
5.094507,1,1,6,22,4,16.666901,55.457500,4.077200,68.069397,1,23974,23974
5.112578,1,1,6,22,4,16.666901,2.106300,2.887600,13.910000,1,23978,23978
5.127821,1,1,6,22,4,16.666800,3.686600,3.322700,18.269199,1,23978,23978
5.144542,1,1,6,22,4,16.666901,1.852300,3.532700,15.220700,1,23978,23978
5.161155,1,1,6,22,4,16.666901,1.899200,2.887100,16.577600,1,23978,23978
5.177831,1,1,6,22,4,16.666901,1.741300,2.401300,16.230400,1,23978,23978
5.194402,1,1,6,22,4,16.666698,1.709700,2.561600,17.257401,1,23978,23978
5.211059,1,1,6,22,4,16.667002,1.798900,2.546100,16.356400,1,23978,23978
5.229575,1,1,6,22,4,16.666800,1.635400,4.392700,16.313299,1,23982,23982
5.244706,1,1,6,22,4,16.666897,4.010600,4.037300,19.047501,1,23982,23982
5.261171,1,1,6,22,4,16.666702,2.000900,3.094200,15.499200,1,23982,23982
5.277773,1,1,6,22,4,16.666901,1.972400,3.169200,16.151600,1,23982,23982
5.294459,1,1,6,22,4,16.666800,1.714900,2.858200,16.435200,1,23982,23982
5.311094,1,1,6,22,4,16.666901,1.598400,2.615700,16.677900,1,23982,23982
5.327771,1,1,6,22,4,16.666897,1.639800,3.312600,16.365601,1,23982,23982
5.346104,1,1,6,22,4,16.666702,2.017100,2.579300,16.556000,1,23979,23979
5.361182,1,1,6,22,4,16.666800,3.865400,3.685100,19.168200,1,23979,23979
5.377852,1,1,6,22,4,16.666800,1.946600,2.403400,14.565400,1,23979,23979
5.394504,1,1,6,22,4,16.666901,1.766000,3.038000,16.742399,1,23979,23979
5.411072,1,1,6,22,4,16.666800,1.972200,3.351900,16.513000,1,23979,23979
5.427874,1,1,6,22,4,16.666698,2.249700,3.414300,16.294901,1,23979,23979
5.444695,1,1,6,22,4,16.666800,2.015300,3.318800,16.895000,1,23979,23979
5.462783,1,1,6,21,3,16.709700,2.251100,3.695400,17.575899,1,23973,23973
5.477895,1,1,6,21,3,16.666698,4.341000,2.991300,17.820700,1,23973,23973
5.494515,1,1,6,21,3,16.666901,2.010600,2.619700,14.815200,1,23973,23973
5.511136,1,1,6,21,3,16.666800,1.857800,2.545400,16.556000,1,23973,23973
5.527833,1,1,6,21,3,16.666901,1.794100,2.752700,16.480301,1,23973,23973
5.544577,1,1,6,21,3,16.673502,1.961100,2.492300,16.619499,1,23973,23973
5.561143,1,1,6,21,3,16.666897,1.753600,2.824100,17.161200,1,23973,23973
5.579152,1,1,6,21,3,16.666803,1.608200,2.817400,16.123899,1,23969,23969
5.594492,1,1,6,21,3,16.666800,5.287000,2.836500,20.096001,1,23969,23969
5.611118,1,1,6,21,3,16.666800,1.748400,2.905500,13.606900,1,23969,23969
5.627929,1,1,6,21,3,16.666901,1.647200,3.251800,16.175100,1,23969,23969
5.644590,1,1,6,21,3,16.666800,1.742300,2.683300,17.163200,1,23969,23969
5.661214,1,1,6,21,3,16.666901,1.779100,3.304800,16.692301,1,23969,23969
5.677885,1,1,6,21,3,16.666897,1.977800,3.062800,16.797701,1,23969,23969
5.696027,1,1,6,21,3,16.666800,1.782600,2.899900,16.194500,1,23977,23977
5.711121,1,1,6,21,3,16.666803,3.588900,2.800400,18.559999,1,23977,23977
5.727845,1,1,6,21,3,16.666800,1.721600,2.963700,14.679100,1,23977,23977
5.744626,1,1,6,21,3,16.666901,1.941100,2.774400,17.211399,1,23977,23977
5.761288,1,1,6,21,3,16.666698,1.782900,2.635900,16.775101,1,23977,23977
5.777894,1,1,6,21,3,16.666800,1.912900,3.042500,16.970800,1,23977,23977
5.794519,1,1,6,21,3,16.666698,1.931000,3.107200,16.149500,1,23977,23977
5.812487,1,1,6,21,3,16.666800,2.115300,3.264100,16.678900,1,23988,23988
5.827999,1,1,6,21,3,16.666901,3.365700,3.327600,17.840099,1,23988,23988
5.844654,1,1,6,21,3,16.666901,2.016700,3.306100,15.863800,1,23988,23988
5.861157,1,1,6,21,3,16.666800,2.280800,3.413200,16.195601,1,23988,23988
5.877876,1,1,6,21,3,16.666901,2.030400,3.203300,16.534500,1,23988,23988
5.894571,1,1,6,21,3,16.666800,1.688500,3.012600,16.931900,1,23988,23988
5.911178,1,1,6,21,3,16.666800,1.732600,2.488400,16.615400,1,23988,23988
5.929096,1,1,6,21,3,16.666901,1.655000,3.382300,16.356400,1,23990,23990
5.944555,1,1,6,21,3,16.666800,3.656300,3.145700,18.330601,1,23990,23990
