wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.015969,-1,0,6,0,0,16.666901,2.102100,3.569300,14.782500,1,186,186
5.032588,-1,0,6,0,0,16.666698,1.864000,2.825700,14.646300,1,186,186
5.049232,-1,0,6,0,0,16.666800,1.939000,3.216600,14.858200,1,186,186
5.065891,-1,0,6,0,0,16.666901,2.374600,2.104300,18.165800,1,186,186
5.082577,-1,0,6,0,0,16.666800,1.552200,2.495800,14.203900,1,186,186
5.099215,-1,0,6,0,0,16.666901,1.997000,2.052700,14.572500,1,186,186
5.115866,-1,0,6,0,0,16.666800,1.568600,1.949200,14.402600,1,186,186
5.132564,-1,0,6,0,0,16.666901,1.577800,2.072500,14.331900,1,186,186
5.149229,-1,0,6,0,0,16.666901,1.739200,2.418300,14.353400,1,186,186
5.165862,-1,0,6,0,0,16.666698,1.823300,2.138000,18.049999,1,186,186
5.182575,-1,0,6,0,0,16.666800,1.658800,1.952900,14.564400,1,186,186
5.199310,-1,0,6,0,0,16.666702,2.062100,2.445900,18.134001,1,186,186
5.215868,-1,0,6,0,0,16.666901,1.825600,1.901700,15.366200,1,186,186
5.232544,-1,0,6,0,0,16.666897,1.585700,2.377000,17.072100,1,186,186
5.249232,-1,0,6,0,0,16.666800,1.545600,1.968000,16.715799,1,186,186
5.265909,-1,0,6,0,0,16.666901,1.523200,1.880300,16.850901,1,186,186
5.282544,-1,0,6,0,0,16.666901,1.591500,2.063400,15.960100,1,186,186
5.299247,-1,0,6,0,0,16.666901,1.705900,2.578100,16.688101,1,186,186
5.315966,-1,0,6,0,0,16.666800,2.000700,2.150400,21.130301,1,186,186
5.332584,-1,0,6,0,0,16.666800,2.146500,2.198900,12.539900,1,186,186
5.349218,-1,0,6,0,0,16.666800,1.863400,3.298000,16.224199,1,186,186
5.365874,-1,0,6,0,0,16.666901,1.736900,2.285000,17.938499,1,186,186
5.382532,-1,0,6,0,0,16.666800,1.955700,2.277500,15.321000,1,186,186
5.399217,-1,0,6,0,0,16.667002,1.423400,1.995600,17.768499,1,186,186
5.415927,-1,0,6,0,0,16.666901,2.183700,2.606900,15.723500,1,186,186
5.432538,-1,0,6,0,0,16.666901,1.545300,2.343100,18.309099,1,186,186
5.449199,-1,0,6,0,0,16.666800,1.599500,2.630900,14.952500,1,186,186
5.465867,-1,0,6,0,0,16.666698,1.839600,2.008300,17.303499,1,186,186
5.482558,-1,0,6,0,0,16.666698,1.646200,3.272700,16.129101,1,186,186
5.499208,-1,0,6,0,0,16.666800,1.722300,2.702200,16.713699,1,186,186
5.515993,-1,0,6,0,0,16.666901,1.451600,2.411200,16.453600,1,186,186
5.532571,-1,0,6,0,0,16.666800,1.521600,2.523900,18.323500,1,186,186
5.549206,-1,0,6,0,0,16.666901,1.496400,3.098600,15.374300,1,186,186
5.565858,-1,0,6,0,0,16.666800,1.474100,2.048300,17.419300,1,186,186
5.582573,-1,0,6,0,0,16.666800,1.352800,2.179800,15.563700,1,186,186
5.599315,-1,0,6,0,0,16.666901,1.740700,2.106500,17.531900,1,186,186
5.615860,-1,0,6,0,0,16.666702,2.376600,2.511800,16.546900,1,186,186
5.632591,-1,0,6,0,0,16.666800,1.648800,2.580600,16.869301,1,186,186
5.649356,-1,0,6,0,0,16.666897,1.648100,2.385800,19.162201,1,186,186
5.665892,-1,0,6,0,0,16.666803,1.892200,2.321000,13.458400,1,186,186
5.682563,-1,0,6,0,0,16.666897,1.504700,2.258100,19.313601,1,186,186
5.699296,-1,0,6,0,0,16.666702,1.827000,2.191700,14.135300,1,186,186
5.715887,-1,0,6,0,0,16.666800,1.680900,3.779200,17.030199,1,186,186
5.732561,-1,0,6,0,0,16.666901,1.443100,2.284200,17.432600,1,186,186
5.749239,-1,0,6,0,0,16.666800,1.592900,2.612400,15.346700,1,186,186
5.766024,-1,0,6,0,0,16.667097,1.560600,2.520200,16.879601,1,186,186
5.782632,-1,0,6,0,0,16.666800,2.139800,2.067900,16.590799,1,186,186
5.799268,-1,0,6,0,0,16.666702,1.939000,2.153100,16.525400,1,186,186
5.815901,-1,0,6,0,0,16.666800,1.944100,2.206100,16.719801,1,186,186
5.832644,-1,0,6,0,0,16.666800,1.487500,2.118700,16.641001,1,186,186
5.849298,-1,0,6,0,0,16.666901,1.522800,2.270100,16.693300,1,186,186
5.865936,-1,0,6,0,0,16.666897,1.612300,2.176800,16.650200,1,186,186
5.882613,-1,0,6,0,0,16.666702,1.550400,2.237500,16.701500,1,186,186
5.899258,-1,0,6,0,0,16.666901,2.245900,2.436300,16.550900,1,186,186
5.915898,-1,0,6,0,0,16.666698,1.902900,2.240200,17.531900,1,186,186
5.932717,-1,0,6,0,0,16.666698,1.799800,1.906200,15.686600,1,186,186
5.949215,-1,0,6,0,0,16.666698,1.574000,3.623100,16.956499,1,186,186
5.966033,-1,0,6,0,0,16.666698,1.772200,2.163700,16.589800,1,186,186
5.982634,-1,0,6,0,0,16.667002,1.986200,2.282300,17.167299,1,186,186
5.999262,-1,0,6,0,0,16.666901,1.609700,2.583100,16.330799,1,186,186
6.016020,-1,0,6,0,0,16.667002,1.708100,2.086600,16.472099,1,186,186
6.032621,-1,0,6,0,0,16.666698,1.688000,2.180500,16.668600,1,186,186
6.049282,-1,0,6,0,0,16.677399,1.666800,3.638600,16.975901,1,186,186
6.065930,-1,0,6,0,0,16.666803,3.468300,1.950700,18.462700,1,186,186
6.082589,-1,0,6,0,0,16.666800,2.687900,2.347500,14.705700,1,186,186
6.099238,-1,0,6,0,0,16.666800,1.451200,2.199500,16.369699,1,186,186
