wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.083116,1,1,6,22,4,113.454903,4.216600,0.406600,15.232000,1,23974,23974
5.100440,1,1,6,22,4,19.036200,94.980202,6.358900,15.232000,1,23974,23974
5.116968,1,1,6,22,4,16.674702,4.888000,5.088500,13.402100,1,23974,23974
5.133668,1,1,6,22,4,16.799398,4.480100,6.392500,15.758400,1,23974,23974
5.150051,1,1,6,22,4,16.666901,3.049200,4.528600,16.817101,1,23974,23974
5.168467,1,1,6,22,4,16.666698,2.408100,4.829700,15.922200,1,23978,23978
5.183348,1,1,6,22,4,16.666901,4.730800,3.855700,18.888700,1,23978,23978
5.200002,1,1,6,22,4,16.666901,2.522500,3.697800,14.458900,1,23978,23978
5.216705,1,1,6,22,4,16.666800,1.992800,3.813700,16.565201,1,23978,23978
5.233327,1,1,6,22,4,16.666901,1.898300,3.313700,16.638000,1,23978,23978
5.250128,1,1,6,22,4,16.666800,2.110500,3.112300,16.574400,1,23978,23978
5.266685,1,1,6,22,4,16.666800,2.462800,3.429800,16.937000,1,23978,23978
5.284669,1,1,6,22,4,16.666800,2.035200,3.979200,16.344101,1,23982,23982
5.299968,1,1,6,22,4,16.666901,3.413400,3.052100,18.154499,1,23982,23982
5.316940,1,1,6,22,4,16.695000,1.764200,3.449900,15.115200,1,23982,23982
5.333464,1,1,6,22,4,16.667002,2.009700,3.538000,17.139799,1,23982,23982
5.350167,1,1,6,22,4,16.666800,2.273000,4.090800,16.573400,1,23982,23982
5.366701,1,1,6,22,4,16.667002,2.440100,3.133100,16.651300,1,23982,23982
5.383364,1,1,6,22,4,16.666998,1.869800,3.003200,16.372700,1,23982,23982
5.401338,1,1,6,22,4,16.666702,1.744300,3.513100,16.846800,1,23977,23977
5.416737,1,1,6,22,4,16.666698,3.670000,3.065000,18.191401,1,23977,23977
5.433489,1,1,6,22,4,16.666698,1.847500,2.819700,14.988300,1,23977,23977
5.449976,1,1,6,22,4,16.666800,1.888400,2.875900,16.883699,1,23977,23977
5.466653,1,1,6,22,4,16.666800,1.855900,3.691300,16.447500,1,23977,23977
5.483360,1,1,6,22,4,16.667002,1.779400,2.777100,16.557100,1,23977,23977
5.499992,1,1,6,22,4,16.667002,1.982500,2.841400,16.825300,1,23977,23977
5.518120,1,1,6,21,3,16.666800,1.540200,2.859400,16.494600,1,23971,23971
5.533297,1,1,6,21,3,16.666698,3.810100,2.988600,18.688000,1,23971,23971
5.550090,1,1,6,21,3,16.666698,1.739900,3.597600,14.655500,1,23971,23971
5.566736,1,1,6,21,3,16.667002,1.965300,3.104300,17.016800,1,23971,23971
5.583333,1,1,6,21,3,16.666800,2.169300,3.144300,16.575500,1,23971,23971
5.599978,1,1,6,21,3,16.666698,3.928100,3.038200,18.587601,1,23971,23971
5.616851,1,1,6,21,3,16.667002,1.841300,3.452700,14.486600,1,23971,23971
5.634713,1,1,6,21,3,16.667101,2.011300,3.130400,16.965599,1,23969,23969
5.649993,1,1,6,21,3,16.666800,3.506200,3.170400,18.119699,1,23969,23969
5.666668,1,1,6,21,3,16.666800,1.926800,3.401100,14.966800,1,23969,23969
5.683359,1,1,6,21,3,16.666698,2.167100,3.538900,16.624599,1,23969,23969
5.700014,1,1,6,21,3,16.666800,1.698100,3.924700,16.893999,1,23969,23969
5.716730,1,1,6,21,3,16.666698,1.624500,2.877400,16.444401,1,23969,23969
5.733327,1,1,6,21,3,16.666698,1.731900,3.293500,16.994301,1,23969,23969
5.751422,1,1,6,21,3,16.666702,1.914700,3.782600,16.347099,1,23984,23984
5.766693,1,1,6,21,3,16.666800,3.632100,3.886700,18.632700,1,23984,23984
5.783427,1,1,6,21,3,16.672998,2.044500,3.300800,15.030300,1,23984,23984
5.799984,1,1,6,21,3,16.666901,2.098200,2.939800,16.532499,1,23984,23984
5.816798,1,1,6,21,3,16.666698,1.935900,2.928400,16.457701,1,23984,23984
5.833351,1,1,6,21,3,16.666901,2.012100,3.003600,16.900101,1,23984,23984
5.850032,1,1,6,21,3,16.666800,2.172000,3.532700,16.707600,1,23984,23984
5.868083,1,1,6,21,3,16.666698,1.906000,3.220500,16.526300,1,23990,23990
5.883357,1,1,6,21,3,16.666901,3.528400,3.328600,18.462700,1,23990,23990
5.900103,1,1,6,21,3,16.684599,1.893700,2.746700,15.016000,1,23990,23990
5.916913,1,1,6,21,3,16.666901,2.256400,4.997000,16.756701,1,23990,23990
5.933391,1,1,6,21,3,16.666901,2.297600,5.561800,17.209400,1,23990,23990
5.950047,1,1,6,21,3,16.666698,2.165000,4.662200,16.024500,1,23990,23990
5.966722,1,1,6,21,3,16.666800,2.315500,4.124800,16.501801,1,23990,23990
5.985775,1,1,6,21,3,16.666702,1.807200,3.551900,16.623600,1,23990,23990
6.000233,1,1,6,21,3,16.666800,4.904700,3.514800,19.945499,1,23990,23990
6.016780,1,1,6,21,3,16.666800,2.197400,4.166500,13.907900,1,23990,23990
6.033358,1,1,6,21,3,16.666698,2.406600,3.353600,16.420900,1,23990,23990
6.050132,1,1,6,21,3,16.667101,1.854300,3.355300,16.482300,1,23990,23990
6.066667,1,1,6,21,3,16.666901,2.195800,2.741400,16.655399,1,23990,23990
6.083333,1,1,6,21,3,16.666897,1.644400,2.774400,16.478201,1,23990,23990
6.101449,1,1,6,21,3,16.666702,4.491300,3.734600,19.957701,1,23990,23990
6.116792,1,1,6,21,3,16.666800,3.967500,3.272500,15.332400,1,23990,23990
6.133328,1,1,6,21,3,16.666901,1.839100,3.208000,14.964700,1,23990,23990
6.150167,1,1,6,21,3,16.666897,1.630900,3.222500,16.557100,1,23990,23990
6.166730,1,1,6,21,3,16.666901,2.002400,2.973400,16.804800,1,23990,23990
6.183352,1,1,6,21,3,16.666702,1.765000,3.193700,16.496700,1,23990,23990
6.200136,1,1,6,21,3,16.666901,2.061800,3.618700,16.608200,1,23990,23990
6.218027,1,1,6,19,3,16.666897,1.828100,2.912200,16.838699,1,23981,23981
6.233369,1,1,6,19,3,16.666702,3.305300,2.929600,18.263000,1,23981,23981
6.250010,1,1,6,19,3,16.666800,1.708900,3.293600,15.011900,1,23981,23981
6.266703,1,1,6,19,3,16.666901,2.009900,3.190800,16.498699,1,23981,23981
6.283456,1,1,6,19,3,16.666698,1.810800,3.392700,16.684000,1,23981,23981
6.300180,1,1,6,19,3,16.667002,1.858300,2.927000,17.012699,1,23981,23981
6.316785,1,1,6,19,3,16.666897,2.068600,3.202300,16.544800,1,23981,23981
6.334642,1,1,6,19,3,16.666901,2.150000,2.681900,16.564199,1,23976,23976
