wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.003169,1,1,6,22,3,16.666901,4.293800,4.029300,19.555300,1,23972,23972
5.019860,1,1,6,22,3,16.666698,2.091700,2.942600,14.283800,1,23972,23972
5.036609,1,1,6,22,3,16.666800,1.661900,3.563500,16.230400,1,23972,23972
5.053151,1,1,6,22,3,16.666800,1.831900,3.483100,16.794600,1,23972,23972
5.069951,1,1,6,22,3,16.666702,1.527600,3.150700,16.511000,1,23972,23972
5.089682,1,1,6,22,3,16.666800,4.227000,3.524300,19.337200,1,23984,23984
5.103308,1,1,6,22,3,16.666800,5.613700,3.251100,17.947701,1,23984,23984
5.119875,1,1,6,22,3,16.666998,1.830300,3.867300,13.023200,1,23984,23984
5.136600,1,1,6,22,3,16.666901,1.628100,3.143300,16.367599,1,23984,23984
5.153186,1,1,6,22,3,16.666800,1.627100,3.127600,16.840700,1,23984,23984
5.169863,1,1,6,22,3,16.666800,1.682600,2.836700,16.492599,1,23984,23984
5.189131,1,1,6,21,3,16.670700,1.777300,2.908200,16.675800,1,23983,23983
5.203171,1,1,5,21,3,16.666800,4.800400,2.843100,19.537901,1,23983,23983
5.219904,1,1,5,21,3,16.666901,1.405400,2.374000,13.725700,1,23983,23983
5.236528,1,1,5,21,3,16.666702,1.766900,2.720900,16.869400,1,23983,23983
5.253229,1,1,5,21,3,16.666897,1.592200,2.942400,16.521299,1,23983,23983
5.269998,1,1,5,21,3,16.666702,1.605200,3.258200,16.712700,1,23983,23983
5.288944,1,1,5,21,3,16.666698,1.917300,5.107700,16.919500,1,23981,23981
5.303207,1,1,5,21,3,16.666698,4.591200,3.115200,19.717100,1,23981,23981
5.319915,1,1,5,21,3,16.666698,1.614400,2.660200,13.380600,1,23981,23981
5.336509,1,1,5,21,3,16.666901,1.972200,3.647800,17.010700,1,23981,23981
5.353187,1,1,5,21,3,16.666800,1.882800,3.694800,16.212999,1,23981,23981
5.369922,1,1,5,21,3,16.666698,1.739100,3.056000,16.696301,1,23981,23981
5.388932,1,1,5,21,3,16.666803,1.900100,2.753900,16.778299,1,23986,23986
5.403336,1,1,5,21,3,16.666897,4.149800,2.859800,19.228600,1,23986,23986
5.419841,1,1,5,21,3,16.666800,1.664300,2.991100,14.228500,1,23986,23986
5.436569,1,1,5,21,3,16.666901,1.524700,3.059100,16.432199,1,23986,23986
5.453161,1,1,5,21,3,16.666901,1.869500,2.677900,16.771000,1,23986,23986
5.470071,1,1,5,21,3,16.666901,1.491900,2.991700,16.514000,1,23986,23986
5.488873,1,1,5,21,3,16.666800,1.753000,3.482600,17.046499,1,23982,23982
5.503220,1,1,5,21,3,16.666800,4.317000,3.587100,19.528700,1,23982,23982
5.519888,1,1,5,21,3,16.666702,1.921600,3.296800,13.605900,1,23982,23982
5.536540,1,1,5,21,3,16.666897,1.740800,3.082000,16.743401,1,23982,23982
5.553200,1,1,5,21,3,16.666702,1.592400,2.979000,16.459801,1,23982,23982
5.569949,1,1,5,21,3,16.666800,1.616500,2.935000,16.685101,1,23982,23982
5.589419,1,1,5,21,3,16.666998,2.120200,3.576600,16.917500,1,23989,23989
5.603201,1,1,5,21,3,16.666901,7.025500,3.483300,21.466101,1,23989,23989
5.619855,1,1,5,21,3,16.666800,1.736500,4.510700,11.650000,1,23989,23989
5.636593,1,1,5,21,3,16.666702,1.732700,2.774300,16.536600,1,23989,23989
5.653204,1,1,5,21,3,16.666800,1.619000,3.741700,16.950300,1,23989,23989
5.669879,1,1,5,21,3,16.666800,1.629200,3.929900,16.660500,1,23989,23989
5.688888,1,1,5,20,3,16.666901,1.966100,3.533700,16.454599,1,23989,23989
5.703215,1,1,5,20,3,16.666998,4.384300,3.146100,20.005899,1,23989,23989
5.719974,1,1,5,20,3,16.666901,1.526800,2.805800,13.360100,1,23989,23989
5.736722,1,1,5,20,3,16.666901,1.583100,2.749500,17.114100,1,23989,23989
