wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.001213,0,1,4,0,0,16.666901,1.730600,2.780400,16.633900,1,2714,2714
5.017847,0,1,4,0,0,16.666800,1.769700,2.314700,16.671700,1,2714,2714
5.034574,0,1,4,0,0,16.667002,1.775800,2.856500,16.643101,1,2714,2714
5.051195,0,1,4,0,0,16.666901,2.433700,2.712200,17.204201,1,2714,2714
5.067878,0,1,4,0,0,16.666800,2.299200,2.516900,17.046499,1,2714,2714
5.084529,0,1,4,0,0,16.666800,1.737100,2.455800,15.730700,1,2714,2714
5.101186,0,1,4,0,0,16.666901,1.428300,2.600300,16.707600,1,2714,2714
5.117861,0,1,4,0,0,16.666698,1.713300,2.311100,16.609301,1,2714,2714
5.134536,0,1,4,0,0,16.666800,1.686500,2.623800,16.735201,1,2714,2714
5.151276,0,1,4,0,0,16.666901,1.861200,2.937600,16.636999,1,2714,2714
5.167961,0,1,4,0,0,16.666698,1.972200,3.044700,16.842699,1,2714,2714
5.185139,0,1,4,0,0,16.667101,2.167600,2.563400,16.579599,1,2714,2714
5.201201,0,1,4,0,0,16.666901,2.093800,2.600800,17.523701,1,2714,2714
5.217863,0,1,4,0,0,16.666897,1.488400,2.605000,15.745000,1,2714,2714
5.234543,0,1,4,0,0,16.666803,1.456000,2.550400,16.626699,1,2714,2714
5.251226,0,1,4,0,0,16.666800,1.508000,2.507200,16.720900,1,2714,2714
5.267865,0,1,4,0,0,16.666800,1.659700,2.642100,16.644100,1,2714,2714
5.284533,0,1,4,0,0,16.666901,1.460800,2.629400,16.653299,1,2714,2714
5.301240,0,1,4,0,0,16.666698,1.812600,2.525500,16.704500,1,2714,2714
5.317865,0,1,4,0,0,16.667002,1.861100,2.505100,16.611401,1,2714,2714
5.334530,0,1,4,0,0,16.666800,1.423600,2.622400,16.624599,1,2714,2714
5.351191,0,1,4,0,0,16.666800,1.736600,2.571000,16.726000,1,2714,2714
5.367903,0,1,4,0,0,16.666800,1.898800,2.920700,16.635900,1,2714,2714
5.384579,0,1,4,0,0,16.666698,1.638300,3.314400,16.708599,1,2714,2714
5.401306,0,1,4,0,0,16.666901,1.494300,2.721800,16.673800,1,2714,2714
5.417868,0,1,4,0,0,16.666698,1.757000,2.577300,16.782400,1,2714,2714
5.435068,0,1,4,0,0,16.666901,1.665500,2.598800,16.483299,1,2714,2714
5.451209,0,1,4,0,0,16.666800,2.075300,2.389900,17.226700,1,2714,2714
5.467853,0,1,4,0,0,16.666901,1.823000,2.287200,16.156700,1,2714,2714
5.484535,0,1,4,0,0,16.666698,1.794100,2.733400,16.715799,1,2714,2714
5.501215,0,1,4,0,0,16.666901,1.436500,2.547200,16.656401,1,2714,2714
5.517862,0,1,4,0,0,16.666698,1.669100,2.488200,16.630800,1,2714,2714
5.534523,0,1,4,0,0,16.666800,1.738800,2.390800,16.706499,1,2714,2714
5.551185,0,1,4,0,0,16.666901,1.575600,2.229700,16.730101,1,2714,2714
5.567855,0,1,4,0,0,16.666901,1.577300,2.334000,16.583700,1,2714,2714
5.584553,0,1,4,0,0,16.666901,2.534900,3.435900,17.846300,1,2714,2714
5.601190,0,1,4,0,0,16.666901,1.825400,2.489200,15.523800,1,2714,2714
5.617862,0,1,4,0,0,16.666800,1.804400,2.346600,16.655399,1,2714,2714
