wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.015779,0,1,4,0,0,16.666901,1.697600,3.234500,16.223200,1,2714,2714
5.032433,0,1,4,0,0,16.666698,2.162900,4.658000,17.459200,1,2714,2714
5.049186,0,1,4,0,0,16.666800,2.576400,3.971500,16.236601,1,2714,2714
5.066066,0,1,4,0,0,16.666901,3.361000,4.772800,17.917900,1,2714,2714
5.082495,0,1,4,0,0,16.666901,2.582700,4.289100,15.639600,1,2714,2714
5.099189,0,1,4,0,0,16.666800,2.764100,4.051500,16.291800,1,2714,2714
5.115808,0,1,4,0,0,16.666901,2.089000,3.461000,16.754700,1,2714,2714
5.132464,0,1,4,0,0,16.666901,2.159500,4.104600,17.068001,1,2714,2714
5.149119,0,1,4,0,0,16.666901,1.849100,4.098600,16.110600,1,2714,2714
5.165885,0,1,4,0,0,16.666800,2.093100,4.059800,16.597000,1,2714,2714
5.182575,0,1,4,0,0,16.666901,2.095800,4.351900,16.799801,1,2714,2714
5.199174,0,1,4,0,0,16.667097,2.403700,3.685100,16.728001,1,2714,2714
5.216439,0,1,4,0,0,16.666800,2.064200,3.785200,16.587799,1,2714,2714
5.232504,0,1,4,0,0,16.666901,2.556400,4.747000,17.298401,1,2714,2714
5.249136,0,1,4,0,0,16.666901,2.482200,4.604700,15.920200,1,2714,2714
5.265938,0,1,4,0,0,16.666901,2.055100,5.295600,16.744400,1,2714,2714
5.282502,0,1,4,0,0,16.666901,2.577200,3.131600,16.796700,1,2714,2714
5.299135,0,1,4,0,0,16.667002,1.876100,3.792700,16.686100,1,2714,2714
5.315803,0,1,4,0,0,16.668100,2.122800,4.064200,16.395201,1,2714,2714
5.332463,0,1,4,0,0,16.666901,1.982500,3.414600,16.723000,1,2714,2714
5.349167,0,1,4,0,0,16.666698,2.011600,3.239500,16.634899,1,2714,2714
5.365772,0,1,4,0,0,16.666901,1.893300,4.007900,16.717800,1,2714,2714
5.382463,0,1,4,0,0,16.666698,1.990400,3.283400,16.597000,1,2714,2714
5.399163,0,1,4,0,0,16.666901,1.951100,4.164400,16.716801,1,2714,2714
5.415798,0,1,4,0,0,16.666800,2.102100,4.359700,16.742399,1,2714,2714
5.432492,0,1,4,0,0,16.666901,2.210400,3.969900,16.644100,1,2714,2714
5.449330,0,1,4,0,0,16.667002,2.180700,3.959100,16.875500,1,2714,2714
5.466745,0,1,4,0,0,16.666897,2.447200,6.334700,17.044500,1,2714,2714
5.482573,0,1,4,0,0,16.668201,3.332000,4.747400,16.905199,1,2714,2714
5.499166,0,1,4,0,0,16.666901,2.206200,3.992100,16.206800,1,2714,2714
5.516080,0,1,4,0,0,16.666800,2.174800,3.475600,16.139299,1,2714,2714
5.532529,0,1,4,0,0,16.666800,2.503900,4.420000,17.487900,1,2714,2714
5.549212,0,1,4,0,0,16.666800,2.607100,3.050300,16.017401,1,2714,2714
5.565771,0,1,4,0,0,16.666901,3.343600,3.834200,18.174900,1,2714,2714
5.582482,0,1,4,0,0,16.666702,2.137400,3.966300,14.930000,1,2714,2714
5.599119,0,1,4,0,0,16.666698,2.339100,4.664500,16.844801,1,2714,2714
5.615900,0,1,4,0,0,16.666998,1.877400,3.560900,16.619499,1,2714,2714
5.632504,0,1,4,0,0,16.666901,1.792200,4.182000,16.806900,1,2714,2714
5.649136,0,1,4,0,0,16.666901,1.937400,3.023200,16.390100,1,2714,2714
5.665831,0,1,4,0,0,16.666698,1.952300,5.045400,16.900101,1,2714,2714
5.682457,0,1,4,0,0,16.666803,2.279800,2.688500,16.639999,1,2714,2714
5.699120,0,1,4,0,0,16.666800,1.882400,2.910700,16.494600,1,2714,2714
5.716300,0,1,4,0,0,16.666901,1.721100,4.571300,16.989201,1,3050,3050
5.732474,0,1,4,0,0,16.666698,2.510800,4.762900,17.126400,1,3050,3050
5.749211,0,1,4,0,0,16.666800,2.233800,3.708500,16.112700,1,3050,3050
5.765779,0,1,4,0,0,16.666901,2.178800,6.348900,17.439699,1,3050,3050
5.782548,0,1,4,0,0,16.666698,1.952700,4.099200,15.589400,1,3050,3050
5.799133,0,1,4,0,0,16.666901,2.016200,3.673900,17.197001,1,3050,3050
5.815847,0,1,4,0,0,16.666698,2.156900,2.475200,16.201799,1,3050,3050
5.832475,0,1,4,0,0,16.666698,1.603300,3.834400,16.976900,1,3050,3050
5.849224,0,1,4,0,0,16.666901,2.180300,3.041300,16.513000,1,3050,3050
5.865818,0,1,4,0,0,16.666800,2.001900,3.854700,16.836599,1,3050,3050
5.882596,0,1,4,0,0,16.691099,2.151400,3.270700,16.424900,1,3050,3050
5.899148,0,1,4,0,0,16.666800,1.936700,4.008700,17.006599,1,3050,3050
5.915812,0,1,4,0,0,16.666901,2.040400,3.487000,16.554001,1,3050,3050
5.932478,0,1,4,0,0,16.666698,2.018500,3.762200,16.459801,1,3050,3050
5.949179,0,1,4,0,0,16.666901,2.110500,4.305000,16.600100,1,3050,3050
5.966755,0,1,4,0,0,16.666800,1.987900,3.955700,16.799700,1,3050,3050
5.982523,0,1,4,0,0,16.666800,2.791300,5.026300,17.903601,1,3050,3050
5.999204,0,1,4,0,0,16.667002,2.468800,4.522000,15.340600,1,3050,3050
6.015839,0,1,4,0,0,16.666901,1.821700,4.373600,16.699400,1,3050,3050
6.032893,0,1,4,0,0,17.007999,3.118900,5.148100,17.904600,1,3050,3050
6.049534,0,1,4,0,0,16.666901,2.399100,3.406600,13.868000,1,3050,3050
6.066165,0,1,4,0,0,16.666901,3.030600,6.141100,18.826300,1,3050,3050
6.082821,0,1,4,0,0,16.666901,1.899000,3.482000,14.361600,1,3050,3050
6.099668,0,1,4,0,0,16.699501,1.810500,2.824500,16.738300,1,3050,3050
6.116213,0,1,4,0,0,16.666901,2.022500,3.607200,17.524700,1,3050,3050
