wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes
5.008346,1,1,3,15,2,16.666901,1.607500,2.323100,16.476101,1,23963,23963
5.025008,1,1,3,15,2,16.666901,1.409500,2.591700,16.651300,1,23963,23963
5.041703,1,1,3,15,2,16.666901,1.936400,2.787800,17.229799,1,23963,23963
5.060874,1,1,3,15,2,16.666901,1.897600,3.019300,16.159800,1,23963,23963
5.075062,1,1,3,15,2,16.666998,4.339400,3.520100,19.362801,1,23963,23963
5.091674,1,1,3,15,2,16.666901,2.637900,2.529500,14.010400,1,23963,23963
5.108337,1,1,3,15,2,16.666698,1.490500,2.696400,16.564199,1,23963,23963
5.125003,1,1,3,15,2,16.666803,1.906800,3.000600,16.716801,1,23963,23963
5.141696,1,1,3,15,2,16.666800,3.777800,4.231500,18.663401,1,23963,23963
5.161197,1,1,3,15,2,16.666901,1.588300,2.433500,14.621700,1,23971,23971
5.175021,1,1,3,15,2,16.666800,4.676100,3.204700,19.625000,1,23971,23971
5.191689,1,1,3,15,2,16.666698,1.564100,3.641200,13.561800,1,23971,23971
5.208395,1,1,3,15,2,16.666698,1.440700,2.902600,16.791599,1,23971,23971
5.225064,1,1,3,15,2,16.666901,1.847800,2.697900,16.860100,1,23971,23971
5.241666,1,1,3,15,2,16.667002,1.725000,2.748600,16.627701,1,23971,23971
5.260746,1,1,3,15,2,16.666998,1.484500,2.407400,16.497700,1,23977,23977
5.275060,1,1,3,15,2,16.666800,3.891800,3.535300,19.204100,1,23977,23977
5.291713,1,1,3,15,2,16.666800,1.583300,2.441200,14.235600,1,23977,23977
5.308348,1,1,3,15,2,16.666901,1.779700,3.114600,16.651300,1,23977,23977
5.325089,1,1,3,15,2,16.666702,1.688200,2.754800,16.623600,1,23977,23977
5.341738,1,1,3,15,2,16.666901,1.794400,2.786200,16.819201,1,23977,23977
5.361511,1,1,3,15,2,16.666897,1.669800,3.196800,16.622601,1,23972,23972
5.375044,1,1,3,15,2,16.666901,4.887700,3.714600,19.839001,1,23972,23972
5.391688,1,1,3,15,2,16.666901,1.715500,2.972100,13.303800,1,23972,23972
5.408389,1,1,3,15,2,16.666901,1.646600,2.493000,16.683001,1,23972,23972
5.425037,1,1,3,15,2,16.666800,1.751500,2.821200,16.867300,1,23972,23972
5.441726,1,1,3,15,2,16.666800,1.529400,3.025000,16.622601,1,23972,23972
5.461166,1,1,3,15,2,16.666698,2.326100,3.393800,16.609301,1,23969,23969
5.475128,1,1,3,15,2,16.666803,4.761000,3.791100,19.614700,1,23969,23969
5.491724,1,1,3,15,2,16.666800,1.738300,4.000800,14.319600,1,23969,23969
5.508377,1,1,3,15,2,16.666998,2.851100,2.781800,16.064600,1,23969,23969
5.525001,1,1,3,15,2,16.666901,1.618200,2.665700,16.612301,1,23969,23969
5.541752,1,1,3,15,2,16.666901,1.664500,2.142900,16.560101,1,23969,23969
5.561079,1,1,3,15,2,16.666901,1.561100,2.758200,17.136700,1,23968,23968
5.575015,1,1,3,15,2,16.666800,4.718500,2.475200,19.075100,1,23968,23968
5.591686,1,1,3,15,2,16.667002,1.450100,2.450500,13.873100,1,23968,23968
5.608411,1,1,3,15,2,16.666698,1.594600,2.297700,16.613400,1,23968,23968
5.625039,1,1,3,15,2,16.666901,1.498200,2.742500,16.955400,1,23968,23968
5.641682,1,1,3,15,2,16.666901,4.980200,3.512700,19.565500,1,23968,23968
5.660937,1,1,3,15,2,16.666698,1.661100,2.501900,13.515800,1,23970,23970
5.675077,1,1,3,15,2,16.666698,4.099100,3.847900,19.364901,1,23970,23970
5.691698,1,1,3,15,2,16.666901,1.683700,2.513000,14.437400,1,23970,23970
5.708371,1,1,3,15,2,16.666698,1.999600,3.006000,16.233400,1,23970,23970
5.725042,1,1,3,15,2,16.666901,1.528400,3.544400,16.697399,1,23970,23970
5.741712,1,1,3,15,2,16.666901,1.749100,2.747200,16.635900,1,23970,23970
5.761337,1,1,3,15,2,16.666901,1.520900,2.674100,16.688101,1,23968,23968
5.775053,1,1,3,15,2,16.666901,4.688800,2.917800,19.733500,1,23968,23968
5.791751,1,1,3,15,2,16.666800,1.636800,3.537600,13.682700,1,23968,23968
5.808381,1,1,3,15,2,16.666901,2.297400,2.606000,16.676901,1,23968,23968
5.825031,1,1,3,15,2,16.666901,1.738600,2.934700,16.665600,1,23968,23968
5.841702,1,1,3,15,2,16.666800,1.797900,3.189000,16.588800,1,23968,23968
5.861135,1,1,3,14,2,16.666901,1.987300,2.639700,16.605101,1,23969,23969
5.875068,1,1,3,14,2,16.666698,4.593800,3.800300,19.669001,1,23969,23969
5.891687,1,1,3,14,2,16.666901,1.586400,3.753800,13.835300,1,23969,23969
5.908423,1,1,3,14,2,16.667002,1.857400,2.921500,16.507900,1,23969,23969
5.925059,1,1,3,14,2,16.667097,1.548200,2.772300,16.751600,1,23969,23969
5.941740,1,1,3,14,2,16.666901,1.830600,2.411400,16.581699,1,23969,23969
5.960787,1,1,3,13,2,16.666800,1.515500,2.540900,17.015800,1,23964,23964
5.975011,1,1,3,13,2,16.666901,4.195600,3.051700,18.856899,1,23964,23964
5.991737,1,1,3,13,2,16.666698,1.788000,3.390300,14.090300,1,23964,23964
6.008426,1,1,3,13,2,16.681902,1.883000,2.512200,16.850901,1,23964,23964
6.025066,1,1,3,13,2,16.666698,1.579100,2.573700,16.893999,1,23964,23964
6.041779,1,1,3,13,2,16.666800,2.166400,3.004400,16.926701,1,23964,23964
6.061488,1,1,3,13,2,16.666800,1.965900,4.213600,16.351200,1,23964,23964
6.075029,1,1,3,13,2,16.666901,5.142200,4.769400,19.655701,1,23964,23964
6.091704,1,1,3,13,2,16.666901,1.856400,2.729000,13.254600,1,23964,23964
6.108426,1,1,3,13,2,16.667002,1.739300,2.869600,16.774200,1,23964,23964
6.125062,1,1,3,13,2,16.666698,1.595400,3.529700,16.725000,1,23964,23964
6.141743,1,1,3,13,2,16.666698,3.696300,3.575900,18.665501,1,23964,23964
6.158360,1,1,3,13,2,16.666901,1.828800,3.121100,14.695400,1,23964,23964
6.175072,1,1,3,13,2,16.666698,1.600900,3.508000,16.586700,1,23964,23964
6.191722,1,1,3,13,2,16.666698,1.903400,2.720900,16.683001,1,23964,23964
6.208404,1,1,3,13,2,16.666800,1.771400,2.482200,16.616501,1,23964,23964
6.225028,1,1,3,13,2,16.666702,1.510500,2.887200,16.741400,1,23964,23964
6.241723,1,1,3,13,2,16.666698,1.733000,2.785000,16.637899,1,23964,23964
6.258396,1,1,3,13,2,16.666698,1.684700,3.236000,16.660500,1,23964,23964
6.275012,1,1,3,13,2,16.666901,1.847700,4.071100,17.017799,1,23964,23964
6.291641,1,1,3,13,2,16.666901,1.812200,3.165800,16.417801,1,23964,23964
6.311425,2,1,3,13,0,16.666698,1.643700,3.109900,16.548901,1,24831,24831
6.325136,2,1,3,13,0,16.666901,12.338200,5.406400,16.548901,1,24831,24831
6.341672,2,1,3,13,0,16.667002,2.404700,4.843400,8.284100,1,24831,24831
6.358323,2,1,3,13,0,16.666901,2.138200,5.273100,13.950000,1,24831,24831
6.374980,2,1,3,13,0,16.666901,2.467400,3.173300,16.535500,1,24831,24831
6.391755,2,1,3,13,0,16.667198,1.903000,2.607500,16.659500,1,24831,24831
6.408323,2,1,3,13,0,16.666901,1.843100,3.448600,17.018900,1,24831,24831
6.424982,2,1,3,13,0,16.666698,1.885200,3.952900,16.353201,1,24831,24831
6.441669,2,1,3,13,0,16.666901,1.952800,3.088200,16.711700,1,24831,24831
6.458336,2,1,3,13,0,16.666901,1.645000,2.491900,16.559099,1,24831,24831
6.474988,2,1,3,13,0,16.666800,1.677800,2.718300,16.851000,1,24831,24831
6.491641,2,1,3,13,0,16.666800,1.962100,2.999000,16.474100,1,24831,24831
6.508516,2,1,3,13,0,16.666800,1.639100,2.697300,16.726999,1,24831,24831
6.524993,2,1,3,13,0,16.666901,1.713700,2.803100,16.843800,1,24831,24831
6.541656,2,1,3,13,0,16.666800,1.536900,3.443300,16.643101,1,24831,24831
6.559306,0,2,3,0,0,16.667101,2.126500,4.656900,16.737301,1,3922,3922
6.574991,0,2,4,0,0,16.666901,12.480700,4.609800,26.661800,1,3922,3922
6.591803,0,2,4,0,0,16.666800,1.854300,4.321100,6.899800,1,3922,3922
6.608290,0,2,4,0,0,16.666800,1.903000,3.383200,16.468901,1,3922,3922
6.624962,0,2,4,0,0,16.666901,1.634200,3.757800,16.378901,1,3922,3922
6.641630,0,2,4,0,0,16.666698,3.335000,4.015100,18.274300,1,3979,3979
6.658490,0,2,4,0,0,16.666800,3.640900,3.341600,16.251900,1,3979,3979
6.674960,0,2,4,0,0,16.666901,1.976900,3.077600,15.710200,1,3979,3979
6.691612,0,2,4,0,0,16.666800,1.974700,3.089500,16.439301,1,3979,3979
6.708273,0,2,4,0,0,16.666800,1.765900,2.855000,16.571400,1,3979,3979
6.725189,0,2,4,0,0,16.666698,1.308900,3.427200,16.697399,1,3979,3979
6.741642,0,2,4,0,0,16.667002,1.736100,2.667500,16.991199,1,3979,3979
6.758282,0,2,4,0,0,16.666901,1.727800,3.201200,16.359400,1,3979,3979
6.774944,0,2,4,0,0,16.666800,1.352000,3.457200,16.510000,1,3979,3979
6.792006,0,2,4,0,0,16.666901,1.398900,2.874400,16.736200,1,3979,3979
6.808902,0,2,4,0,0,16.666901,1.903000,2.740000,17.250299,1,3922,3922
6.824962,0,2,4,0,0,16.666800,4.181200,3.182800,18.939899,1,3922,3922
6.841601,0,2,4,0,0,16.666800,1.858300,3.286000,13.843500,1,3922,3922
6.858613,0,2,4,0,0,16.666800,1.706200,3.556600,16.690201,1,3922,3922
6.874938,0,2,4,0,0,16.666698,1.840500,3.048100,17.128401,1,3922,3922
7.027837,0,2,4,0,0,152.421997,1.583000,0.432400,17.128401,1,3922,3922
7.044108,0,2,4,0,0,16.666901,127.595100,2.938500,155.181000,1,3973,3973
7.061548,0,2,4,0,0,16.666901,2.163100,3.682700,14.265400,1,3973,3973
7.077592,0,2,4,0,0,16.666800,2.420500,3.208900,17.752100,1,3973,3973
7.094141,0,2,4,0,0,16.666800,1.663200,3.428100,16.057301,1,3973,3973
7.110799,0,2,4,0,0,16.666800,1.919100,3.758200,16.225300,1,3973,3973
7.127485,0,2,4,0,0,16.666698,1.974500,3.310700,16.774099,1,3973,3973
7.144319,0,2,4,0,0,16.666698,1.899900,4.110200,16.474100,1,3973,3973
7.160814,0,2,4,0,0,16.667002,3.098600,3.065200,18.431000,1,3973,3973
7.177411,0,2,4,0,0,16.666698,2.734100,3.965500,14.935000,1,3973,3973
7.194140,0,2,4,0,0,16.666702,1.935500,3.039900,16.793600,1,3973,3973
7.213124,1,2,4,32,4,16.666901,1.779100,3.628100,16.587799,1,16400,16400
7.228291,1,2,8,32,4,16.666998,14.394600,3.628100,16.587799,1,16400,16400
7.244112,1,2,8,32,4,16.666698,3.085400,3.222000,11.859900,1,16400,16400
7.260833,1,2,8,32,4,16.666803,1.846900,3.246000,8.613900,1,16400,16400
7.277502,1,2,8,32,4,16.666897,1.554000,3.828000,16.902201,1,16400,16400
7.294296,1,2,8,32,4,16.666901,1.633000,3.595200,16.866301,1,16400,16400
7.313554,1,2,8,32,4,16.666901,1.913600,3.429700,16.636900,1,20646,20646
7.327585,1,2,8,32,4,16.666901,5.134600,3.645000,19.778500,1,20646,20646
7.344284,1,2,8,32,4,16.666901,2.021800,4.227500,13.530200,1,20646,20646
7.360844,1,2,8,32,4,16.666800,1.993600,5.065400,16.858101,1,20646,20646
7.377562,1,2,8,32,4,16.666698,2.088600,3.811400,16.506800,1,20646,20646
7.394230,1,2,8,32,4,16.666901,2.128700,3.434000,16.598101,1,20646,20646
7.415618,1,2,8,32,4,16.675503,1.846200,4.379300,16.565201,1,24660,24660
7.427527,1,2,8,32,4,16.666800,7.574200,3.912000,22.213600,1,24660,24660
7.444216,1,2,8,32,4,16.666901,2.045600,3.783500,11.506700,1,24660,24660
7.460888,1,2,8,32,4,16.666698,2.339600,3.875500,16.520201,1,24660,24660
7.477554,1,2,8,32,4,16.666698,2.160900,4.317900,16.555000,1,24660,24660
7.494222,1,2,8,32,4,16.666698,2.242500,3.811400,17.085501,1,24660,24660
7.514804,1,2,8,32,4,16.666901,1.901800,4.129400,16.266199,1,25210,25210
7.662773,1,2,8,32,4,146.877899,6.599100,0.401500,21.044201,1,25237,25237
7.805387,1,2,8,31,4,144.889694,127.765099,0.303600,151.282700,1,25378,25378
7.954763,1,2,7,30,4,148.175507,120.495697,0.352200,140.134399,1,25377,25377
7.967478,1,2,7,30,4,16.666698,123.514397,4.437200,148.548599,1,25377,25377
7.984094,1,2,7,30,4,16.666698,2.083300,3.243800,12.141600,1,25377,25377
8.000762,1,2,7,30,4,16.666901,1.782000,3.161100,16.521200,1,25377,25377
8.017474,1,2,7,30,4,16.666800,1.760700,2.695400,16.582701,1,25377,25377
8.034109,1,2,7,30,4,16.666800,1.615200,3.617700,16.801800,1,25377,25377
8.053318,1,2,7,28,4,16.666901,2.362600,3.301000,17.098700,1,25362,25362
8.067504,1,2,7,28,4,16.666800,4.552900,3.862400,19.128300,1,25362,25362
8.084132,1,2,7,28,4,16.666800,2.174600,2.742600,13.740100,1,25362,25362
8.100755,1,2,7,28,4,16.666901,1.995800,2.738100,16.670700,1,25362,25362
8.117551,1,2,7,28,4,16.666800,1.598100,3.246800,16.596001,1,25362,25362
8.134097,1,2,7,28,4,16.666698,1.909300,3.470800,16.815100,1,25362,25362
8.153447,1,2,7,27,4,16.666803,1.749200,2.963600,16.746500,1,25350,25350
8.167437,1,2,7,27,4,16.666897,4.675900,3.345300,19.612600,1,25350,25350
8.184112,1,2,7,27,4,16.666800,4.469900,2.837400,16.236601,1,25350,25350
8.200783,1,2,7,27,4,16.666901,1.781400,2.890200,13.886400,1,25350,25350
8.217562,1,2,7,27,4,16.666800,1.959900,2.692400,16.737301,1,25350,25350
8.234122,1,2,7,27,4,16.666901,1.997400,3.047500,16.757799,1,25350,25350
8.253702,1,2,7,26,4,16.666901,1.720600,3.645100,16.521200,1,25355,25355
8.267488,1,2,6,26,4,16.666901,5.444400,3.565200,20.417500,1,25355,25355
8.284164,1,2,6,26,4,16.666698,1.947700,3.509800,13.011000,1,25355,25355
8.300819,1,2,6,26,4,16.666901,1.935200,3.125800,16.857100,1,25355,25355
8.317537,1,2,6,26,4,16.667002,1.785700,3.430900,16.417801,1,25355,25355
8.334202,1,2,6,26,4,16.667002,1.792000,4.418800,16.970699,1,25355,25355
8.353777,1,2,6,26,4,16.666800,2.245800,3.385200,16.672800,1,25339,25339
8.367438,1,2,6,26,4,16.666901,5.611200,4.616400,19.872700,1,25339,25339
8.384194,1,2,6,26,4,16.666698,2.064800,3.095200,13.641800,1,25339,25339
8.400813,1,2,6,26,4,16.667002,2.019300,2.926600,16.307199,1,25339,25339
8.417543,1,2,6,26,4,16.666998,1.954700,2.886100,16.638901,1,25339,25339
8.434127,1,2,6,26,4,16.666800,1.947500,4.144400,17.231899,1,25339,25339
8.453442,1,2,6,25,4,16.666901,2.114700,3.265600,16.438299,1,25341,25341
8.467448,1,2,6,25,4,16.666800,4.800300,3.239000,19.565599,1,25341,25341
8.484143,1,2,6,25,4,16.666702,1.785900,2.597400,13.494200,1,25341,25341
8.500825,1,2,6,25,4,16.666800,1.736300,3.258900,16.696301,1,25341,25341
8.517424,1,2,6,25,4,16.666901,1.992000,3.426400,17.071199,1,25341,25341
8.534124,1,2,6,25,4,16.666800,1.840100,3.595600,16.129999,1,25341,25341
8.553500,1,2,6,25,4,16.666698,1.660800,2.653100,17.020901,1,25361,25361
8.567471,1,2,6,25,4,16.666800,4.781400,4.045900,19.496000,1,25361,25361
8.584100,1,2,6,25,4,16.666901,2.162400,3.381100,13.708300,1,25361,25361
8.600808,1,2,6,25,4,16.666800,1.846900,2.895000,16.579500,1,25361,25361
8.617435,1,2,6,25,4,16.667002,1.526200,3.470300,16.645201,1,25361,25361
8.634181,1,2,6,25,4,16.666698,2.289600,3.220100,17.333200,1,25361,25361
8.653875,1,2,6,25,4,16.666901,2.101500,3.836600,16.212000,1,25370,25370
8.667529,1,2,6,25,4,16.666800,5.660100,4.048200,19.945400,1,25370,25370
8.684130,1,2,6,25,4,16.666800,5.383200,4.145800,16.665600,1,25370,25370
8.700804,1,2,6,25,4,16.667002,1.965900,3.287600,13.497400,1,25370,25370
8.717463,1,2,6,25,4,16.666698,1.810400,3.766400,16.170000,1,25370,25370
8.734111,1,2,6,25,4,16.667002,1.840600,3.367000,16.738300,1,25370,25370
8.754670,1,2,6,25,4,16.666800,1.600800,2.801400,16.543699,1,25354,25354
8.767381,1,2,6,25,4,16.666901,6.144600,5.154300,21.341200,1,25354,25354
8.784082,1,2,6,25,4,16.666698,3.339000,3.219400,12.119000,1,25354,25354
8.800747,1,2,6,25,4,16.667002,1.612300,2.789000,16.516100,1,25354,25354
8.817383,1,2,6,25,4,16.666897,1.470800,3.246200,16.619600,1,25354,25354
8.834063,1,2,6,25,4,16.666800,1.798800,3.883900,16.789499,1,25354,25354
8.854807,1,2,6,22,4,16.667002,1.893300,3.370400,16.655300,1,25336,25336
8.867514,1,2,6,22,4,16.666800,6.529000,3.553100,21.793800,1,25336,25336
8.884059,1,2,6,22,4,16.666800,1.912700,4.235200,11.888700,1,25336,25336
8.900759,1,2,6,22,4,16.666800,2.103500,3.324500,16.324600,1,25336,25336
