seed,round,seat,level,gold,unit_id,definition,star,on_board,column,row,bench
1,1,0,4,1,1,wc_u_dwarf_guardian,1,1,3,3,-1
1,1,0,4,1,9,wc_u_halfling_ranger,2,1,3,0,-1
1,1,0,4,1,27,wc_u_human_priest,1,1,3,1,-1
1,1,1,4,0,2,wc_u_halfling_warrior,1,1,3,3,-1
1,1,1,4,0,10,wc_u_halfling_rogue,1,1,0,2,-1
1,1,1,4,0,18,wc_u_elf_ranger,1,1,3,1,-1
1,1,1,4,0,28,wc_u_orc_guardian,1,1,4,3,-1
1,1,2,4,1,3,wc_u_dwarf_guardian,1,1,3,3,-1
1,1,2,4,1,11,wc_u_dwarf_guardian,1,1,4,3,-1
1,1,2,4,1,19,wc_u_dwarf_ranger,1,1,3,0,-1
1,1,2,4,1,29,wc_u_halfling_ranger,1,1,4,0,-1
1,1,3,4,0,4,wc_u_dwarf_warrior,1,1,3,3,-1
1,1,3,4,0,12,wc_u_orc_warrior,1,1,4,3,-1
1,1,3,4,0,20,wc_u_halfling_warrior,1,1,2,3,-1
1,1,3,4,0,30,wc_u_halfling_mage,1,1,3,0,-1
1,1,4,4,0,5,wc_u_human_guardian,1,1,3,3,-1
1,1,4,4,0,13,wc_u_orc_rogue,1,1,0,2,-1
1,1,4,4,0,21,wc_u_halfling_ranger,1,1,3,0,-1
1,1,4,4,0,31,wc_u_dwarf_priest,1,1,3,1,-1
1,1,5,4,0,6,wc_u_human_warrior,1,1,3,3,-1
1,1,5,4,0,14,wc_u_orc_rogue,1,1,0,2,-1
1,1,5,4,0,22,wc_u_halfling_warrior,1,1,4,3,-1
1,1,5,4,0,32,wc_u_halfling_ranger,1,1,3,0,-1
1,1,6,4,0,7,wc_u_human_guardian,2,1,3,3,-1
1,1,6,4,0,23,wc_u_halfling_warrior,1,1,2,3,-1
1,1,6,4,0,33,wc_u_dragonkin_priest,1,1,3,1,-1
1,1,7,4,0,8,wc_u_dwarf_guardian,1,1,3,3,-1
1,1,7,4,0,16,wc_u_orc_rogue,1,1,0,2,-1
1,1,7,4,0,24,wc_u_halfling_warrior,1,1,4,3,-1
1,1,7,4,0,34,wc_u_halfling_warrior,1,1,2,3,-1
1,1,7,4,0,35,wc_u_human_priest,1,0,-1,-1,0
1,2,0,4,1,1,wc_u_dwarf_guardian,1,1,3,3,-1
1,2,0,4,1,9,wc_u_halfling_ranger,2,1,3,0,-1
1,2,0,4,1,27,wc_u_human_priest,1,0,-1,-1,0
1,2,0,4,1,36,wc_u_human_guardian,1,1,4,3,-1
1,2,0,4,1,45,wc_u_dwarf_warrior,1,1,3,2,-1
1,2,0,4,1,52,wc_u_halfling_warrior,1,0,-1,-1,1
1,2,0,4,1,62,wc_u_orc_rogue,1,0,-1,-1,2
1,2,0,4,1,66,wc_u_halfling_ranger,1,0,-1,-1,3
1,2,1,4,0,2,wc_u_halfling_warrior,1,1,3,3,-1
1,2,1,4,0,10,wc_u_halfling_rogue,1,1,0,2,-1
1,2,1,4,0,18,wc_u_elf_ranger,1,1,4,1,-1
1,2,1,4,0,28,wc_u_orc_guardian,1,0,-1,-1,0
1,2,1,4,0,37,wc_u_elf_rogue,1,1,3,2,-1
1,2,1,4,0,53,wc_u_halfling_ranger,1,0,-1,-1,1
1,2,1,4,0,57,wc_u_dwarf_priest,1,0,-1,-1,2
1,2,1,4,0,63,wc_u_human_priest,1,0,-1,-1,3
1,2,2,4,3,3,wc_u_dwarf_guardian,2,1,3,3,-1
1,2,2,4,3,19,wc_u_dwarf_ranger,1,1,3,0,-1
1,2,2,4,3,29,wc_u_halfling_ranger,1,0,-1,-1,0
1,2,2,4,3,44,wc_u_dwarf_priest,1,1,3,1,-1
1,2,2,4,3,49,wc_u_human_priest,1,1,4,0,-1
1,2,2,4,3,58,wc_u_halfling_warrior,1,0,-1,-1,1
1,2,3,4,0,4,wc_u_dwarf_warrior,1,1,3,3,-1
1,2,3,4,0,12,wc_u_orc_warrior,1,1,4,3,-1
1,2,3,4,0,20,wc_u_halfling_warrior,1,0,-1,-1,1
1,2,3,4,0,30,wc_u_halfling_mage,1,0,-1,-1,0
1,2,3,4,0,39,wc_u_dwarf_ranger,1,1,3,0,-1
1,2,3,4,0,46,wc_u_dragonkin_rogue,1,1,2,3,-1
1,2,3,4,0,54,wc_u_halfling_warrior,1,0,-1,-1,2
1,2,3,4,0,59,wc_u_halfling_ranger,1,0,-1,-1,3
1,2,4,4,0,5,wc_u_human_guardian,1,1,3,3,-1
1,2,4,4,0,13,wc_u_orc_rogue,1,1,2,0,-1
1,2,4,4,0,21,wc_u_halfling_ranger,1,0,-1,-1,0
1,2,4,4,0,31,wc_u_dwarf_priest,1,0,-1,-1,1
1,2,4,4,0,40,wc_u_dwarf_ranger,1,1,0,0,-1
1,2,4,4,0,50,wc_u_elf_ranger,1,1,3,1,-1
1,2,4,4,0,60,wc_u_halfling_mage,1,0,-1,-1,2
1,2,4,4,0,64,wc_u_elf_priest,1,0,-1,-1,3
1,2,5,4,2,6,wc_u_human_warrior,1,1,3,3,-1
1,2,5,4,2,14,wc_u_orc_rogue,1,1,0,2,-1
1,2,5,4,2,22,wc_u_halfling_warrior,1,1,3,2,-1
1,2,5,4,2,32,wc_u_halfling_ranger,1,0,-1,-1,0
1,2,5,4,2,41,wc_u_orc_guardian,1,1,4,3,-1
1,2,5,4,2,51,wc_u_halfling_ranger,1,0,-1,-1,1
1,2,5,4,2,55,wc_u_halfling_warrior,1,0,-1,-1,2
1,2,5,4,2,67,wc_u_human_priest,1,0,-1,-1,3
1,2,6,4,0,7,wc_u_human_guardian,2,1,3,3,-1
1,2,6,4,0,23,wc_u_halfling_warrior,2,1,3,2,-1
