formation_a,formation_b,star,investment_per_side,seed,swapped,winner,ticks,timeout,survivors_a,survivors_b,events,observed_replay_exact
shield_heavy,shield_heavy,1,10,1,0,1,750,0,0,4,300,1
shield_heavy,shield_heavy,1,10,1,1,1,750,0,0,4,300,1
shield_heavy,shield_heavy,1,10,2,0,0,718,0,5,0,302,1
shield_heavy,shield_heavy,1,10,2,1,0,718,0,5,0,302,1
shield_heavy,shield_heavy,1,10,3,0,0,800,1,4,1,303,1
shield_heavy,shield_heavy,1,10,3,1,0,800,1,4,1,303,1
shield_heavy,shield_heavy,1,10,4,0,1,800,1,1,3,318,1
shield_heavy,shield_heavy,1,10,4,1,1,800,1,1,3,318,1
shield_heavy,shield_heavy,1,10,5,0,0,745,0,5,0,296,1
shield_heavy,shield_heavy,1,10,5,1,0,745,0,5,0,296,1
shield_heavy,shield_heavy,1,10,6,0,1,800,1,1,2,283,1
shield_heavy,shield_heavy,1,10,6,1,1,800,1,1,2,283,1
shield_heavy,shield_heavy,1,10,7,0,1,800,1,2,4,292,1
shield_heavy,shield_heavy,1,10,7,1,1,800,1,2,4,292,1
shield_heavy,shield_heavy,1,10,8,0,0,795,0,3,0,316,1
shield_heavy,shield_heavy,1,10,8,1,0,795,0,3,0,316,1
shield_heavy,shield_heavy,2,30,1,0,1,750,0,0,4,300,1
shield_heavy,shield_heavy,2,30,1,1,1,750,0,0,4,300,1
shield_heavy,shield_heavy,2,30,2,0,0,718,0,5,0,302,1
shield_heavy,shield_heavy,2,30,2,1,0,718,0,5,0,302,1
shield_heavy,shield_heavy,2,30,3,0,0,800,1,4,1,303,1
shield_heavy,shield_heavy,2,30,3,1,0,800,1,4,1,303,1
shield_heavy,shield_heavy,2,30,4,0,1,800,1,1,3,318,1
shield_heavy,shield_heavy,2,30,4,1,1,800,1,1,3,318,1
shield_heavy,shield_heavy,2,30,5,0,0,745,0,5,0,296,1
shield_heavy,shield_heavy,2,30,5,1,0,745,0,5,0,296,1
shield_heavy,shield_heavy,2,30,6,0,1,800,1,1,2,283,1
shield_heavy,shield_heavy,2,30,6,1,1,800,1,1,2,283,1
shield_heavy,shield_heavy,2,30,7,0,1,800,1,2,4,292,1
shield_heavy,shield_heavy,2,30,7,1,1,800,1,2,4,292,1
shield_heavy,shield_heavy,2,30,8,0,0,795,0,3,0,316,1
shield_heavy,shield_heavy,2,30,8,1,0,795,0,3,0,316,1
shield_heavy,shield_heavy,3,90,1,0,1,750,0,0,4,300,1
shield_heavy,shield_heavy,3,90,1,1,1,750,0,0,4,300,1
shield_heavy,shield_heavy,3,90,2,0,0,718,0,5,0,302,1
shield_heavy,shield_heavy,3,90,2,1,0,718,0,5,0,302,1
shield_heavy,shield_heavy,3,90,3,0,0,800,1,4,1,303,1
shield_heavy,shield_heavy,3,90,3,1,0,800,1,4,1,303,1
shield_heavy,shield_heavy,3,90,4,0,1,800,1,1,3,318,1
shield_heavy,shield_heavy,3,90,4,1,1,800,1,1,3,318,1
shield_heavy,shield_heavy,3,90,5,0,0,745,0,5,0,296,1
shield_heavy,shield_heavy,3,90,5,1,0,745,0,5,0,296,1
shield_heavy,shield_heavy,3,90,6,0,1,800,1,1,2,283,1
shield_heavy,shield_heavy,3,90,6,1,1,800,1,1,2,283,1
shield_heavy,shield_heavy,3,90,7,0,1,800,1,2,4,292,1
shield_heavy,shield_heavy,3,90,7,1,1,800,1,2,4,292,1
shield_heavy,shield_heavy,3,90,8,0,0,795,0,3,0,316,1
shield_heavy,shield_heavy,3,90,8,1,0,795,0,3,0,316,1
shield_heavy,sustain,1,10,1,0,0,727,0,3,0,272,1
shield_heavy,sustain,1,10,1,1,1,588,0,0,3,234,1
shield_heavy,sustain,1,10,2,0,0,543,0,3,0,230,1
shield_heavy,sustain,1,10,2,1,1,563,0,0,3,229,1
shield_heavy,sustain,1,10,3,0,0,769,0,3,0,280,1
shield_heavy,sustain,1,10,3,1,1,523,0,0,3,232,1
shield_heavy,sustain,1,10,4,0,0,727,0,2,0,269,1
shield_heavy,sustain,1,10,4,1,1,563,0,0,3,231,1
shield_heavy,sustain,1,10,5,0,0,520,0,5,0,209,1
shield_heavy,sustain,1,10,5,1,1,642,0,0,3,241,1
shield_heavy,sustain,1,10,6,0,0,727,0,2,0,249,1
shield_heavy,sustain,1,10,6,1,1,563,0,0,3,230,1
shield_heavy,sustain,1,10,7,0,0,664,0,2,0,231,1
shield_heavy,sustain,1,10,7,1,1,720,0,0,2,266,1
shield_heavy,sustain,1,10,8,0,0,595,0,3,0,246,1
shield_heavy,sustain,1,10,8,1,1,531,0,0,4,242,1
shield_heavy,sustain,2,30,1,0,1,751,0,0,2,267,1
shield_heavy,sustain,2,30,1,1,1,713,0,0,2,257,1
shield_heavy,sustain,2,30,2,0,0,543,0,3,0,226,1
shield_heavy,sustain,2,30,2,1,1,563,0,0,3,229,1
shield_heavy,sustain,2,30,3,0,0,769,0,3,0,281,1
shield_heavy,sustain,2,30,3,1,1,517,0,0,4,233,1
shield_heavy,sustain,2,30,4,0,0,727,0,2,0,270,1
shield_heavy,sustain,2,30,4,1,1,563,0,0,3,229,1
shield_heavy,sustain,2,30,5,0,0,520,0,5,0,209,1
shield_heavy,sustain,2,30,5,1,1,607,0,0,3,237,1
shield_heavy,sustain,2,30,6,0,0,727,0,2,0,251,1
shield_heavy,sustain,2,30,6,1,1,563,0,0,3,231,1
shield_heavy,sustain,2,30,7,0,0,664,0,2,0,231,1
shield_heavy,sustain,2,30,7,1,1,720,0,0,2,268,1
shield_heavy,sustain,2,30,8,0,0,595,0,3,0,246,1
shield_heavy,sustain,2,30,8,1,1,526,0,0,4,237,1
shield_heavy,sustain,3,90,1,0,0,727,0,3,0,268,1
shield_heavy,sustain,3,90,1,1,1,713,0,0,2,258,1
shield_heavy,sustain,3,90,2,0,0,543,0,3,0,226,1
shield_heavy,sustain,3,90,2,1,1,563,0,0,3,230,1
shield_heavy,sustain,3,90,3,0,0,800,1,2,1,287,1
shield_heavy,sustain,3,90,3,1,1,517,0,0,4,233,1
shield_heavy,sustain,3,90,4,0,0,800,1,1,1,276,1
shield_heavy,sustain,3,90,4,1,1,563,0,0,3,229,1
shield_heavy,sustain,3,90,5,0,0,520,0,5,0,211,1
shield_heavy,sustain,3,90,5,1,1,607,0,0,3,237,1
shield_heavy,sustain,3,90,6,0,0,727,0,2,0,254,1
shield_heavy,sustain,3,90,6,1,1,563,0,0,3,232,1
shield_heavy,sustain,3,90,7,0,0,664,0,2,0,232,1
shield_heavy,sustain,3,90,7,1,1,774,0,0,3,282,1
shield_heavy,sustain,3,90,8,0,0,595,0,3,0,248,1
shield_heavy,sustain,3,90,8,1,1,526,0,0,4,238,1
shield_heavy,spread_ranged,1,10,1,0,1,563,0,0,4,215,1
shield_heavy,spread_ranged,1,10,1,1,0,514,0,5,0,205,1
