seed,rounds,simulated_ms,wall_ms,winner_seats,timeouts,encounters,combat_events,bot_commands,bot_rejects,ghosts,final_hash,idle_unit_ms,stunned_unit_ms
1,29,1157100,751,1,15,120,17608,781,0,4,7012948559379934411,63900,613600
2,34,1186900,758,1,7,123,14331,731,0,4,10014773916621947943,63600,323050
3,33,1261800,769,1,11,124,16495,722,0,6,15933740010181675388,74450,503100
4,32,1283600,796,1,26,129,19303,761,0,7,12090844982719571731,66550,562800
5,32,1289250,804,1,32,129,19190,838,0,4,17718835142352943774,66300,576000
6,33,1223450,847,1,11,127,17085,724,0,10,5360545261004931335,66850,351150
7,31,1229450,1107,1,26,133,18132,913,0,4,445631049083144891,69950,510000
8,32,1172850,1210,1,6,132,16872,796,0,8,13992061614109643066,72300,339400
9,37,1458250,1353,1,24,135,19824,775,0,7,6958194891204390497,89150,536300
10,33,1344100,1128,1,38,130,20286,849,0,6,11365794895694723764,66900,687850
11,31,1171850,904,1,11,129,16885,786,0,9,11461215717305815088,67750,270400
12,28,1139450,831,1,12,124,17109,906,0,7,6234724475184309119,63550,320150
13,29,1106100,808,1,11,117,14884,750,0,6,2754423810781076569,62200,404950
14,32,1234650,948,1,14,129,16336,836,0,6,13869701512657069905,66750,285100
15,31,1198100,881,1,15,124,17158,827,0,6,10256090103461647901,63600,473550
16,29,1125700,863,1,20,120,17382,699,0,3,11642295948973339664,60750,621350
17,28,1078150,727,1,18,120,17663,665,0,5,13763352579372606768,62450,428900
18,32,1224750,822,1,17,131,17043,730,0,9,10628948433321740683,69850,335650
19,31,1136250,821,1,12,133,18471,835,0,10,811802604152304871,70100,472800
20,37,1413400,845,1,17,131,18121,739,0,4,4511908221477388610,67800,307850
21,38,1522550,903,1,37,132,19639,772,0,3,12228598186259158983,69300,538750
22,34,1226100,762,1,5,125,15246,813,0,4,14704850799674078820,64450,319100
23,36,1452450,921,1,31,138,21229,760,0,11,8305257225950956502,72900,728600
24,31,1222150,763,1,17,120,17094,763,0,6,15448319491014856422,64950,505050
25,31,1310950,833,1,33,127,19854,869,0,7,6766977400654348725,64850,465800
26,31,1237700,830,1,21,131,17408,830,0,5,545229086323445858,67300,277350
27,34,1314500,828,1,13,135,18034,818,0,6,14562907973245887465,69350,388500
28,34,1314200,841,1,18,136,18979,797,0,5,7337429287448170711,70950,549550
29,28,1148950,748,1,22,119,17179,824,0,6,8328395152450958172,60200,628900
30,29,1096000,773,1,10,127,16520,829,0,4,4920573485279209560,66600,412300
31,36,1359850,894,1,11,138,18276,765,0,11,16807088176088313228,72750,267150
32,31,1248100,786,1,29,126,17903,804,0,10,6061515570113906694,65000,456350
33,28,1102100,732,1,15,121,16613,802,0,5,5404062656023650051,61400,430450
34,31,1237100,828,1,21,124,16834,762,0,3,17394971941822007165,63050,371200
35,33,1309500,936,1,29,133,20049,816,0,8,10371546540462228256,68650,537250
36,33,1320500,892,1,27,134,18243,821,0,4,6201334737883338303,68850,558700
37,29,1154950,793,1,21,126,18536,726,0,4,4567144681785262740,64350,636400
38,31,1222100,763,1,22,126,18402,793,0,8,3485286642606939084,64600,428250
39,32,1230200,729,1,19,124,16487,727,0,3,5491998530077848986,63650,250650
40,29,1164900,710,1,20,124,17320,725,0,7,16163025376438440105,70500,414950
41,31,1249000,803,1,29,131,19060,802,0,11,11032360428188085754,68400,533900
42,27,1072050,718,1,23,120,17143,677,0,5,3191172663195306105,74000,374850
43,37,1483400,946,1,23,129,18576,736,0,5,2146468280757071821,66550,461350
44,33,1289850,821,1,21,135,18522,800,0,8,12753388871966099835,72800,302650
45,26,1011050,686,1,25,114,16382,713,0,4,7119155434520057982,64200,628600
46,37,1370250,843,1,11,138,18990,820,0,6,3160951123091521583,71100,584250
47,31,1218750,765,1,19,126,18050,760,0,6,14002498092467335362,66350,419100
48,34,1305750,846,1,15,138,17638,789,0,10,2681850457324991973,79350,426900
49,32,1229000,759,1,16,129,17198,752,0,9,16882668184949026096,70700,353400
50,32,1211150,753,1,10,131,17160,784,0,5,14432225858308733018,85100,485200
51,36,1371200,803,1,13,133,18359,681,0,7,17395578029708208194,68900,500450
52,32,1291250,825,1,28,134,20329,824,0,7,16183838161864392722,68550,436300
53,34,1341300,978,1,18,139,20073,715,0,11,16417713832736953789,72150,634950
54,29,1127600,749,1,12,120,15791,785,0,6,15081717306161841772,65100,583800
55,33,1281500,819,1,20,127,17702,712,0,6,2340915203511105739,67450,451800
56,33,1342750,880,1,24,125,18255,770,0,10,11392157599772529966,68000,372700
57,27,1067450,784,1,18,118,15584,840,0,1,17119402294336679251,62750,463900
58,29,1133150,761,1,13,128,16888,764,0,7,4385521611867320108,65600,383100
59,33,1262550,887,1,18,133,18263,845,0,10,6670978106686984797,68900,476500
60,33,1302500,825,1,20,130,18710,834,0,8,15434045879062206833,66600,284350
61,34,1267350,828,1,7,137,17585,838,0,7,12453354135542843090,71900,444850
62,28,1151050,844,1,37,133,20833,859,0,5,7030177224735867279,68350,709750
63,28,1076950,745,1,14,121,16537,748,0,8,1557977298540290005,61500,211000
64,39,1523800,893,1,25,138,20054,778,0,6,10969852391085368803,71250,304700
65,32,1246250,804,1,12,130,18599,802,0,7,8255591893392167146,74200,455500
66,29,1182100,736,1,26,120,17422,751,0,5,8834145975018166449,60850,444050
67,27,1015500,699,1,11,123,15781,741,0,5,13682563502022061878,68350,495550
68,29,1134600,745,1,19,123,16822,704,0,6,1597251851160757982,65800,558300
69,36,1491700,897,1,35,133,21013,872,0,5,9975805934278869134,68650,352850
70,28,1061800,731,1,8,123,14684,834,0,2,11827992859593806937,62900,352650
71,29,1163250,1002,1,16,133,18791,847,0,4,8678702344870410425,69100,448350
72,32,1237650,1029,1,17,123,17293,828,0,4,6823699857149136667,66850,645650
73,28,1065750,733,1,14,121,16024,750,0,1,15332292133754333907,63900,367850
74,33,1229750,782,1,10,128,15761,787,0,6,8120955795735419750,66800,116700
75,29,1205350,807,1,18,125,18561,857,0,6,2601332909923782533,64750,516800
76,29,1082600,740,1,5,121,13637,819,0,7,13904977002441843061,64150,181800
77,33,1306150,835,1,29,132,19662,846,0,7,3991400173819031197,67600,393550
78,33,1333100,816,1,21,124,17313,806,0,6,9940084865817956107,65950,649150
79,28,1106950,741,1,28,120,17707,721,0,5,6433074229225717584,61800,540150
80,31,1150350,761,1,7,130,16480,766,0,6,15185514461869831749,67500,141750
81,29,1122250,779,1,12,130,16568,820,0,5,2138746795578820239,67550,328900
82,27,1113300,733,1,22,121,17699,777,0,6,3199030138991948148,62800,340000
83,38,1458250,1072,1,8,140,18209,855,0,9,17152925008797228962,72300,204100
84,29,1185650,800,1,20,120,17522,789,0,9,3719304089827669366,61550,513500
85,29,1133450,737,1,14,122,16495,746,0,6,4618152653650087278,68000,299450
86,32,1234550,794,1,8,129,17512,856,0,4,1130041213812694288,67150,318200
87,36,1397200,886,1,18,135,18760,787,0,7,6869733822090539813,73600,467000
88,37,1424000,950,1,14,134,18425,781,0,7,16649554604134124465,70100,293550
89,34,1351900,892,1,26,128,19952,783,0,7,4012123878539128860,72450,598150
90,36,1451250,861,1,25,129,18242,744,0,4,16299065863339211515,74150,558600
91,28,1118750,1025,1,14,117,16103,825,0,4,7831990109791627384,64600,393000
92,34,1375550,834,1,22,126,18366,761,0,4,1005269056463827895,66700,545700
93,29,1128200,789,1,8,124,14871,866,0,1,17999244983436314265,64500,352450
94,33,1301800,794,1,16,127,18223,792,0,6,11060672640783339357,65850,392750
95,32,1256550,747,1,16,123,15750,758,0,5,5695523855209409032,63700,281900
96,31,1219100,815,1,35,130,19601,729,0,8,1392107433820976315,78050,704650
97,34,1399200,926,1,39,131,20360,836,0,5,13279463716639288988,67250,528850
98,29,1166450,870,1,18,119,16838,849,0,2,8537686094982140735,60700,481350
