seed,round,seat,health,gold,damage,wins,placement,settlement_id,pre_hash,post_hash,pvp_round_index,neutral,pending_reward
1,1,0,60,1,0,0,0,14304962546426001610,12416262564781074971,14908351536558865572,0,1,2
1,1,1,60,0,0,0,0,14304962546426001610,12416262564781074971,14908351536558865572,0,1,2
1,1,2,60,1,0,0,0,14304962546426001610,12416262564781074971,14908351536558865572,0,1,2
1,1,3,60,0,0,0,0,14304962546426001610,12416262564781074971,14908351536558865572,0,1,2
1,1,4,60,0,0,0,0,14304962546426001610,12416262564781074971,14908351536558865572,0,1,2
1,1,5,60,0,0,0,0,14304962546426001610,12416262564781074971,14908351536558865572,0,1,2
1,1,6,60,0,0,0,0,14304962546426001610,12416262564781074971,14908351536558865572,0,1,2
1,1,7,60,0,0,0,0,14304962546426001610,12416262564781074971,14908351536558865572,0,1,2
1,2,0,60,1,0,0,0,15753921995930842550,16637181269816913414,12671790951943626344,0,1,2
1,2,1,60,0,0,0,0,15753921995930842550,16637181269816913414,12671790951943626344,0,1,2
1,2,2,60,3,0,0,0,15753921995930842550,16637181269816913414,12671790951943626344,0,1,2
1,2,3,60,0,0,0,0,15753921995930842550,16637181269816913414,12671790951943626344,0,1,2
1,2,4,60,0,0,0,0,15753921995930842550,16637181269816913414,12671790951943626344,0,1,2
1,2,5,60,2,0,0,0,15753921995930842550,16637181269816913414,12671790951943626344,0,1,2
1,2,6,60,0,0,0,0,15753921995930842550,16637181269816913414,12671790951943626344,0,1,2
1,2,7,60,4,0,0,0,15753921995930842550,16637181269816913414,12671790951943626344,0,1,2
1,3,0,60,3,0,0,0,13360088746244380280,11809616319734791456,6769019706043122066,0,1,2
1,3,1,60,0,0,0,0,13360088746244380280,11809616319734791456,6769019706043122066,0,1,2
1,3,2,60,3,0,0,0,13360088746244380280,11809616319734791456,6769019706043122066,0,1,2
1,3,3,60,0,0,0,0,13360088746244380280,11809616319734791456,6769019706043122066,0,1,2
1,3,4,60,0,0,0,0,13360088746244380280,11809616319734791456,6769019706043122066,0,1,2
1,3,5,60,3,0,0,0,13360088746244380280,11809616319734791456,6769019706043122066,0,1,2
1,3,6,60,0,0,0,0,13360088746244380280,11809616319734791456,6769019706043122066,0,1,2
1,3,7,60,4,0,0,0,13360088746244380280,11809616319734791456,6769019706043122066,0,1,2
1,4,0,56,10,4,0,0,9762594455791146884,6966432454690121986,8805563696302415928,1,0,0
1,4,1,54,10,6,0,0,9762594455791146884,6966432454690121986,8805563696302415928,1,0,0
1,4,2,60,7,0,1,0,9762594455791146884,6966432454690121986,8805563696302415928,1,0,1
1,4,3,60,3,0,1,0,9762594455791146884,6966432454690121986,8805563696302415928,1,0,1
1,4,4,56,0,4,0,0,9762594455791146884,6966432454690121986,8805563696302415928,1,0,0
1,4,5,54,10,6,0,0,9762594455791146884,6966432454690121986,8805563696302415928,1,0,0
1,4,6,60,5,0,1,0,9762594455791146884,6966432454690121986,8805563696302415928,1,0,1
1,4,7,60,11,0,1,0,9762594455791146884,6966432454690121986,8805563696302415928,1,0,1
1,5,0,56,10,0,0,0,5908491102226636072,17379919154400647464,7702200932765821608,1,1,2
1,5,1,54,11,0,0,0,5908491102226636072,17379919154400647464,7702200932765821608,1,1,2
1,5,2,60,11,0,1,0,5908491102226636072,17379919154400647464,7702200932765821608,1,1,2
1,5,3,60,7,0,1,0,5908491102226636072,17379919154400647464,7702200932765821608,1,1,2
1,5,4,56,5,0,0,0,5908491102226636072,17379919154400647464,7702200932765821608,1,1,2
1,5,5,54,11,0,0,0,5908491102226636072,17379919154400647464,7702200932765821608,1,1,2
1,5,6,60,11,0,1,0,5908491102226636072,17379919154400647464,7702200932765821608,1,1,2
1,5,7,60,11,0,1,0,5908491102226636072,17379919154400647464,7702200932765821608,1,1,2
1,6,0,56,10,0,1,0,9773271493361225393,8100303288567410138,14968279853987650872,2,0,1
1,6,1,48,16,6,0,0,9773271493361225393,8100303288567410138,14968279853987650872,2,0,0
1,6,2,55,14,5,1,0,9773271493361225393,8100303288567410138,14968279853987650872,2,0,0
1,6,3,54,14,6,1,0,9773271493361225393,8100303288567410138,14968279853987650872,2,0,0
1,6,4,56,12,0,1,0,9773271493361225393,8100303288567410138,14968279853987650872,2,0,1
1,6,5,49,11,5,0,0,9773271493361225393,8100303288567410138,14968279853987650872,2,0,0
1,6,6,60,17,0,2,0,9773271493361225393,8100303288567410138,14968279853987650872,2,0,1
1,6,7,60,13,0,2,0,9773271493361225393,8100303288567410138,14968279853987650872,2,0,1
1,7,0,56,11,0,2,0,16511134848710213363,15573160578391058399,10281607789825959710,3,0,1
1,7,1,44,10,4,0,0,16511134848710213363,15573160578391058399,10281607789825959710,3,0,0
1,7,2,50,15,5,1,0,16511134848710213363,15573160578391058399,10281607789825959710,3,0,0
1,7,3,54,14,0,2,0,16511134848710213363,15573160578391058399,10281607789825959710,3,0,1
1,7,4,52,11,4,1,0,16511134848710213363,15573160578391058399,10281607789825959710,3,0,0
1,7,5,42,10,7,0,0,16511134848710213363,15573160578391058399,10281607789825959710,3,0,0
1,7,6,60,18,0,3,0,16511134848710213363,15573160578391058399,10281607789825959710,3,0,1
1,7,7,60,10,0,3,0,16511134848710213363,15573160578391058399,10281607789825959710,3,0,1
1,8,0,56,10,0,3,0,6859486978605833837,15245401640928113648,9541813825576912787,4,0,1
1,8,1,44,13,0,1,0,6859486978605833837,15245401640928113648,9541813825576912787,4,0,1
1,8,2,44,21,6,1,0,6859486978605833837,15245401640928113648,9541813825576912787,4,0,0
1,8,3,48,14,6,2,0,6859486978605833837,15245401640928113648,9541813825576912787,4,0,0
1,8,4,49,17,3,1,0,6859486978605833837,15245401640928113648,9541813825576912787,4,0,0
1,8,5,42,11,0,1,0,6859486978605833837,15245401640928113648,9541813825576912787,4,0,1
1,8,6,56,25,4,3,0,6859486978605833837,15245401640928113648,9541813825576912787,4,0,0
1,8,7,60,11,0,4,0,6859486978605833837,15245401640928113648,9541813825576912787,4,0,1
