case,status,assertions,error
canonical_catalog,PASS,1,
shield_stronger_replaces,PASS,10,
shield_equal_later_refreshes,PASS,10,
shield_weaker_changes_nothing,PASS,10,
shield_equal_earlier_changes_nothing,PASS,10,
physical_shield_overflow,PASS,7,
true_damage_shield_overkill,PASS,7,
heal_effective_cap,PASS,15,
heal_no_revive,PASS,14,
horizontal_orthogonal_corner,PASS,24,
vertical_orthogonal_corner,PASS,24,
reserved_orthogonal_corner,PASS,27,
stun_cancels_step,PASS,6,
defeat_cancels_step,PASS,6,
stun_cancels_dash,PASS,13,
enclosed_corner_no_path,PASS,9,
dash_has_no_secret_damage,PASS,5,
stun_shorter_does_not_stack,PASS,6,
stun_longer_extends_maximum,PASS,6,
canonical_equal_investment_matrix,PASS,1323199,
