case,tick,unit,x,y,dest_x,dest_y,state,health,shield,shield_expiry,stun_expiry
shield_stronger_replaces,1,1,3,3,-1,-1,5,100000,0,0,0
shield_stronger_replaces,1,2,2,3,-1,-1,5,100000,0,0,0
shield_stronger_replaces,1,1048579,7,7,-1,-1,3,100000,0,0,0
shield_stronger_replaces,2,1,3,3,-1,-1,6,100000,3000,22,0
shield_stronger_replaces,2,2,2,3,-1,-1,6,100000,0,0,0
shield_stronger_replaces,2,1048579,7,7,-1,-1,4,100000,0,0,0
shield_stronger_replaces,3,1,3,3,-1,-1,3,100000,3000,22,0
shield_stronger_replaces,3,2,2,3,-1,-1,3,100000,0,0,0
shield_stronger_replaces,3,1048579,7,7,-1,-1,4,100000,0,0,0
shield_stronger_replaces,4,1,3,3,-1,-1,4,100000,4000,24,0
shield_stronger_replaces,4,2,2,3,-1,-1,4,100000,0,0,0
shield_stronger_replaces,4,1048579,7,7,-1,-1,4,100000,0,0,0
shield_equal_later_refreshes,1,1,3,3,-1,-1,5,100000,0,0,0
shield_equal_later_refreshes,1,2,2,3,-1,-1,5,100000,0,0,0
shield_equal_later_refreshes,1,1048579,7,7,-1,-1,3,100000,0,0,0
shield_equal_later_refreshes,2,1,3,3,-1,-1,6,100000,3000,22,0
shield_equal_later_refreshes,2,2,2,3,-1,-1,6,100000,0,0,0
shield_equal_later_refreshes,2,1048579,7,7,-1,-1,4,100000,0,0,0
shield_equal_later_refreshes,3,1,3,3,-1,-1,3,100000,3000,22,0
shield_equal_later_refreshes,3,2,2,3,-1,-1,3,100000,0,0,0
shield_equal_later_refreshes,3,1048579,7,7,-1,-1,4,100000,0,0,0
shield_equal_later_refreshes,4,1,3,3,-1,-1,4,100000,3000,24,0
shield_equal_later_refreshes,4,2,2,3,-1,-1,4,100000,0,0,0
shield_equal_later_refreshes,4,1048579,7,7,-1,-1,4,100000,0,0,0
shield_weaker_changes_nothing,1,1,3,3,-1,-1,5,100000,0,0,0
shield_weaker_changes_nothing,1,2,2,3,-1,-1,5,100000,0,0,0
shield_weaker_changes_nothing,1,1048579,7,7,-1,-1,3,100000,0,0,0
shield_weaker_changes_nothing,2,1,3,3,-1,-1,6,100000,3000,22,0
shield_weaker_changes_nothing,2,2,2,3,-1,-1,6,100000,0,0,0
shield_weaker_changes_nothing,2,1048579,7,7,-1,-1,4,100000,0,0,0
shield_weaker_changes_nothing,3,1,3,3,-1,-1,3,100000,3000,22,0
shield_weaker_changes_nothing,3,2,2,3,-1,-1,3,100000,0,0,0
shield_weaker_changes_nothing,3,1048579,7,7,-1,-1,4,100000,0,0,0
shield_weaker_changes_nothing,4,1,3,3,-1,-1,4,100000,3000,22,0
shield_weaker_changes_nothing,4,2,2,3,-1,-1,4,100000,0,0,0
shield_weaker_changes_nothing,4,1048579,7,7,-1,-1,4,100000,0,0,0
shield_equal_earlier_changes_nothing,1,1,3,3,-1,-1,5,100000,0,0,0
shield_equal_earlier_changes_nothing,1,2,2,3,-1,-1,5,100000,0,0,0
shield_equal_earlier_changes_nothing,1,1048579,7,7,-1,-1,3,100000,0,0,0
shield_equal_earlier_changes_nothing,2,1,3,3,-1,-1,6,100000,3000,22,0
shield_equal_earlier_changes_nothing,2,2,2,3,-1,-1,6,100000,0,0,0
shield_equal_earlier_changes_nothing,2,1048579,7,7,-1,-1,4,100000,0,0,0
shield_equal_earlier_changes_nothing,3,1,3,3,-1,-1,3,100000,3000,22,0
shield_equal_earlier_changes_nothing,3,2,2,3,-1,-1,3,100000,0,0,0
shield_equal_earlier_changes_nothing,3,1048579,7,7,-1,-1,4,100000,0,0,0
shield_equal_earlier_changes_nothing,4,1,3,3,-1,-1,4,100000,3000,22,0
shield_equal_earlier_changes_nothing,4,2,2,3,-1,-1,4,100000,0,0,0
shield_equal_earlier_changes_nothing,4,1048579,7,7,-1,-1,4,100000,0,0,0
physical_shield_overflow,1,1,0,0,-1,-1,5,100000,0,0,0
physical_shield_overflow,1,1048578,7,7,-1,-1,3,100000,0,0,0
physical_shield_overflow,2,1,0,0,-1,-1,6,100000,3000,22,0
physical_shield_overflow,2,1048578,7,7,-1,-1,3,100000,0,0,0
physical_shield_overflow,3,1,0,0,-1,-1,3,100000,3000,22,0
physical_shield_overflow,3,1048578,7,7,-1,-1,3,100000,0,0,0
physical_shield_overflow,4,1,0,0,-1,-1,4,95000,0,22,0
physical_shield_overflow,4,1048578,7,7,-1,-1,4,100000,0,0,0
true_damage_shield_overkill,1,1,0,0,-1,-1,5,1000,0,0,0
true_damage_shield_overkill,1,1048578,7,7,-1,-1,3,100000,0,0,0
true_damage_shield_overkill,2,1,0,0,-1,-1,6,1000,3000,22,0
true_damage_shield_overkill,2,1048578,7,7,-1,-1,3,100000,0,0,0
true_damage_shield_overkill,3,1,0,0,-1,-1,3,1000,3000,22,0
true_damage_shield_overkill,3,1048578,7,7,-1,-1,3,100000,0,0,0
true_damage_shield_overkill,4,1,0,0,-1,-1,8,0,0,22,0
true_damage_shield_overkill,4,1048578,7,7,-1,-1,4,100000,0,0,0
heal_effective_cap,1,1,3,3,-1,-1,3,10000,0,0,0
heal_effective_cap,1,2,3,2,-1,-1,3,100000,0,0,0
heal_effective_cap,1,1048579,3,4,-1,-1,3,100000,0,0,0
heal_effective_cap,2,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,2,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,2,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,3,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,3,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,3,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,4,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,4,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,4,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,5,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,5,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,5,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,6,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,6,2,3,2,-1,-1,4,100000,0,0,0
heal_effective_cap,6,1048579,3,4,-1,-1,4,100000,0,0,0
heal_effective_cap,7,1,3,3,-1,-1,4,5000,0,0,0
heal_effective_cap,7,2,3,2,-1,-1,4,100000,0,0,0
