case,tick,source,target,effect,basic,requested,resolved
orc_basic_and_skill_once,2,1048676,1,0,1,0,0
orc_basic_and_skill_once,2,1,1048676,0,1,10000,11000
orc_basic_and_skill_once,2,2,1048676,0,1,0,0
orc_basic_and_skill_once,22,1048676,1,0,1,0,0
orc_basic_and_skill_once,22,1,1048676,0,0,10000,11000
orc_basic_and_skill_once,22,2,1048676,0,1,0,0
orc_basic_and_skill_once,24,1,1048676,0,1,10000,11000
warrior_basic_only_once,2,1048676,1,0,1,0,0
warrior_basic_only_once,2,1,1048676,0,1,10000,11500
warrior_basic_only_once,2,2,1048676,0,1,0,0
warrior_basic_only_once,22,1048676,1,0,1,0,0
warrior_basic_only_once,22,1,1048676,0,0,10000,10000
warrior_basic_only_once,22,2,1048676,0,1,0,0
warrior_basic_only_once,24,1,1048676,0,1,10000,11500
ranger_basic_only_once,2,1048676,1,0,1,0,0
ranger_basic_only_once,2,1,1048676,0,1,10000,11500
ranger_basic_only_once,2,2,1048676,0,1,0,0
ranger_basic_only_once,22,1048676,1,0,1,0,0
ranger_basic_only_once,22,1,1048676,0,0,10000,10000
ranger_basic_only_once,22,2,1048676,0,1,0,0
ranger_basic_only_once,24,1,1048676,0,1,10000,11500
mage_skill_only_once,2,1048676,1,0,1,0,0
mage_skill_only_once,2,1,1048676,0,1,10000,10000
mage_skill_only_once,2,2,1048676,0,1,0,0
mage_skill_only_once,22,1048676,1,0,1,0,0
mage_skill_only_once,22,1,1048676,0,0,10000,12000
mage_skill_only_once,22,2,1048676,0,1,0,0
mage_skill_only_once,24,1,1048676,0,1,10000,10000
orc_mage_direct_bonuses_add_not_multiply,2,3,1048676,0,1,0,0
orc_mage_direct_bonuses_add_not_multiply,2,1048676,3,0,1,0,0
orc_mage_direct_bonuses_add_not_multiply,2,2,1048676,0,1,0,0
orc_mage_direct_bonuses_add_not_multiply,2,1,1048676,0,1,10000,11000
orc_mage_direct_bonuses_add_not_multiply,22,3,1048676,0,1,0,0
