seed,round,seat,observation_revision,action,score,deployment_gain,upgrade_gain,trait_gain,role_gain,pair_gain,gold_spent,interest_loss,bench_pressure,accepted,gold_after
1,1,0,1,buy,2.36395,0.6006,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,1,1,buy,2.26197,0.551633,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,2,1,buy,2.37144,0.6006,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,3,1,buy,2.6369,0.676,0,0,0.6,0.166667,0.2,0.333333,0.125,1,8
1,1,4,1,buy,1.99442,0.462,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,5,1,buy,2.01684,0.518667,0,0,0.6,0.166667,0.2,0.333333,0.125,1,8
1,1,6,1,buy,2.25729,0.5544,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,7,1,buy,2.33294,0.6006,0,0,0.6,0.166667,0.1,0.333333,0.125,1,9
1,1,0,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,1,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,2,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,3,1,deploy,1,0,0,0,0,0,0,0,0,1,8
1,1,4,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,5,1,deploy,1,0,0,0,0,0,0,0,0,1,8
1,1,6,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,7,1,deploy,1,0,0,0,0,0,0,0,0,1,9
1,1,0,1,buy,1.558,0.396,0,0,0.3,0.166667,0.1,0,0.125,1,8
1,1,1,1,buy,2.33885,0.562467,0,0.166667,0.3,0.166667,0.2,0,0.125,1,7
1,1,2,1,buy,1.83884,0.6006,0,0,0,0.166667,0.1,0,0.125,1,8
1,1,3,1,buy,2.16509,0.6474,0,0.166667,0,0.166667,0.1,0,0.125,1,7
1,1,4,1,buy,1.85494,0.496667,0,0,0.3,0.166667,0.2,0,0.125,1,7
1,1,5,1,buy,1.76128,0.496667,0,0,0.3,0.166667,0.2,0,0.125,1,6
1,1,6,1,buy,1.75455,0.5544,0,0,0,0.166667,0.1,0,0.125,1,8
1,1,7,1,buy,1.98268,0.546333,0,0,0.3,0.166667,0.2,0,0.125,1,7
1,1,0,2,deploy,1,0,0,0,0,0,0,0,0,1,8
1,1,1,2,deploy,1,0,0,0,0,0,0,0,0,1,7
1,1,2,2,deploy,1,0,0,0,0,0,0,0,0,1,8
1,1,3,2,deploy,1,0,0,0,0,0,0,0,0,1,7
1,1,4,2,deploy,1,0,0,0,0,0,0,0,0,1,7
1,1,5,2,deploy,1,0,0,0,0,0,0,0,0,1,6
1,1,6,2,deploy,1,0,0,0,0,0,0,0,0,1,8
1,1,7,2,deploy,1,0,0,0,0,0,0,0,0,1,7
1,1,0,2,buy,1.25672,0.396,0,0,0,0.166667,0.1,0,0.125,1,7
1,1,1,2,buy,1.54974,0.511333,0,0,0,0.166667,0.1,0,0.125,1,6
1,1,2,2,buy,1.75429,0.3912,0,0.166667,0.3,0.166667,0.2,0,0.125,1,6
1,1,3,2,buy,1.6583,0.551633,0,0,0,0.166667,0.1,0,0.125,1,6
1,1,4,2,buy,1.17705,0.36,0,0,0,0.166667,0.1,0,0.125,1,6
1,1,5,2,buy,1.57417,0.424333,0,0.166667,0,0.166667,0.1,0,0.125,1,5
1,1,6,2,buy,1.42167,0.466767,0,0,0,0.166667,0.1,0,0.125,1,7
1,1,7,2,buy,1.39707,0.466767,0,0,0,0.166667,0.1,0,0.125,1,6
