wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page
5.018149,-1,0,0,0,0,18.760502,2.766000,3.296000,17.268700,1,877,877,0,0,lobby
5.034867,-1,0,0,0,0,17.279800,3.774400,3.588000,20.166700,1,877,877,0,0,lobby
5.051947,-1,0,0,0,0,17.040398,2.217000,3.746900,16.066500,1,877,877,0,0,lobby
5.068864,-1,0,0,0,0,16.853203,2.242900,4.338200,16.776199,1,877,877,0,0,lobby
5.085631,-1,0,0,0,0,16.841698,3.397800,4.151000,17.922100,1,877,877,0,0,lobby
5.102872,-1,0,0,0,0,16.952202,2.552000,3.654800,15.819700,1,877,877,0,0,lobby
5.119792,-1,0,0,0,0,17.229996,2.564800,3.464400,17.393700,1,877,877,0,0,lobby
5.138031,-1,0,0,0,0,18.241201,2.693200,3.617400,17.083401,1,877,877,0,0,lobby
5.156186,-1,0,0,0,0,18.131201,2.817200,3.994200,18.585600,1,877,877,0,0,lobby
5.173542,-1,0,0,0,0,17.363001,2.365200,4.004600,17.606600,1,877,877,0,0,lobby
5.191249,-1,0,0,0,0,17.679899,2.354800,3.993500,17.220699,1,877,877,0,0,lobby
5.208938,-1,0,0,0,0,17.700500,2.587200,4.298100,17.774500,1,877,877,0,0,lobby
5.225658,-1,0,0,0,0,16.750298,2.145300,3.857600,17.580099,1,877,877,0,0,lobby
5.242645,-1,0,0,0,0,16.727100,2.136600,5.196200,16.772100,1,877,877,0,0,lobby
5.259534,-1,0,0,0,0,16.873899,2.853300,4.837900,17.158100,1,877,877,0,0,lobby
5.276470,-1,0,0,0,0,16.930302,2.860400,4.824900,17.071100,1,877,877,0,0,lobby
5.293479,-1,0,0,0,0,16.928200,3.021400,7.198300,17.120300,1,877,877,0,0,lobby
5.310164,-1,0,0,0,0,16.806700,3.914000,4.941200,16.676800,1,877,877,0,0,lobby
5.326772,-1,0,0,0,0,16.758099,2.716100,4.640400,16.526400,1,877,877,0,0,lobby
