frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16833664.442790300,489199,frame-00000.png
1,0.100000001,16833664.510805700,493230,frame-00001.png
2,0.150000006,16833664.579325799,490019,frame-00002.png
3,0.200000003,16833664.647556901,493671,frame-00003.png
4,0.250000000,16833664.714406598,476032,frame-00004.png
5,0.300000012,16833664.782848101,498435,frame-00005.png
6,0.350000024,16833664.850271899,489647,frame-00006.png
7,0.400000036,16833664.917457100,485952,frame-00007.png
8,0.450000048,16833664.986224599,489993,frame-00008.png
9,0.500000060,16833665.055714700,492029,frame-00009.png
10,0.550000072,16833665.126501501,489463,frame-00010.png
11,0.600000083,16833665.197044902,492948,frame-00011.png
12,0.000000119,16833665.264773000,475986,frame-00012.png
13,0.050000120,16833665.336135700,498888,frame-00013.png
