frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16833666.093682699,499613,frame-00000.png
1,0.100000001,16833666.156153802,492402,frame-00001.png
2,0.150000006,16833666.219403502,487610,frame-00002.png
3,0.200000003,16833666.281372800,492652,frame-00003.png
4,0.250000000,16833666.346781299,494643,frame-00004.png
5,0.300000012,16833666.412710398,493871,frame-00005.png
6,0.350000024,16833666.476260599,496385,frame-00006.png
7,0.400000036,16833666.540528402,480843,frame-00007.png
8,0.450000048,16833666.606192902,502833,frame-00008.png
9,0.500000060,16833666.675964400,495939,frame-00009.png
10,0.550000072,16833666.748289999,490754,frame-00010.png
11,0.600000083,16833666.816964000,495777,frame-00011.png
12,0.650000095,16833666.883351501,497043,frame-00012.png
13,0.700000107,16833666.953438599,496579,frame-00013.png
14,0.750000119,16833667.026616398,499736,frame-00014.png
15,0.800000131,16833667.099230200,483283,frame-00015.png
16,0.850000143,16833667.167760398,504416,frame-00016.png
17,0.900000155,16833667.233663000,495801,frame-00017.png
18,0.950000167,16833667.298303701,492114,frame-00018.png
19,0.000000119,16833667.368442900,492076,frame-00019.png
20,0.050000120,16833667.443938199,493153,frame-00020.png
