frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16833661.865727101,488323,frame-00000.png
1,0.100000001,16833661.935524799,491396,frame-00001.png
2,0.150000006,16833662.003391899,494225,frame-00002.png
3,0.200000003,16833662.072997801,492498,frame-00003.png
4,0.250000000,16833662.141113799,495606,frame-00004.png
5,0.300000012,16833662.208092801,477790,frame-00005.png
6,0.350000024,16833662.279145300,500062,frame-00006.png
7,0.400000036,16833662.349033300,491831,frame-00007.png
8,0.450000048,16833662.416863099,487895,frame-00008.png
9,0.500000060,16833662.486422502,491134,frame-00009.png
10,0.550000072,16833662.555427998,493698,frame-00010.png
11,0.600000083,16833662.626509000,492214,frame-00011.png
12,0.650000095,16833662.695776399,495050,frame-00012.png
13,0.700000107,16833662.763109501,478147,frame-00013.png
14,0.750000119,16833662.831723999,500389,frame-00014.png
15,0.800000131,16833662.905567002,491707,frame-00015.png
16,0.850000143,16833662.981836502,487365,frame-00016.png
17,0.900000155,16833663.053233501,491342,frame-00017.png
18,0.950000167,16833663.125175901,493280,frame-00018.png
19,0.000000119,16833663.193585198,491434,frame-00019.png
20,0.050000120,16833663.263832301,494893,frame-00020.png
