frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16834838.782558098,466408,frame-00000.png
1,0.100000001,16834838.861245599,470101,frame-00001.png
2,0.150000006,16834838.937740698,473083,frame-00002.png
3,0.200000003,16834839.013583101,472660,frame-00003.png
4,0.250000000,16834839.093058500,472819,frame-00004.png
5,0.300000012,16834839.173078202,460223,frame-00005.png
6,0.350000024,16834839.246391501,480394,frame-00006.png
7,0.400000036,16834839.312304702,473634,frame-00007.png
8,0.450000048,16834839.377868600,466564,frame-00008.png
9,0.500000060,16834839.448552299,472815,frame-00009.png
10,0.550000072,16834839.514905602,474349,frame-00010.png
11,0.600000083,16834839.587184500,472125,frame-00011.png
12,0.650000095,16834839.662468102,484152,frame-00012.png
13,0.700000107,16834839.729249001,473873,frame-00013.png
14,0.750000119,16834839.795525599,492893,frame-00014.png
15,0.800000131,16834839.865462400,485349,frame-00015.png
16,0.850000143,16834839.932814699,479224,frame-00016.png
17,0.900000155,16834839.999724701,482913,frame-00017.png
18,0.950000167,16834840.070014201,486480,frame-00018.png
19,1.000000119,16834840.147623800,485948,frame-00019.png
20,1.050000072,16834840.219670702,487587,frame-00020.png
21,1.100000024,16834840.291491900,475717,frame-00021.png
22,1.149999976,16834840.365316302,494755,frame-00022.png
23,1.199999928,16834840.435777400,487286,frame-00023.png
24,1.249999881,16834840.508168101,480879,frame-00024.png
25,1.299999833,16834840.579522502,485656,frame-00025.png
26,0.049999833,16834840.650487300,488061,frame-00026.png
