frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920089.657814100,477498,frame-00000.png
1,0.100000001,16920089.724041998,483081,frame-00001.png
2,0.150000006,16920089.796513900,478757,frame-00002.png
3,0.200000003,16920089.863356199,482494,frame-00003.png
4,0.250000000,16920089.933572900,466035,frame-00004.png
5,0.300000012,16920090.001039900,486320,frame-00005.png
6,0.350000024,16920090.071788002,475847,frame-00006.png
7,0.400000036,16920090.139559001,474638,frame-00007.png
8,0.450000048,16920090.205274999,479206,frame-00008.png
9,0.500000060,16920090.275144499,482089,frame-00009.png
10,0.550000072,16920090.342880402,477096,frame-00010.png
11,0.600000083,16920090.414920401,480750,frame-00011.png
12,0.000000119,16920090.483680300,465774,frame-00012.png
13,0.050000120,16920090.557204101,486485,frame-00013.png
